band,element,ion,treatment,deck,route,n_lines,A,has_published_row,A_published,reproduces_A,reproduces_stat,reproduces_syst,handler_published,handler_correct,handler_misattributed,harness_published_dex,harness_correct_dex,stat_dex,stat_dex_after,syst_before,syst_published,syst_after,d_syst,n_budget_lines_changed,n_budget_lines_changed_outside_harness,src
VIS,Fe,II,1D-LTE,,PROFILEFIT,11,7.568,True,7.568,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0564,0.0564,0.1705,0.1705,0.1705,0.0,0,0,FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,ENGINE-A,,PROFILEFIT,3,7.517,True,7.517,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0845,0.0845,0.1705,0.1705,0.1705,0.0,0,0,FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,1D-LTE,,PROFILEFIT,4,7.696,True,7.696,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.111,0.111,0.1731,0.1731,0.1731,0.0,0,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,ENGINE-A,,PROFILEFIT,1,7.763,True,7.763,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0,0.0,0.1731,0.1731,0.1731,0.0,0,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,PROFILEFIT,2,7.461,True,7.461,True,True,True,ProfileFitHandler,SynthesisHandler,True,0.0129,0.0,0.045,0.045,0.1731,0.1731,0.1726,-0.0005,2,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B,,PROFILEFIT,3,7.523,False,,,,,SynthesisHandler,SynthesisHandler,False,0.0,0.0,0.0894,0.0894,0.1726,,0.1726,0.0,0,0,FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
near-UV,Fe,I,1D-LTE,,SYNTH,40,7.488,True,7.488,True,True,True,SynthesisHandler,SynthesisHandler,False,0.0,0.0,0.0652,0.0652,0.1972,0.1972,0.1972,0.0,0,0,FeI_3000_3780_kpno_solar_atlas_SYNTH_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,,PROFILEFIT,152,7.586,True,7.586,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0305,0.0305,0.1705,0.1705,0.1705,0.0,0,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,ENGINE-A,,PROFILEFIT,109,7.6,True,7.6,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0357,0.0357,0.1705,0.1705,0.1705,0.0,0,0,FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,1D-LTE,,PROFILEFIT,101,7.639,True,7.639,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0355,0.0355,0.1731,0.1731,0.1731,0.0,0,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,ENGINE-A,,PROFILEFIT,44,7.645,True,7.645,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0494,0.0494,0.1731,0.1731,0.1731,0.0,0,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,,PROFILEFIT,77,7.549,True,7.549,True,True,True,ProfileFitHandler,SynthesisHandler,True,0.0129,0.0,0.0243,0.0243,0.1731,0.1731,0.1726,-0.0005,2,0,FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,1D-LTE,gerber-nlte,PROFILEFIT,11,7.568,True,7.568,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0564,0.0564,0.1705,0.1705,0.1705,0.0,0,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,ENGINE-A,gerber-nlte,PROFILEFIT,3,7.517,True,7.517,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0845,0.0845,0.1705,0.1705,0.1705,0.0,0,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,PROFILEFIT,8,7.47,True,7.47,True,True,True,ProfileFitHandler,SynthesisHandler,True,0.0129,0.0,0.0174,0.0174,0.1705,0.1705,0.17,-0.0005,2,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,1D-LTE,gerber-nlte,PROFILEFIT,4,7.696,True,7.696,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.111,0.111,0.1731,0.1731,0.1731,0.0,0,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,ENGINE-A,gerber-nlte,PROFILEFIT,1,7.763,True,7.763,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0,0.0,0.1731,0.1731,0.1731,0.0,0,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,gerber-nlte,PROFILEFIT,2,7.461,True,7.461,True,True,True,ProfileFitHandler,SynthesisHandler,True,0.0129,0.0,0.045,0.045,0.1731,0.1731,0.1726,-0.0005,2,0,gerber-nlte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,I,1D-LTE,gerber-nlte,PROFILEFIT,152,7.586,True,7.586,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0305,0.0305,0.1705,0.1705,0.1705,0.0,0,0,gerber-nlte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,ENGINE-A,gerber-nlte,PROFILEFIT,109,7.6,True,7.6,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0357,0.0357,0.1705,0.1705,0.1705,0.0,0,0,gerber-nlte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
VIS,Fe,I,ENGINE-B-NLTE,gerber-nlte,PROFILEFIT,136,7.572,True,7.572,True,True,True,ProfileFitHandler,SynthesisHandler,True,0.0129,0.0,0.0332,0.0332,0.1705,0.1705,0.17,-0.0005,2,0,gerber-nlte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,I,1D-LTE,gerber-nlte,PROFILEFIT,101,7.639,True,7.639,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0355,0.0355,0.1731,0.1731,0.1731,0.0,0,0,gerber-nlte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,I,ENGINE-A,gerber-nlte,PROFILEFIT,44,7.645,True,7.645,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0494,0.0494,0.1731,0.1731,0.1731,0.0,0,0,gerber-nlte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,ENGINE-B-NLTE,gerber-nlte,PROFILEFIT,77,7.549,True,7.549,True,True,True,ProfileFitHandler,SynthesisHandler,True,0.0129,0.0,0.0243,0.0243,0.1731,0.1731,0.1726,-0.0005,2,0,gerber-nlte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,1D-LTE,ts-lte,PROFILEFIT,11,7.568,True,7.568,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0564,0.0564,0.1705,0.1705,0.1705,0.0,0,0,ts-lte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,ENGINE-A,ts-lte,PROFILEFIT,3,7.517,True,7.517,True,True,True,ProfileFitHandler,ProfileFitHandler,False,0.0129,0.0129,0.0845,0.0845,0.1705,0.1705,0.1705,0.0,0,0,ts-lte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
