element,ion,wavelength_air_A,gf_linelist_vald,excitation_potential_eV,reference_code,key_z,hfs_n_components,lab_log_gf,lab_sigma_dex,lab_source,n_lab_candidates,adjudicated,delta_lab_minus_vald
Fe,1,12977.35,-2.97,4.9913,K14,26,1,,,,0,False,
Fe,1,12995.667,-2.535,5.3933,K14,26,1,,,,0,False,
Fe,1,13000.834,-2.452,5.0638,K14,26,1,,,,0,False,
Fe,1,13006.684,-3.744,2.9904,K14,26,1,,,,0,False,
Fe,1,13014.841,-1.693,5.4457,K14,26,1,,,,0,False,
Fe,1,13039.647,-0.731,5.6547,K14,26,1,,,,0,False,
Fe,1,13059.352,-2.133,5.6925,K14,26,1,,,,0,False,
Fe,1,13077.337,-2.018,5.0674,K14,26,1,,,,0,False,
Fe,1,13098.876,-1.29,5.0095,K14,26,1,,,,0,False,
Fe,1,13107.972,-1.449,5.6693,K14,26,1,,,,0,False,
Fe,1,13120.465,-2.649,5.3411,K14,26,1,,,,0,False,
Fe,1,13135.239,-2.573,5.3204,K14,26,1,,,,0,False,
Fe,1,13145.071,-3.296,4.1426,K14,26,1,,,,0,False,
Fe,1,13147.92,-0.814,5.3933,K14,26,1,,,,0,False,
Fe,1,13151.599,-4.879,3.0173,K14,26,1,,,,0,False,
Fe,1,13196.989,-1.46,6.3253,K14,26,1,,,,0,False,
Fe,1,13198.501,-1.035,6.3253,K14,26,1,,,,0,False,
Fe,1,13207.227,-1.651,6.2771,K14,26,1,,,,0,False,
Fe,1,13209.762,-1.234,6.1445,K14,26,1,,,,0,False,
Fe,1,13212.508,-1.41,6.1445,K14,26,1,,,,0,False,
Fe,1,13222.523,-1.278,5.6547,K14,26,1,,,,0,False,
Fe,1,13223.109,-2.068,5.6826,K14,26,1,,,,0,False,
Fe,1,13231.669,-1.956,5.6693,K14,26,1,,,,0,False,
Fe,1,13258.15,-4.777,3.274,K14,26,1,,,,0,False,
Fe,1,13260.728,-0.642,5.4457,,26,1,,,,0,False,
Fe,1,13265.617,-2.307,5.5392,K14,26,1,,,,0,False,
Fe,1,13284.437,-1.442,6.1445,K14,26,1,,,,0,False,
Fe,1,13286.814,-1.105,4.988,K14,26,1,,,,0,False,
Fe,1,13287.294,-0.596,5.6207,,26,1,,,,0,False,
Fe,1,13287.829,-3.021,2.9488,,26,1,,,,0,False,
Fe,1,13289.686,-1.563,6.1189,K14,26,1,,,,0,False,
Fe,1,13291.787,-1.896,5.4781,K14,26,1,,,,0,False,
Fe,1,13301.074,-2.429,5.5237,K14,26,1,,,,0,False,
Fe,1,13302.292,-1.254,6.3327,K14,26,1,,,,0,False,
Fe,1,13303.829,-1.303,6.3327,K14,26,1,,,,0,False,
