element,ion,band,wavelength_air_A,ew_mA,rew,a_1dlte,in_aggregate_1dlte,excluded_reason_1dlte,elo_eV,eup_eV,loggf,n_vald_candidates,network,domain_reason,feature_ok,delta_E_ok,level_ok,stellar_ok,in_domain,delta_E_eV,aberr,aberr_axis_line,aberr_if_extrapolated,a_3dnlte
Fe,I,VIS,5002.792,,,7.078,True,nan,3.3965,5.8741,-1.46,1,gt02,,True,True,True,True,True,2.4776000000000002,0.03717841826449067,0.016661345232041706,0.03717841826449067,7.115178418264491
Fe,I,VIS,5005.712,,,7.246,True,nan,3.8835,6.3597,-0.12,1,gt02,,True,True,True,True,True,2.4762,0.0727065776816814,0.0695374074337433,0.0727065776816814,7.318706577681682
Fe,I,VIS,5014.942,,,7.261,True,nan,3.9433,6.4149,-0.18,1,gt02,,True,True,True,True,True,2.4716000000000005,0.06633509942849915,0.06620646872179864,0.06633509942849915,7.327335099428499
Fe,I,VIS,5022.235,,,6.879,True,nan,3.9841,6.4521,-0.33,1,gt02,,True,True,True,True,True,2.4679999999999995,0.0594243019115083,0.06101177919763574,0.0594243019115083,6.938424301911508
Fe,I,VIS,5023.498,,,7.592,True,nan,4.3125,6.7799,-1.67,1,gt02,,True,True,True,True,True,2.4673999999999996,0.04981460520903731,,0.04981460520903731,7.641814605209037
Fe,I,VIS,5028.126,,,7.479,True,nan,3.5732,6.0383,-1.02,1,gt02,,True,True,True,True,True,2.4650999999999996,0.0366686160360922,,0.0366686160360922,7.515668616036092
Fe,I,VIS,5039.251,,,7.4,True,nan,3.3683,5.8279,-1.52,1,gt02,,True,True,True,True,True,2.4595999999999996,0.03910725360750149,0.035058614038790126,0.03910725360750149,7.439107253607502
Fe,I,VIS,5048.436,,,7.293,True,nan,3.9597,6.4149,-1.0,1,gt02,,True,True,True,True,True,2.4552,0.03380031737676481,0.03186131962100752,0.03380031737676481,7.326800317376765
Fe,I,VIS,5098.573,,,7.552,True,nan,3.9286,6.3597,-0.88,1,gt02,,True,True,True,True,True,2.4311000000000003,0.02748410222496954,,0.02748410222496954,7.579484102224969
Fe,I,VIS,5099.077,,,7.468,True,nan,3.9841,6.4149,-1.39,1,gt02,,True,True,True,True,True,2.4308,0.027085647260332885,0.027257046067145088,0.027085647260332885,7.495085647260333
Fe,I,VIS,5110.358,,,7.387,True,nan,3.5732,5.9987,-1.41,1,gt02,,True,True,True,True,True,2.4255000000000004,0.024156770209682057,0.022376140688045873,0.024156770209682057,7.411156770209682
Fe,I,VIS,5129.631,,,7.61,True,nan,3.9433,6.3597,-1.67,1,gt02,,True,True,True,True,True,2.4164000000000003,0.03669026343615492,,0.03669026343615492,7.646690263436155
Fe,I,VIS,5133.688,,,7.361,True,nan,4.1777,6.5921,0.36,1,gt02,,True,True,True,True,True,2.4144000000000005,0.07199770624484685,0.07096361361073256,0.07199770624484685,7.432997706244847
Fe,I,VIS,5139.251,,,7.339,True,nan,2.998,5.4099,-0.73,1,gt02,upper level 5.4099 eV is not within 0.02 eV of any level in the training set,True,True,False,True,False,2.4119,,,0.070221858508352,
Fe,I,VIS,5171.672,,,7.335,True,nan,3.6416,6.0383,-2.27,1,gt02,,True,True,True,True,True,2.3966999999999996,0.029804804988557004,0.032761744687572134,0.029804804988557004,7.364804804988557
Fe,I,VIS,5208.594,,,7.807,True,nan,3.241,5.6207,-0.89,1,gt02,,True,True,True,True,True,2.3797,0.05977776193671565,,0.05977776193671565,7.866777761936716
Fe,I,VIS,5215.18,,,7.525,True,nan,3.2657,5.6424,-0.86,1,gt02,,True,True,True,True,True,2.3767000000000005,0.06079123305201713,,0.06079123305201713,7.585791233052017
Fe,I,VIS,5217.389,,,7.371,True,nan,3.2112,5.5869,-1.07,1,gt02,,True,True,True,True,True,2.3757,0.05640416302962728,0.05651670972186876,0.05640416302962728,7.427404163029628
Fe,I,VIS,5226.861,,,7.247,True,nan,3.0385,5.4099,-0.55,1,gt02,lower level 3.0385 eV is not within 0.02 eV of any level in the training set; upper level 5.4099 eV is not within 0.02 eV of any level in the training set,True,True,False,True,False,2.3714000000000004,,,0.07669381462172392,
Fe,I,VIS,5242.491,,,7.267,True,nan,3.6343,5.9987,-0.83,1,gt02,,True,True,True,True,True,2.3644000000000003,0.026664846359039998,0.025085706972431024,0.026664846359039998,7.29366484635904
Fe,I,VIS,5253.462,,,7.481,True,nan,3.283,5.6424,-1.58,1,gt02,,True,True,True,True,True,2.3594000000000004,0.053762323732462425,,0.053762323732462425,7.534762323732462
Fe,I,VIS,5263.306,,,7.411,True,nan,3.2657,5.6207,-0.87,1,gt02,,True,True,True,True,True,2.3550000000000004,0.05902684967221872,0.058208111549990005,0.05902684967221872,7.470026849672219
Fe,I,VIS,5273.163,,,7.046,True,nan,3.2918,5.6424,-1.01,1,gt02,,True,True,True,True,True,2.3506000000000005,0.05675446349885109,0.04694211721009216,0.05675446349885109,7.102754463498852
Fe,I,VIS,5283.621,,,7.467,True,nan,3.241,5.5869,-0.45,1,gt02,,True,True,True,True,True,2.3459,0.07371004841314929,,0.07371004841314929,7.540710048413149
