reason,n_engine_cells
NO_POOL_LINES_IN_DECLARED_HOLDING_RANGE,4518
EXACT_HOLDING_INTAKE_REQUIRED,352
SYNTHESIS_ONLY_POOL_OR_MODEL,345
EXPERIMENTAL_OR_NO_EMITTER,216
EXACT_HOLDING_INTAKE_REQUIRED;AL_CORRECTION_GRID_PHYSICAL_IDENTITY_REVALIDATION_REQUIRED,108
NO_VALIDATED_FULL_3D_NLTE_AL_IMPLEMENTATION,61
BAND_POLICY_SYNTHESIS_ONLY_RYA713_RYA1133,16
