# RYA-1191 — MEASURED telluric state per holding per band. GENERATED by
# scripts/rya1191_build_telluric_evidence.py from
# data/results/rya1191/rya1191_telluric_residual.json. Do not hand-edit:
# `--check` diffs this against a fresh derivation and CI fails on drift.
holding_id,band_name,lo_A,hi_A,state,judged_by,statistic,value,reference_value,ticket,note
"solar_kpno_molecfit_corrected","O2 gamma-band","6270.0","6300.0","partial","TEMPLATE (line positions)","residual_z","4.63","22.02","RYA-1191","solar_kpno_molecfit_corrected: residual at +4.6 sigma (uncorrected references reach +22.0) — PARTIAL correction"
"solar_kpno_kurucz2005_corrected","O2 gamma-band","6270.0","6300.0","clean","TEMPLATE (line positions)","residual_z","-1.53","22.02","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_harps_molecfit_corrected","O2 gamma-band","6270.0","6300.0","uncorrected","TEMPLATE (line positions)","residual_z","12.01","22.02","RYA-1191","solar_harps_molecfit_corrected: residual at +12.0 sigma (uncorrected references reach +22.0) — essentially UNCORRECTED"
"solar_iag","O2 gamma-band","6270.0","6300.0","clean","TEMPLATE (line positions)","residual_z","-1.46","22.02","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_kpno_molecfit_corrected","O2 B-band","6867.0","6884.0","clean","DEPTH (template saturated)","depth_over_own_side_windows","0.56","3.91","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_kpno_kurucz2005_corrected","O2 B-band","6867.0","6884.0","clean","DEPTH (template saturated)","depth_over_own_side_windows","0.37","3.91","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_harps_molecfit_corrected","O2 B-band","6867.0","6884.0","clean","DEPTH (template saturated)","depth_over_own_side_windows","0.8","3.91","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_iag","O2 B-band","6867.0","6884.0","clean","DEPTH (template saturated)","depth_over_own_side_windows","0.88","3.91","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_kpno_kurucz2005_corrected","H2O","7160.0","7340.0","clean","TEMPLATE (line positions)","residual_z","0.99","32.3","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_iag","H2O","7160.0","7340.0","clean","TEMPLATE (line positions)","residual_z","-2.08","32.3","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_kpno_molecfit_corrected","O2 A-band","7594.0","7685.0","clean","DEPTH (template saturated)","depth_over_own_side_windows","1.77","23.43","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_kpno_kurucz2005_corrected","O2 A-band","7594.0","7685.0","clean","DEPTH (template saturated)","depth_over_own_side_windows","0.8","23.43","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_iag","O2 A-band","7594.0","7685.0","clean","DEPTH (template saturated)","depth_over_own_side_windows","0.81","23.43","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_kpno_molecfit_corrected","H2O","8100.0","8400.0","clean","TEMPLATE (line positions)","residual_z","-2.3","30.66","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_kpno_kurucz2005_corrected","H2O","8100.0","8400.0","clean","TEMPLATE (line positions)","residual_z","0.3","30.66","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_iag","H2O","8100.0","8400.0","clean","TEMPLATE (line positions)","residual_z","-2.75","30.66","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_kpno_molecfit_corrected","H2O","9280.0","9600.0","partial","TEMPLATE (line positions)","residual_z","3.42","30.76","RYA-1191","solar_kpno_molecfit_corrected: residual at +3.4 sigma (uncorrected references reach +30.8) — PARTIAL correction"
"solar_kpno_kurucz2005_corrected","H2O","9280.0","9600.0","clean","TEMPLATE (line positions)","residual_z","-0.08","30.76","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
"solar_iag","H2O","9280.0","9600.0","clean","TEMPLATE (line positions)","residual_z","-9.97","30.76","RYA-1191","clean: the uncorrected references light this band up and this holding does not follow them"
