wavelength_air_A,flux_normalized,n_frames,min_mtrans
19470.868,1.005942,1,0.7748
19470.9356,1.012718,1,0.7698
19471.0031,1.015847,1,0.7542
19471.0707,1.015896,1,0.7269
19471.1383,1.008198,1,0.6927
19471.2059,1.000287,1,0.6642
19471.2735,0.996162,1,0.6563
19471.341,1.005812,1,0.6737
19471.4086,1.020451,1,0.7046
19471.4762,1.015122,1,0.7366
19471.5438,1.007682,1,0.7628
19471.6114,1.00553,1,0.7816
19471.6789,1.008279,1,0.7934
19471.7465,1.00516,1,0.7993
19471.8141,1.007765,1,0.8009
19471.8817,1.019106,1,0.7992
19471.9493,1.010944,1,0.795
19472.0169,1.009662,1,0.7888
19472.0844,1.016483,1,0.7827
19472.152,1.004741,1,0.7785
19472.2196,1.014031,1,0.7764
19472.2872,1.014666,1,0.7736
19472.3548,1.017256,1,0.7676
19472.4223,1.010513,1,0.7563
19472.4899,1.010693,1,0.7384
19472.5575,1.011959,1,0.7124
19472.6251,1.000209,1,0.6769
19472.6927,0.994241,1,0.6321
19472.7602,0.989517,1,0.5797
19472.8278,0.987007,1,0.521
19473.3685,1.008169,1,0.5327
19473.4361,0.999376,1,0.5644
19473.5036,1.001304,1,0.5783
19473.5712,0.999024,1,0.5795
19473.6388,1.001024,1,0.5713
19473.7064,0.989558,1,0.5559
19473.774,0.992776,1,0.5346
19473.8416,0.989165,1,0.508
19476.3421,0.973572,1,0.5179
19476.4096,0.975975,1,0.5423
19476.4772,0.987721,1,0.5646
19476.5448,0.983808,1,0.5808
19476.6124,0.986688,1,0.5878
19476.68,0.991743,1,0.5812
19476.7476,0.984073,1,0.557
19476.8151,0.995439,1,0.516
19477.0855,1.001053,1,0.5479
19477.153,0.991295,1,0.5944
19477.2206,0.990271,1,0.6249
19477.2882,0.984949,1,0.6407
19477.3558,0.970824,1,0.6455
19477.4234,0.972282,1,0.6423
19477.4909,0.982333,1,0.6324
19477.5585,0.981387,1,0.6157
19477.6261,0.974371,1,0.5923
19477.6937,0.982282,1,0.562
19477.7613,0.982185,1,0.5248
19479.3832,1.006861,1,0.5353
19479.4508,1.007809,1,0.5809
19479.5184,1.00484,1,0.6173
19479.586,1.010893,1,0.6455
19479.6535,1.00549,1,0.6689
19479.7211,1.004543,1,0.6892
19479.7887,1.009655,1,0.7051
19479.8563,1.012,1,0.7148
19479.9239,1.011787,1,0.7183
19479.9915,1.009686,1,0.7179
19480.059,1.009101,1,0.7177
19480.1266,1.01498,1,0.7204
19480.1942,1.006319,1,0.7245
19480.2618,1.000705,1,0.7251
19480.3294,1.00823,1,0.7172
19480.3969,1.005283,1,0.6952
19480.4645,1.013181,1,0.653
19480.5321,1.018234,1,0.5858
19481.0052,1.019486,1,0.5026
19481.0728,1.018696,1,0.5969
19481.1403,1.009621,1,0.6695
19481.2079,1.001492,1,0.7169
19481.2755,0.99188,1,0.746
19481.3431,0.998108,1,0.7632
19481.4107,1.008523,1,0.7704
19481.4782,0.99773,1,0.7691
19481.5458,0.994351,1,0.7632
19481.6134,0.99293,1,0.7557
19481.681,1.000777,1,0.7444
19481.7486,0.988916,1,0.7266
19481.8162,0.986296,1,0.7062
19481.8837,0.972818,1,0.6954
19481.9513,0.989496,1,0.7031
19482.0189,0.995558,1,0.7275
19482.0865,1.011004,1,0.7594
19482.1541,1.012032,1,0.7895
19482.2216,1.007494,1,0.8131
19482.2892,1.00271,1,0.8294
19482.3568,1.000595,1,0.8397
19482.4244,0.998987,1,0.8454
19482.492,1.003672,1,0.8483
19482.5595,0.996841,1,0.8497
19482.6271,1.000285,1,0.8508
19482.6947,1.000823,1,0.8518
19482.7623,1.001236,1,0.8522
19482.8299,0.991483,1,0.8512
19482.8975,0.990851,1,0.8484
19482.965,0.994619,1,0.8433
19483.0326,0.995421,1,0.8355
19483.1002,0.991179,1,0.8244
19483.1678,0.991677,1,0.8088
19483.2354,0.991588,1,0.7866
19483.3029,0.993022,1,0.7537
19483.3705,0.990257,1,0.7046
19483.4381,0.984955,1,0.6351
19483.5057,0.982726,1,0.5503
19484.5194,0.857619,1,0.5104
19484.587,0.886968,1,0.5052
19485.6007,0.971919,1,0.5221
19485.6683,0.977769,1,0.5396
19485.7359,0.981461,1,0.5229
19486.4117,1.001504,1,0.523
19486.4793,0.986736,1,0.5533
19486.5469,0.980462,1,0.562
19486.6144,0.980753,1,0.553
19486.682,0.984279,1,0.5296
19488.1688,0.988009,1,0.5442
19488.2364,0.996335,1,0.5849
19488.304,0.994996,1,0.6168
19488.3715,0.988558,1,0.6404
19488.4391,0.99402,1,0.656
19488.5067,0.98581,1,0.6628
19488.5743,0.990285,1,0.6588
19488.6419,0.99746,1,0.6395
19488.7095,1.002623,1,0.5989
19488.777,0.999432,1,0.5314
19489.3853,1.004957,1,0.5844
19489.4529,1.008262,1,0.6647
19489.5204,0.995714,1,0.722
19489.588,0.998962,1,0.7627
19489.6556,0.994885,1,0.792
19489.7232,0.999479,1,0.8134
19489.7908,0.994257,1,0.8292
19489.8583,0.997312,1,0.841
19489.9259,0.995072,1,0.8499
19489.9935,0.996235,1,0.8568
19490.0611,1.00225,1,0.8623
19490.1287,0.996468,1,0.8663
19490.1962,0.998068,1,0.8689
19490.2638,0.995436,1,0.8695
19490.3314,0.998522,1,0.868
19490.399,0.989497,1,0.8657
19490.4666,0.985689,1,0.8649
19490.5342,0.989162,1,0.8665
19490.6017,0.983318,1,0.8692
19490.6693,0.976084,1,0.8708
19490.7369,0.97509,1,0.8702
19490.8045,0.967329,1,0.8672
19490.8721,0.96867,1,0.8625
19490.9396,0.968775,1,0.8572
19491.0072,0.971006,1,0.8532
19491.0748,0.978347,1,0.8506
19491.1424,0.975364,1,0.8476
19491.21,0.979273,1,0.8422
19491.2775,0.984739,1,0.8337
19491.3451,0.9792,1,0.8214
19491.4127,0.97675,1,0.804
19491.4803,0.988734,1,0.7796
19491.5479,0.99038,1,0.7451
19491.6155,0.985773,1,0.6962
19491.683,0.985034,1,0.6307
19491.7506,0.973033,1,0.559
19491.8182,0.96946,1,0.5102
19491.8858,0.965722,1,0.5069
19491.9534,0.99684,1,0.5323
19492.0209,0.986157,1,0.5485
19492.0885,0.964299,1,0.5388
19492.1561,0.960552,1,0.502
19493.5077,0.686038,1,0.5064
19493.5753,0.727058,1,0.5701
19493.6429,0.771911,1,0.6107
19493.7105,0.810914,1,0.632
19493.7781,0.84896,1,0.6363
19493.8456,0.861623,1,0.6268
