gf_grade,log_gf,element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
UNGRADED,-1.347,Al,I,6696.004,60.3,2.51,0.0003,0.2285,-5.0455,1,0.105,UNEXPLAINED,no pipeline rule accounts for this drop
C+,-1.569,Al,I,6696.185,59.65,2.45,0.0003,0.1011,-5.0502,1,0.105,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.44,Al,I,6783.638,63.09,7.36,0.0002,0.1232,-5.0315,1,0.093,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.793,Ca,I,4724.5297,48.18,8.68,0.0033,0.1947,-4.9915,3,0.333,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.632,Ca,I,5441.5166,38.69,1.57,0.0003,0.0429,-5.1481,2,0.268,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.081,Ca,I,5691.6392,50.83,8.65,0.0045,0.1064,-5.0491,3,0.338,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.345,Ca,I,5738.1318,19.49,2.63,0.0004,0.0629,-5.469,16,0.106,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.338,Ca,I,5927.6372,49.07,2.91,0.0004,0.0403,-5.0821,2,0.35,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.56,Ca,I,5927.7708,48.63,10.44,0.0023,0.3172,-5.086,2,0.35,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.831,Ca,I,5979.343,42.61,18.24,0.0007,0.0291,-5.1471,4,0.029,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.242,Ca,I,5994.6704,18.11,7.81,0.0001,0.0316,-5.5198,1,0.006,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.74,Ca,I,6082.8275,47.25,2.92,0.0011,0.1977,-5.1097,4,0.35,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.919,Ca,I,6097.2657,71.43,10.08,0.0017,0.0444,-4.9313,2,0.048,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.159,Ca,I,6443.0434,10.93,1.55,0.0,0.0435,-5.7705,1,0.019,UNEXPLAINED,no pipeline rule accounts for this drop
