gf_grade,log_gf,element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
UNGRADED,-1.647,Al,I,6698.6616,24.15,1.13,0.0001,0.1353,-5.4431,0,0.003,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.2638,Al,I,6784.256,38.27,8.4,0.0002,0.0904,-5.2486,0,0.002,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.29,Ca,I,6455.598,69.86,5.95,0.0051,0.4031,-4.9657,0,0.007,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.703,Ca,I,6558.2168,5.48,1.71,0.0008,0.1385,-6.078,0,0.005,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.346,Ca,I,6789.074,19.41,7.47,0.0,0.0656,-5.5438,0,0.006,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.889,Ca,I,6798.4785,9.22,1.14,0.0001,0.0943,-5.8677,0,0.002,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.083,Cr,I,5787.9186,53.16,3.42,0.0005,0.3681,-5.0369,0,0.024,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.92,Cr,I,6330.091,33.96,4.37,0.0018,0.213,-5.2704,0,0.004,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.022,Fe,I,4641.2881,36.47,14.04,0.0092,0.3111,-5.1047,0,0.015,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.75,Fe,I,4660.8867,30.05,7.97,0.007,0.2699,-5.1906,0,0.026,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.89,Fe,I,4896.4382,51.21,3.17,0.0004,0.3401,-4.9805,0,0.01,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.921,Fe,I,5054.6423,33.78,4.16,0.0022,0.3613,-5.175,0,0.007,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.66,Fe,I,5057.4789,28.12,6.73,0.0041,0.1976,-5.2549,0,0.009,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.022,Fe,I,5294.0852,40.55,7.46,0.0042,0.1258,-5.1158,0,0.003,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.76,Fe,I,5294.547,20.11,8.91,0.0048,0.1509,-5.4204,0,0.003,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.21,Fe,I,5376.8299,25.84,6.16,0.0034,0.1664,-5.3182,0,0.012,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.67,Fe,I,5386.3328,40.82,3.59,0.002,0.2999,-5.1204,0,0.014,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.63,Fe,I,5441.3386,38.7,1.29,0.0003,0.2591,-5.148,0,0.013,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.606,Fe,I,5450.7912,19.98,3.3,0.0005,0.0833,-5.4359,0,0.006,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.233,Fe,I,5466.9868,52.1,9.25,0.0082,0.2912,-5.0209,0,0.002,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.577,Fe,I,5470.0382,42.95,7.86,0.004,0.2004,-5.105,0,0.011,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.81,Fe,I,5470.0921,43.4,7.81,0.0039,0.2169,-5.1005,0,0.011,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,0.34,Fe,I,5519.5696,27.67,2.44,0.0003,0.1809,-5.2999,0,0.005,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.45,Fe,I,5522.4458,46.82,2.98,0.0007,0.3607,-5.0717,0,0.003,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.994,Fe,I,5525.477,63.96,6.51,0.0079,0.3702,-4.9365,0,0.011,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-5.097,Fe,I,5538.5155,43.9,3.39,0.0018,0.3121,-5.1009,0,0.004,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.56,Fe,I,5539.2799,33.83,10.57,0.0037,0.1571,-5.2142,0,0.008,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.81,Fe,I,5549.9486,9.6,1.19,0.0002,0.0932,-5.762,0,0.008,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.661,Fe,I,5559.8927,50.76,16.31,0.0048,0.0425,-5.0395,0,0.004,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.568,Fe,I,5567.3907,60.33,20.17,0.0085,0.4728,-4.9651,0,0.008,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.27,Fe,I,5607.6637,18.16,1.53,0.0003,0.1315,-5.4897,0,0.003,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.276,Fe,I,5618.632,58.69,10.12,0.0054,0.4115,-4.9811,0,0.01,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.6,Fe,I,5619.595,45.02,6.83,0.0057,0.2799,-5.0963,0,0.012,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.2064,Fe,I,5620.3889,49.99,15.77,0.0054,0.2163,-5.0509,0,0.016,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.79,Fe,I,5620.4924,53.25,16.06,0.0056,0.2819,-5.0235,0,0.016,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.9,Fe,I,5651.4683,19.39,8.52,0.0057,0.1531,-5.4646,0,0.01,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-0.82,Fe,I,5679.0229,69.4,1.43,0.0004,0.446,-4.9129,0,0.002,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.021,Fe,I,5679.1183,69.39,1.74,0.0004,0.4085,-4.913,0,0.002,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.72,Fe,I,5696.0885,19.49,6.86,0.0034,0.1068,-5.4658,0,0.005,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-4.974,Fe,I,5721.7065,9.39,3.41,0.0004,0.0454,-5.7849,0,0.002,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.2,Fe,I,5731.7615,70.59,1.87,0.0006,0.4464,-4.9095,0,0.041,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-1.251,Fe,I,5743.9323,38.82,17.93,0.0003,0.0432,-5.1702,0,0.004,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.093,Fe,I,5759.5086,18.74,5.71,0.0025,0.1056,-5.4876,0,0.001,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-2.39,Fe,I,5760.3435,34.64,5.76,0.0023,0.1989,-5.2209,0,0.002,UNEXPLAINED,no pipeline rule accounts for this drop
UNGRADED,-3.43,Fe,I,5778.4526,23.09,6.1,0.0011,0.2032,-5.3984,0,0.003,UNEXPLAINED,no pipeline rule accounts for this drop
