element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Fe,II,4119.5188,93.6,37.52,0.0762,0.3892,-4.6436,21,0.208,SATURATED_REW,REW -4.644 > -4.9
Fe,I,4119.9086,285.31,179.92,0.0935,0.3351,-4.1596,6,0.208,SATURATED_REW,REW -4.160 > -4.9
Cr,I,4120.1145,91.93,21.22,0.0738,0.4816,-4.6515,9,0.84,SATURATED_REW,REW -4.651 > -4.9
Fe,I,4120.2062,91.93,17.87,0.0705,0.8012,-4.6515,11,0.172,SATURATED_REW,REW -4.651 > -4.9
Fe,I,4120.349,275.21,114.18,0.069,0.2595,-4.1753,13,0.141,SATURATED_REW,REW -4.175 > -4.9
V,I,4120.5529,6.99,17.86,0.0918,0.2655,-5.7705,5,0.84,EW_ERR_EXCESS,err/EW 2.56 > 0.5
Cr,I,4120.6133,12.04,23.02,0.0921,0.2872,-5.5343,31,0.364,EW_ERR_EXCESS,err/EW 1.91 > 0.5
V,I,4120.793,10.07,25.91,0.0914,0.2267,-5.612,3,0.193,EW_ERR_EXCESS,err/EW 2.57 > 0.5
V,I,4120.9178,179.24,214.16,0.0707,0.1761,-4.3616,3,0.193,SATURATED_REW,REW -4.362 > -4.9
Ca,I,4121.004,267.33,212.25,0.0623,0.1479,-4.188,62,0.916,SATURATED_REW,REW -4.188 > -4.9
Co,I,4121.3008,122.85,30.29,0.0783,0.8762,-4.5257,1,0.189,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Zr,I,4121.46,121.6,29.66,0.0764,0.3899,-4.5301,24,0.916,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,4121.6341,250.65,248.37,0.0783,0.163,-4.216,28,0.916,SATURATED_REW,REW -4.216 > -4.9
Fe,I,4121.8022,86.34,25.75,0.0783,0.7938,-4.6789,4,0.435,SATURATED_REW,REW -4.679 > -4.9
Cr,I,4121.8157,86.34,25.77,0.0783,0.7938,-4.6789,5,0.84,SATURATED_REW,REW -4.679 > -4.9
Ni,I,4121.986,287.83,179.51,0.0773,0.1986,-4.156,27,0.84,SATURATED_REW,REW -4.156 > -4.9
Fe,I,4122.0058,282.74,257.68,0.0808,0.1986,-4.1637,26,0.435,SATURATED_REW,REW -4.164 > -4.9
Ti,I,4122.1445,23.04,26.92,0.0865,0.3354,-5.2526,28,0.84,EW_ERR_EXCESS,err/EW 1.17 > 0.5
Cr,I,4122.1585,23.04,26.96,0.0861,0.3354,-5.2526,26,0.322,EW_ERR_EXCESS,err/EW 1.17 > 0.5
Co,I,4122.1697,23.05,26.96,0.0857,0.3354,-5.2525,7,0.845,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4122.2544,266.18,169.57,0.0653,0.2487,-4.19,8,0.845,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,4122.3635,275.0,196.54,0.0666,0.1513,-4.1758,28,0.845,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4122.5153,139.11,51.22,0.0741,0.7737,-4.4718,22,0.112,SATURATED_REW,REW -4.472 > -4.9
Fe,I,4122.6497,137.47,64.0,0.0788,0.6143,-4.477,4,0.112,SATURATED_REW,REW -4.477 > -4.9
Fe,II,4122.6589,137.3,64.5,0.0791,0.6143,-4.4775,2,0.112,SATURATED_REW,REW -4.478 > -4.9
Mn,I,4122.7562,123.8,50.42,0.0618,0.5127,-4.5225,3,0.845,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,4122.8601,280.57,213.76,0.0682,0.1473,-4.1672,15,0.845,SATURATED_REW,REW -4.167 > -4.9
Ti,I,4123.2864,297.46,155.25,0.0633,0.519,-4.1418,50,0.745,SATURATED_REW,REW -4.142 > -4.9
Cr,I,4123.3821,292.73,148.08,0.0639,0.3349,-4.1488,52,0.773,SATURATED_REW,REW -4.149 > -4.9
V,I,4123.4765,292.72,148.86,0.0639,0.6153,-4.1488,35,0.779,SATURATED_REW,REW -4.149 > -4.9
Mn,I,4123.5213,294.49,149.34,0.0639,0.6153,-4.1462,36,0.779,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,4123.5503,299.83,147.63,0.0644,0.6153,-4.1384,31,0.779,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4123.7279,279.51,172.72,0.078,0.796,-4.1689,24,0.745,SATURATED_REW,REW -4.169 > -4.9
Fe,I,4123.7648,279.67,171.49,0.0774,0.796,-4.1686,23,0.745,SATURATED_REW,REW -4.169 > -4.9
Ni,I,4123.7873,279.83,167.31,0.0757,0.796,-4.1684,25,0.779,SATURATED_REW,REW -4.168 > -4.9
Co,I,4123.8797,280.46,145.81,0.071,0.4164,-4.1674,34,0.779,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4123.9392,299.06,93.97,0.0583,0.3556,-4.1396,22,0.289,SATURATED_REW,REW -4.140 > -4.9
Cr,I,4124.3577,24.32,21.85,0.0752,0.1238,-5.2294,22,0.429,EW_ERR_EXCESS,err/EW 0.90 > 0.5
Fe,I,4124.4872,28.84,24.59,0.0802,0.4048,-5.1554,2,0.161,EW_ERR_EXCESS,err/EW 0.85 > 0.5
Cr,I,4124.5682,28.84,22.57,0.0745,0.3539,-5.1554,7,0.478,EW_ERR_EXCESS,err/EW 0.78 > 0.5
V,I,4124.5775,28.88,22.58,0.0742,0.3145,-5.1548,10,0.478,EW_ERR_EXCESS,err/EW 0.78 > 0.5
Fe,II,4124.7825,53.08,36.73,0.0703,0.381,-4.8905,6,0.428,SATURATED_REW,REW -4.890 > -4.9
Cr,I,4124.8627,53.09,37.69,0.0712,0.3554,-4.8904,8,0.478,SATURATED_REW,REW -4.890 > -4.9
Y,II,4124.9048,53.07,38.34,0.0723,0.3183,-4.8906,8,0.478,SATURATED_REW,REW -4.891 > -4.9
Fe,I,4125.6198,96.88,33.37,0.0729,0.7118,-4.6293,0,0.063,SATURATED_REW,REW -4.629 > -4.9
V,I,4125.8459,70.51,25.42,0.0814,0.6917,-4.7673,3,0.831,SATURATED_REW,REW -4.767 > -4.9
V,I,4125.8515,70.51,25.41,0.0815,0.6917,-4.7673,3,0.831,SATURATED_REW,REW -4.767 > -4.9
Fe,I,4125.88,70.35,25.49,0.0813,0.6917,-4.7683,0,0.063,SATURATED_REW,REW -4.768 > -4.9
Fe,I,4126.1041,104.3,30.6,0.0716,0.6398,-4.5973,0,0.035,SATURATED_REW,REW -4.597 > -4.9
Fe,I,4126.1826,104.03,30.62,0.0721,0.805,-4.5984,1,0.662,SATURATED_REW,REW -4.598 > -4.9
Cr,I,4126.512,39.42,19.73,0.0708,0.5334,-5.0199,3,0.831,EW_ERR_EXCESS,err/EW 0.50 > 0.5
Fe,I,4126.8513,41.46,19.57,0.0921,0.4331,-4.998,5,0.662,UNEXPLAINED,no pipeline rule accounts for this drop
Cr,I,4126.9176,41.46,19.29,0.0916,0.4331,-4.998,4,0.659,UNEXPLAINED,no pipeline rule accounts for this drop
Fe,I,4127.9435,269.2,148.18,0.0677,0.3159,-4.1857,31,0.779,SATURATED_REW,REW -4.186 > -4.9
V,I,4128.0381,90.56,33.98,0.0739,0.7419,-4.6588,21,0.789,SATURATED_REW,REW -4.659 > -4.9
V,I,4128.051,91.57,34.38,0.0746,0.7419,-4.654,21,0.789,SATURATED_REW,REW -4.654 > -4.9
Si,II,4128.0536,91.57,34.39,0.0746,0.7419,-4.654,33,0.789,SATURATED_REW,REW -4.654 > -4.9
Cr,I,4128.0999,96.89,36.61,0.0788,0.7419,-4.6295,31,0.789,SATURATED_REW,REW -4.629 > -4.9
Mn,II,4128.1195,98.92,37.51,0.0807,0.7419,-4.6205,17,0.789,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,4128.6267,42.06,28.46,0.0895,0.2316,-4.9919,7,0.626,EW_ERR_EXCESS,err/EW 0.68 > 0.5
Fe,II,4128.7391,41.52,28.88,0.0947,0.5308,-4.9976,1,0.064,EW_ERR_EXCESS,err/EW 0.70 > 0.5
V,I,4128.8507,39.03,27.57,0.0932,0.3152,-5.0244,8,0.638,EW_ERR_EXCESS,err/EW 0.71 > 0.5
Ti,II,4129.1509,54.15,27.0,0.0808,0.6758,-4.8823,4,0.658,SATURATED_REW,REW -4.882 > -4.9
Ti,I,4129.1654,54.7,27.15,0.0802,0.6758,-4.8779,4,0.658,SATURATED_REW,REW -4.878 > -4.9
Cr,I,4129.1837,55.28,27.31,0.0794,0.6758,-4.8733,5,0.658,SATURATED_REW,REW -4.873 > -4.9
Fe,I,4129.1936,55.28,27.32,0.0791,0.6758,-4.8733,4,0.638,SATURATED_REW,REW -4.873 > -4.9
Fe,I,4129.46,42.5,25.75,0.0864,0.568,-4.9875,36,0.638,EW_ERR_EXCESS,err/EW 0.61 > 0.5
Eu,II,4129.5968,246.22,213.72,0.0922,0.3111,-4.2246,2,0.658,SYNTH_ROUTED,Eu: synthesis is the reporting channel (HFS_sum (problem-children registry))
Fe,I,4130.036,80.27,30.83,0.1003,0.6342,-4.7114,20,0.52,SATURATED_REW,REW -4.711 > -4.9
Cr,I,4130.0755,80.28,30.41,0.0997,0.6342,-4.7114,11,0.588,SATURATED_REW,REW -4.711 > -4.9
Fe,I,4130.0793,80.27,30.44,0.0997,0.6342,-4.7114,9,0.52,SATURATED_REW,REW -4.711 > -4.9
Co,I,4130.5515,20.88,20.44,0.0767,0.2669,-5.2963,8,0.597,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ba,II,4130.645,23.62,17.09,0.0799,0.4673,-5.2427,28,0.385,SYNTH_ROUTED,Ba: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,4131.0726,28.26,23.29,0.0998,0.4487,-5.1649,5,0.165,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
V,I,4131.1512,35.52,27.82,0.1094,0.4487,-5.0656,31,0.401,EW_ERR_EXCESS,err/EW 0.78 > 0.5
Mn,I,4131.1541,35.52,27.82,0.1094,0.4487,-5.0656,5,0.165,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,4131.1682,36.29,28.22,0.1092,0.4487,-5.0563,30,0.401,EW_ERR_EXCESS,err/EW 0.78 > 0.5
Ti,I,4131.3287,18.55,30.82,0.1087,0.304,-5.3477,29,0.401,EW_ERR_EXCESS,err/EW 1.66 > 0.5
Fe,I,4132.8989,123.22,35.15,0.0945,0.8492,-4.5256,0,0.046,SATURATED_REW,REW -4.526 > -4.9
Sc,I,4132.9706,121.92,35.78,0.094,0.8492,-4.5302,3,0.875,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
V,I,4135.3514,267.16,210.29,0.077,0.2682,-4.1897,20,0.345,SATURATED_REW,REW -4.190 > -4.9
Zr,I,4135.656,14.04,19.54,0.088,0.2349,-5.4692,4,0.235,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4135.719,13.96,19.44,0.0889,0.3043,-5.4717,3,0.151,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4135.7548,14.07,19.67,0.089,0.3043,-5.4683,3,0.089,EW_ERR_EXCESS,err/EW 1.40 > 0.5
Fe,I,4136.5204,69.64,23.27,0.065,0.6977,-4.7738,0,0.054,SATURATED_REW,REW -4.774 > -4.9
Ti,I,4136.8822,260.45,252.27,0.0728,0.3743,-4.2009,3,0.865,SATURATED_REW,REW -4.201 > -4.9
Mn,II,4136.9023,95.76,33.39,0.0743,0.5237,-4.6355,3,0.865,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4136.9975,103.03,35.17,0.0783,0.828,-4.6037,8,0.329,SATURATED_REW,REW -4.604 > -4.9
Mn,I,4137.2579,251.92,236.98,0.0553,0.4091,-4.2154,5,0.865,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,4137.2838,251.92,241.03,0.0553,0.4091,-4.2155,10,0.865,SATURATED_REW,REW -4.215 > -4.9
Cr,I,4137.3661,251.92,245.05,0.052,0.6069,-4.2155,10,0.679,SATURATED_REW,REW -4.215 > -4.9
Cr,I,4138.818,213.2,317.09,0.039,0.2705,-4.2881,4,0.601,SATURATED_REW,REW -4.288 > -4.9
Fe,I,4138.8385,196.39,313.42,0.0381,0.2705,-4.3238,1,0.204,SATURATED_REW,REW -4.324 > -4.9
Fe,I,4138.9744,217.19,290.52,0.0354,0.2125,-4.2801,3,0.041,SATURATED_REW,REW -4.280 > -4.9
Fe,I,4139.0873,299.97,198.38,0.0273,0.3233,-4.1398,3,0.094,SATURATED_REW,REW -4.140 > -4.9
Fe,II,4139.7217,262.15,98.06,0.0159,0.1429,-4.1984,14,0.094,SATURATED_REW,REW -4.198 > -4.9
Ti,I,4139.8371,160.27,230.02,0.0685,0.4715,-4.4121,1,0.836,SATURATED_REW,REW -4.412 > -4.9
Fe,I,4139.9267,71.83,25.47,0.0687,0.7664,-4.7607,0,0.064,SATURATED_REW,REW -4.761 > -4.9
Fe,I,4140.2401,6.39,15.15,0.0556,0.2777,-5.8115,19,0.06,EW_ERR_EXCESS,err/EW 2.37 > 0.5
Sc,I,4140.2608,6.15,14.96,0.0562,0.2777,-5.8282,5,0.836,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Fe,I,4140.4025,52.41,27.29,0.0637,0.6486,-4.8976,0,0.06,SATURATED_REW,REW -4.898 > -4.9
Ti,I,4140.4134,52.41,27.61,0.0649,0.6486,-4.8976,3,0.791,SATURATED_REW,REW -4.898 > -4.9
Fe,I,4140.4715,52.69,28.91,0.0693,0.6486,-4.8953,0,0.06,SATURATED_REW,REW -4.895 > -4.9
Mn,I,4141.0398,7.81,9.27,0.0421,0.2964,-5.7245,28,0.296,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,4141.0519,7.84,9.24,0.0421,0.2964,-5.7228,28,0.296,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4141.6829,214.14,265.8,0.0622,0.2754,-4.2865,16,0.206,SATURATED_REW,REW -4.286 > -4.9
V,I,4141.8057,63.15,15.03,0.0798,0.6316,-4.8168,18,0.756,SATURATED_REW,REW -4.817 > -4.9
Fe,I,4141.8627,63.75,15.08,0.0803,0.6837,-4.8127,17,0.304,SATURATED_REW,REW -4.813 > -4.9
Co,II,4145.1197,150.27,255.17,0.0995,0.348,-4.4407,4,0.619,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,II,4145.1534,26.47,22.29,0.1018,0.4755,-5.1948,2,0.619,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4145.1993,25.24,21.41,0.0996,0.4755,-5.2155,1,0.229,EW_ERR_EXCESS,err/EW 0.85 > 0.5
Ni,I,4145.3015,13.7,14.46,0.0827,0.3218,-5.4808,17,0.619,EW_ERR_EXCESS,err/EW 1.06 > 0.5
Fe,I,4145.7514,53.27,25.71,0.0868,0.5288,-4.8911,2,0.153,SATURATED_REW,REW -4.891 > -4.9
Cr,II,4145.7788,53.28,25.85,0.0872,0.5288,-4.891,3,0.753,SATURATED_REW,REW -4.891 > -4.9
Ti,I,4145.9844,83.25,32.63,0.0911,0.5652,-4.6972,3,0.753,SATURATED_REW,REW -4.697 > -4.9
Fe,I,4146.064,81.83,34.9,0.0899,0.6928,-4.7047,2,0.196,SATURATED_REW,REW -4.705 > -4.9
Fe,II,4147.2654,180.94,111.56,0.0687,0.4042,-4.3602,15,0.292,SATURATED_REW,REW -4.360 > -4.9
Fe,I,4147.3423,144.82,62.52,0.0628,0.5695,-4.4569,15,0.292,SATURATED_REW,REW -4.457 > -4.9
V,I,4147.3576,129.05,47.29,0.0605,0.5695,-4.507,18,0.912,SATURATED_REW,REW -4.507 > -4.9
Fe,I,4147.4731,158.62,32.95,0.0476,0.4602,-4.4174,15,0.292,SATURATED_REW,REW -4.417 > -4.9
Mn,I,4147.4993,114.96,37.58,0.0817,0.4602,-4.5572,3,0.912,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,4147.5509,114.71,38.15,0.0811,0.4602,-4.5582,4,0.912,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4147.6686,112.25,40.45,0.078,0.8613,-4.5676,15,0.292,SATURATED_REW,REW -4.568 > -4.9
Cr,I,4147.734,108.81,39.78,0.0759,0.8613,-4.5811,17,0.912,SATURATED_REW,REW -4.581 > -4.9
Cr,I,4147.8942,161.22,33.19,0.0475,0.1498,-4.4104,10,0.912,SATURATED_REW,REW -4.410 > -4.9
Ti,I,4147.9401,164.33,32.98,0.0477,0.1248,-4.4021,7,0.912,SATURATED_REW,REW -4.402 > -4.9
Fe,I,4148.4107,16.54,25.92,0.0752,0.2185,-5.3993,4,0.106,EW_ERR_EXCESS,err/EW 1.57 > 0.5
Cr,I,4148.4706,16.39,26.81,0.077,0.2455,-5.4033,20,0.282,EW_ERR_EXCESS,err/EW 1.64 > 0.5
Fe,I,4148.5109,16.38,27.54,0.0775,0.2455,-5.4036,18,0.208,EW_ERR_EXCESS,err/EW 1.68 > 0.5
Ni,I,4148.7244,17.66,22.72,0.0732,0.2881,-5.3709,20,0.282,EW_ERR_EXCESS,err/EW 1.29 > 0.5
Mn,I,4148.7689,17.66,20.15,0.0731,0.2882,-5.3709,4,0.11,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4148.8237,17.66,18.52,0.0731,0.2882,-5.3709,18,0.208,EW_ERR_EXCESS,err/EW 1.05 > 0.5
V,I,4148.8399,17.95,19.2,0.0733,0.2882,-5.3639,21,0.535,EW_ERR_EXCESS,err/EW 1.07 > 0.5
V,I,4148.853,18.31,19.81,0.0737,0.2882,-5.3552,22,0.78,EW_ERR_EXCESS,err/EW 1.08 > 0.5
Fe,I,4150.2487,138.41,67.64,0.0782,0.7343,-4.4769,21,0.374,SATURATED_REW,REW -4.477 > -4.9
Ni,I,4150.37,143.06,69.44,0.0797,0.4448,-4.4626,42,0.783,SATURATED_REW,REW -4.463 > -4.9
Fe,I,4150.3705,143.06,69.44,0.0797,0.4448,-4.4626,41,0.374,SATURATED_REW,REW -4.463 > -4.9
Co,I,4150.3844,142.99,69.13,0.0797,0.4677,-4.4628,4,0.783,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
S,I,4150.4124,142.98,68.87,0.0797,0.4789,-4.4628,43,0.783,SATURATED_REW,REW -4.463 > -4.9
Co,I,4150.451,124.04,67.54,0.0713,0.4789,-4.5245,5,0.783,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,4150.776,279.61,160.44,0.0787,0.2242,-4.1716,36,0.466,SATURATED_REW,REW -4.172 > -4.9
Ti,I,4150.7981,274.91,164.32,0.0792,0.2242,-4.1789,20,0.427,SATURATED_REW,REW -4.179 > -4.9
Fe,I,4150.9109,46.14,30.9,0.0892,0.4659,-4.9541,4,0.466,EW_ERR_EXCESS,err/EW 0.67 > 0.5
Ti,I,4150.9583,45.82,31.1,0.0889,0.4812,-4.9571,2,0.427,EW_ERR_EXCESS,err/EW 0.68 > 0.5
Zr,II,4150.986,43.95,29.81,0.0868,0.4812,-4.9752,3,0.466,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,II,4150.9907,42.46,28.78,0.0851,0.4812,-4.9902,4,0.466,EW_ERR_EXCESS,err/EW 0.68 > 0.5
Mn,I,4151.0062,40.5,27.43,0.0827,0.4812,-5.0107,4,0.466,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4151.9451,275.91,97.6,0.0848,0.6857,-4.1775,9,0.398,SATURATED_REW,REW -4.177 > -4.9
Fe,I,4152.0551,258.84,90.45,0.0788,0.7363,-4.2052,30,0.398,SATURATED_REW,REW -4.205 > -4.9
Fe,I,4152.1686,267.37,94.57,0.0811,0.8341,-4.1912,10,0.398,SATURATED_REW,REW -4.191 > -4.9
Sc,I,4152.3311,274.8,98.31,0.0828,0.3209,-4.1793,8,0.878,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Sc,I,4152.3549,278.48,99.95,0.0834,0.3013,-4.1735,6,0.878,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Mn,I,4152.4665,237.6,42.0,0.042,0.1949,-4.2425,45,0.878,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4152.7618,6.81,12.39,0.0774,0.3335,-5.7852,4,0.236,EW_ERR_EXCESS,err/EW 1.82 > 0.5
Cr,I,4152.7637,6.8,12.39,0.0774,0.3335,-5.7858,6,0.127,EW_ERR_EXCESS,err/EW 1.82 > 0.5
Fe,I,4153.1151,8.19,26.46,0.1126,0.2113,-5.7051,18,0.18,EW_ERR_EXCESS,err/EW 3.23 > 0.5
Ca,I,4153.1223,8.93,28.4,0.1134,0.2113,-5.6675,20,0.504,EW_ERR_EXCESS,err/EW 3.18 > 0.5
Co,I,4153.1495,162.25,227.64,0.1114,0.1912,-4.4082,16,0.504,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,4153.1696,163.22,227.62,0.1125,0.1704,-4.4056,13,0.504,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
V,I,4153.2961,38.73,25.47,0.1146,0.2728,-5.0303,7,0.504,EW_ERR_EXCESS,err/EW 0.66 > 0.5
Fe,I,4153.3862,38.17,18.04,0.114,0.4695,-5.0367,4,0.18,UNEXPLAINED,no pipeline rule accounts for this drop
Mn,I,4155.5004,9.67,49.85,0.1251,0.1937,-5.6332,6,0.13,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Ca,I,4155.5348,6.31,34.93,0.123,0.1937,-5.8186,17,0.112,EW_ERR_EXCESS,err/EW 5.54 > 0.5
Cr,I,4157.1825,21.77,23.37,0.0916,0.3459,-5.2809,1,0.097,EW_ERR_EXCESS,err/EW 1.07 > 0.5
S,I,4157.6984,140.66,40.94,0.0853,0.7141,-4.4707,2,0.867,SATURATED_REW,REW -4.471 > -4.9
Ti,I,4157.745,140.52,40.86,0.0853,0.8406,-4.4711,2,0.867,SATURATED_REW,REW -4.471 > -4.9
Fe,I,4157.7691,140.54,39.7,0.0852,0.8406,-4.4711,0,0.062,SATURATED_REW,REW -4.471 > -4.9
V,I,4157.9249,144.07,41.76,0.0864,0.4418,-4.4603,3,0.867,SATURATED_REW,REW -4.460 > -4.9
V,I,4157.9544,144.08,41.74,0.0864,0.3855,-4.4603,3,0.867,SATURATED_REW,REW -4.460 > -4.9
Ti,I,4158.2698,20.13,18.72,0.0784,0.2006,-5.3151,26,0.113,EW_ERR_EXCESS,err/EW 0.93 > 0.5
Ti,II,4158.2786,19.76,18.69,0.0776,0.2381,-5.3231,26,0.113,EW_ERR_EXCESS,err/EW 0.95 > 0.5
Co,I,4158.3556,19.11,19.76,0.0735,0.3953,-5.3377,1,0.106,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,II,4158.4436,19.92,20.81,0.0772,0.3953,-5.3196,22,0.113,EW_ERR_EXCESS,err/EW 1.04 > 0.5
Co,I,4158.4572,19.84,20.83,0.0763,0.3662,-5.3214,3,0.843,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,4158.5258,17.5,19.87,0.0735,0.2197,-5.3759,26,0.843,EW_ERR_EXCESS,err/EW 1.14 > 0.5
Mn,I,4158.6875,211.89,166.81,0.0779,0.4881,-4.2928,25,0.843,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4158.749,90.38,30.69,0.0782,0.806,-4.6629,8,0.124,SATURATED_REW,REW -4.663 > -4.9
Fe,I,4158.792,92.22,31.58,0.08,0.806,-4.6541,3,0.124,SATURATED_REW,REW -4.654 > -4.9
Ca,I,4159.2748,118.57,40.49,0.0808,0.7132,-4.545,2,0.124,SATURATED_REW,REW -4.545 > -4.9
Ca,I,4160.0363,222.08,142.28,0.0619,0.3072,-4.2726,10,0.704,SATURATED_REW,REW -4.273 > -4.9
Fe,I,4160.1392,237.05,96.48,0.0604,0.3116,-4.2443,1,0.059,SATURATED_REW,REW -4.244 > -4.9
Ca,I,4160.1565,238.52,96.82,0.0602,0.3116,-4.2416,4,0.704,SATURATED_REW,REW -4.242 > -4.9
Ti,I,4160.1843,240.95,97.59,0.06,0.2811,-4.2372,3,0.704,SATURATED_REW,REW -4.237 > -4.9
Fe,I,4160.2403,259.46,222.89,0.0711,0.2986,-4.205,9,0.114,SATURATED_REW,REW -4.205 > -4.9
Fe,I,4160.3621,271.46,178.74,0.0615,0.6149,-4.1854,18,0.114,SATURATED_REW,REW -4.185 > -4.9
Cr,II,4161.0747,298.46,135.85,0.0536,0.6092,-4.1443,7,0.728,SATURATED_REW,REW -4.144 > -4.9
Fe,I,4161.0769,298.65,135.98,0.0536,0.6092,-4.144,5,0.665,SATURATED_REW,REW -4.144 > -4.9
Cr,I,4161.4144,286.42,147.67,0.0593,0.5305,-4.1622,6,0.76,SATURATED_REW,REW -4.162 > -4.9
Fe,I,4161.4842,291.74,148.76,0.0584,0.75,-4.1543,5,0.76,SATURATED_REW,REW -4.154 > -4.9
Ti,II,4161.5292,293.15,156.2,0.0581,0.75,-4.1522,6,0.711,SATURATED_REW,REW -4.152 > -4.9
Fe,I,4162.4308,272.55,172.14,0.0459,0.3459,-4.1839,22,0.195,SATURATED_REW,REW -4.184 > -4.9
Cr,I,4163.6187,135.29,47.05,0.066,0.8026,-4.4882,3,0.799,SATURATED_REW,REW -4.488 > -4.9
Ti,II,4163.6437,134.34,46.35,0.0664,0.8026,-4.4913,3,0.724,SATURATED_REW,REW -4.491 > -4.9
Cr,I,4163.6656,134.08,45.98,0.0668,0.8026,-4.4921,3,0.799,SATURATED_REW,REW -4.492 > -4.9
Fe,I,4163.6682,134.08,45.87,0.0669,0.8026,-4.4921,2,0.799,SATURATED_REW,REW -4.492 > -4.9
Cr,I,4163.8986,181.52,33.72,0.029,0.1521,-4.3606,45,0.799,SATURATED_REW,REW -4.361 > -4.9
Mg,I,4165.101,164.81,33.66,0.0317,0.3669,-4.4026,7,0.654,SYNTH_ROUTED,Mg: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,4165.1286,157.88,35.81,0.0317,0.3669,-4.4213,3,0.408,SATURATED_REW,REW -4.421 > -4.9
Sc,I,4165.1869,142.26,40.41,0.0325,0.3626,-4.4666,7,0.654,SYNTH_ROUTED,Sc: synthesis is the reporting channel (HFS_sum (problem-children registry))
Ti,I,4165.3081,185.42,69.4,0.0594,0.6008,-4.3515,9,0.654,SATURATED_REW,REW -4.351 > -4.9
Fe,I,4165.3585,185.42,59.58,0.059,0.6497,-4.3515,4,0.408,SATURATED_REW,REW -4.351 > -4.9
Ni,I,4165.4441,192.32,61.57,0.061,0.6497,-4.3356,8,0.654,SATURATED_REW,REW -4.336 > -4.9
