wave_air_A,engine_b,lower,upper,band,log_gf,ep_eV,predicted_depth,instruments
12225.9542,REFUSED,UNIQUE,ABSENT,NIR,-0.767,6.2368,0.054,kpno_solar_atlas
12227.1115,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.368,4.607,0.241,kpno_solar_atlas
12273.0272,REFUSED,UNIQUE,ABSENT,NIR,-0.823,6.2057,0.052,kpno_solar_atlas
12283.2978,REFUSED,UNIQUE,ABSENT,NIR,-0.537,6.1692,0.095,kpno_solar_atlas
12297.1793,NO-VALD-LEVELS,,,NIR,-0.278,4.913,0.112,kpno_solar_atlas
12320.2621,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.011,5.6693,0.097,kpno_solar_atlas
12331.9064,REFUSED,UNIQUE,ABSENT,NIR,-0.64,6.3999,0.052,kpno_solar_atlas
12333.026,REFUSED,UNIQUE,ABSENT,NIR,-0.531,6.3327,0.072,kpno_solar_atlas
12342.9158,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.463,4.6382,0.216,kpno_solar_atlas
12432.8097,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.239,5.6826,0.064,kpno_solar_atlas
12510.5191,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.605,4.9556,0.118,kpno_solar_atlas
12556.9958,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.626,2.2786,0.288,kpno_solar_atlas
12615.9277,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.517,4.6382,0.211,kpno_solar_atlas
12638.7033,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.783,4.5585,0.358,kpno_solar_atlas
12648.7407,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.14,4.607,0.296,kpno_solar_atlas
12789.4502,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.514,5.0095,0.132,kpno_solar_atlas
12807.1516,AVAILABLE,UNIQUE,UNIQUE,NIR,-2.452,3.6398,0.237,kpno_solar_atlas
12808.2428,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.362,4.988,0.17,kpno_solar_atlas
12824.8594,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.835,3.0176,0.075,kpno_solar_atlas
12840.574,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.329,4.9556,0.186,kpno_solar_atlas
12879.7658,AVAILABLE,UNIQUE,UNIQUE,NIR,-3.458,2.2786,0.334,kpno_solar_atlas
12896.1178,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.424,4.913,0.175,kpno_solar_atlas
12932.9992,AVAILABLE,UNIQUE,UNIQUE,NIR,-1.548,5.0203,0.126,kpno_solar_atlas
12934.6658,AVAILABLE,UNIQUE,UNIQUE,NIR,-0.948,5.3933,0.177,kpno_solar_atlas
