wave_air_A,engine_b,lower,upper,band,log_gf,ep_eV,predicted_depth,instruments
9454.1941,REFUSED,UNIQUE,AMBIGUOUS,red-optical,-0.815,5.0995,0.217,kpno_solar_atlas|iag_fts_solar_atlas
9463.0277,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.25,4.9556,0.152,kpno_solar_atlas|iag_fts_solar_atlas
9485.954,AVAILABLE,UNIQUE,UNIQUE,red-optical,-2.956,3.3009,0.149,kpno_solar_atlas|iag_fts_solar_atlas
9495.8833,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.702,5.0638,0.057,kpno_solar_atlas|iag_fts_solar_atlas
9507.1523,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.918,4.652,0.085,kpno_solar_atlas|iag_fts_solar_atlas
9513.2617,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.955,5.0331,0.2,kpno_solar_atlas|iag_fts_solar_atlas
9529.5192,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.57,5.3046,0.227,kpno_solar_atlas|iag_fts_solar_atlas
9550.9566,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.574,4.988,0.086,kpno_solar_atlas|iag_fts_solar_atlas
9556.5049,AVAILABLE,UNIQUE,UNIQUE,red-optical,-2.652,3.2515,0.238,kpno_solar_atlas|iag_fts_solar_atlas
9569.9077,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.423,4.9913,0.319,kpno_solar_atlas|iag_fts_solar_atlas
9574.9341,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.277,5.3204,0.082,kpno_solar_atlas|iag_fts_solar_atlas
9576.4778,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.709,5.0117,0.064,kpno_solar_atlas|iag_fts_solar_atlas
9602.1301,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.744,5.0117,0.06,kpno_solar_atlas|iag_fts_solar_atlas
9604.3247,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.514,5.0995,0.077,kpno_solar_atlas|iag_fts_solar_atlas
9624.9624,REFUSED,UNIQUE,ABSENT,red-optical,0.1,6.9316,0.055,kpno_solar_atlas|iag_fts_solar_atlas
9625.6509,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.421,5.0117,0.109,kpno_solar_atlas|iag_fts_solar_atlas
9626.4962,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.249,5.0331,0.34,kpno_solar_atlas|iag_fts_solar_atlas
9626.8234,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.997,5.3046,0.135,kpno_solar_atlas|iag_fts_solar_atlas
9634.1831,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.581,5.0638,0.275,kpno_solar_atlas|iag_fts_solar_atlas
9639.3284,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.06,5.3194,0.119,kpno_solar_atlas|iag_fts_solar_atlas
9653.1147,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.684,4.7331,0.323,kpno_solar_atlas|iag_fts_solar_atlas
9657.2326,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.78,5.0856,0.228,kpno_solar_atlas|iag_fts_solar_atlas
9659.0754,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.106,5.0638,0.159,kpno_solar_atlas|iag_fts_solar_atlas
9693.8399,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.661,5.0856,0.06,kpno_solar_atlas|iag_fts_solar_atlas
9699.7719,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.431,5.0638,0.096,kpno_solar_atlas|iag_fts_solar_atlas
9723.132,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.608,5.0117,0.079,kpno_solar_atlas|iag_fts_solar_atlas
9738.5725,AVAILABLE,UNIQUE,UNIQUE,red-optical,0.15,4.9913,0.402,kpno_solar_atlas|iag_fts_solar_atlas
9738.8998,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.387,5.3194,0.067,kpno_solar_atlas|iag_fts_solar_atlas
9747.3175,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.79,4.58,0.122,kpno_solar_atlas|iag_fts_solar_atlas
9753.0906,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.782,4.7955,0.293,kpno_solar_atlas|iag_fts_solar_atlas
9763.3796,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.412,5.0995,0.299,kpno_solar_atlas|iag_fts_solar_atlas
9763.8954,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.744,5.0331,0.247,kpno_solar_atlas|iag_fts_solar_atlas
9768.3125,AVAILABLE,UNIQUE,UNIQUE,red-optical,-2.164,4.652,0.053,kpno_solar_atlas|iag_fts_solar_atlas
9783.9928,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.212,4.9913,0.153,kpno_solar_atlas|iag_fts_solar_atlas
9786.6411,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.676,4.6076,0.14,kpno_solar_atlas|iag_fts_solar_atlas
9800.3075,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.453,5.0856,0.294,kpno_solar_atlas|iag_fts_solar_atlas
9800.7985,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.197,5.0995,0.133,kpno_solar_atlas|iag_fts_solar_atlas
9811.5041,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.362,5.0117,0.121,kpno_solar_atlas|iag_fts_solar_atlas
9834.1851,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.214,4.9913,0.153,kpno_solar_atlas|iag_fts_solar_atlas
9861.7337,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.142,5.0638,0.349,kpno_solar_atlas|iag_fts_solar_atlas
9868.1857,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.979,5.0856,0.184,kpno_solar_atlas|iag_fts_solar_atlas
9881.5223,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.711,4.5844,0.139,kpno_solar_atlas|iag_fts_solar_atlas
9889.0351,AVAILABLE,UNIQUE,UNIQUE,red-optical,-0.446,5.0331,0.305,kpno_solar_atlas|iag_fts_solar_atlas
9898.0065,REFUSED,ABSENT,UNIQUE,red-optical,-1.715,4.7861,0.099,kpno_solar_atlas|iag_fts_solar_atlas
9913.1802,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.266,4.9913,0.142,kpno_solar_atlas|iag_fts_solar_atlas
9924.4092,NO-VALD-LEVELS,,,red-optical,-1.762,3.5465,0.072,kpno_solar_atlas|iag_fts_solar_atlas
9944.2066,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.338,5.0117,0.127,kpno_solar_atlas|iag_fts_solar_atlas
9951.1572,REFUSED,UNIQUE,ABSENT,red-optical,-1.267,5.3933,0.074,kpno_solar_atlas|iag_fts_solar_atlas
9953.4696,REFUSED,UNIQUE,ABSENT,red-optical,-1.309,5.4457,0.062,kpno_solar_atlas|iag_fts_solar_atlas
9977.641,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.66,5.0638,0.064,kpno_solar_atlas|iag_fts_solar_atlas
9980.4629,AVAILABLE,UNIQUE,UNIQUE,red-optical,-1.379,5.0331,0.112,kpno_solar_atlas|iag_fts_solar_atlas
