element,line_A,A_X_lte,red_chi2,sigma_fit,n_pix,status
Mn,6013.51,5.447,119.535,0.006,80,ok
Mn,6016.67,5.179,125.368,0.012,80,ok
Mn,6021.82,5.446,118.218,0.01,80,ok
