key,species,wl,gf_ll,gf_synth,dgf,ep,n_comp_ll,n_comp_synth,nist_grade,ll_source,synth_ref,hfs
"(56, 2)",Ba II,4934.076695497179,-0.14968700497352586,0.5420292518575763,0.6917162568311022,0.0,13,11,,VALD3,1992A&A...,True
"(56, 2)",Ba II,5853.674393476872,-0.9997129216685156,-0.20807262663655404,0.7916402950319615,0.6043000000000001,23,6,A,VALD3,1992A&A...,True
"(56, 2)",Ba II,6141.713148531284,-0.07571330316001869,0.666948303612183,0.7426616067722017,0.7036,23,6,,VALD3,1992A&A...,True
"(56, 2)",Ba II,6496.897949797157,-0.37669447369444786,0.288883125230657,0.6655775989251049,0.6043,17,7,,VALD3,1992A&A...,True
"(83, 1)",Bi I,4722.536,-1.0,-1.0,0.0,1.4158,1,1,,VALD3,AMS,False
"(6, 1)",C I,4371.367,-1.962,-1.962,0.0,7.6848,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4734.26,-2.366,-2.366,0.0,7.9458,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4738.46,-2.638,-2.638,0.0,7.9463,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4742.561,-2.99,-2.99,0.0,7.9461,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4762.313,-2.464,-2.464,0.0,7.4804,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4766.673,-2.617,-2.617,0.0,7.4828,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4770.027,-2.437,-2.437,0.0,7.4828,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4775.898,-2.304,-2.304,0.0,7.4878,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4826.796,-3.182,-3.182,0.0,7.4878,1,1,,VALD3,NIST10,False
"(6, 1)",C I,4932.049,-1.658,-1.658,0.0,7.6848,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5012.028,-3.034,-2.9840462546102406,0.04995374538975916,7.9461,1,2,,VALD3,NIST10,True
"(6, 1)",C I,5012.277,-3.085,-2.998536005854233,0.08646399414576678,7.9463,1,2,,VALD3,NIST10,True
"(6, 1)",C I,5017.086,-2.457,-2.4444257521033035,0.012574247896696367,7.9458,1,2,,VALD3,NIST10,True
"(6, 1)",C I,5017.786,-3.23,-3.23,0.0,7.9461,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5018.063,-2.839,-2.8165351527348585,0.02246484726514142,7.9463,1,2,,VALD3,NIST10,True
"(6, 1)",C I,5023.843,-2.21,-2.203092419682436,0.006907580317563777,7.9458,1,2,,VALD3,NIST10,True
"(6, 1)",C I,5024.919,-2.728,-2.728,0.0,7.9463,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5039.057,-1.79,-1.779395956480436,0.01060404351956401,7.9458,1,2,,VALD3,NIST10,True
"(6, 1)",C I,5040.124,-2.302,-2.302,0.0,7.9463,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5041.481,-2.0,-2.0,0.0,7.9461,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5041.785907370583,-2.0071698511040257,-2.0071698511040257,0.0,7.9463,2,2,,VALD3,NIST10,True
"(6, 1)",C I,5053.515,-2.055,-2.055,0.0,8.5371,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5268.948,-1.8,-1.8,0.0,8.5371,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5300.87,-2.622,-2.622,0.0,8.6404,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5302.36,-2.496,-2.496,0.0,8.6404,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5306.83,-2.145,-2.145,0.0,8.643,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5380.337,-1.616,-1.615,0.001000000000000112,7.6848,1,1,B,VALD3,1993A&AS..,False
"(6, 1)",C I,5540.755,-2.375,-2.375,0.0,8.643,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5545.055,-2.376,-2.376,0.0,8.6404,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5547.267,-2.253,-2.253,0.0,8.6404,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5551.022,-1.628,-1.628,0.0,8.6472,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5551.576999999999,-1.899,-1.899,0.0,8.643,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5603.728,-2.418,-2.418,0.0,8.7711,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5614.807,-2.641,-2.641,0.0,8.7711,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5668.94,-1.469,-1.469,0.0,8.5371,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5793.12,-2.063,-2.063,0.0,7.9458,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5794.47,-2.79,-2.79,0.0,7.9463,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5800.23,-2.803,-2.803,0.0,7.9461,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5800.6,-2.337,-2.337,0.0,7.9463,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5877.34,-2.143,-2.143,0.0,8.7711,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5889.52,-2.366,-2.366,0.0,8.7711,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5994.0,-2.42,-2.42,0.0,8.643,1,1,,VALD3,NIST10,False
"(6, 1)",C I,5996.05,-2.609,-2.609,0.0,8.6404,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6001.13,-2.061,-2.061,0.0,8.643,1,1,,VALD3,NIST10,False
"(6, 1)",C I,6002.98,-2.169,-2.169,0.0,8.6472,1,1,,VALD3,NIST10,False
