element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Si,I,5645.613,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.93,True,,,,149.833,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Si,I,5684.484,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.954,True,,,,82.511,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Si,I,5690.425,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.93,True,,,,62.398,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Si,I,5701.104,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.611875454545454,,ENGINE-A,True,,4.93,True,,,,81.819,-0.013124545454545463,"Si_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) departure grid via PySME; RYA-410 PySME-derived deltas (5772/6125; Si NLTE ~0 in FGK, solar -0.013)); PER-LINE additive correction",,,,,,,,,
Si,I,5772.146,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.703567272727273,,ENGINE-A,True,,5.082,True,,,,84.008,-0.01843272727272728,"Si_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) departure grid via PySME; RYA-410 PySME-derived deltas (5772/6125; Si NLTE ~0 in FGK, solar -0.013)); PER-LINE additive correction",,,,,,,,,
Si,I,5793.073,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.93,True,,,,114.091,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Si,I,6741.628,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",5.984,True,,,,84.554,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
