wavelength_air_A,verdict,disposition,depth,transmission_min,clean_max_depth,saturated_min_depth,snr_continuum,corrected,reason
8846.7400,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
8866.9310,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
8876.0240,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
8905.9910,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
8929.0750,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
8945.1890,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
8975.4010,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
9010.5930,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
9012.0750,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
9103.6360,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
9119.9700,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
9146.1280,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
9147.9570,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
9163.9820,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
9164.5700,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
9173.6750,CLEAN,MEASURE,0.000000,1.000000,0.000723,0.979070,1382.4,False,
8198.9210,RECOVERABLE,NEEDS_CORRECTION,0.530806,0.469194,0.000723,0.979070,1382.4,False,
8204.1020,RECOVERABLE,NEEDS_CORRECTION,0.168173,0.831827,0.000723,0.979070,1382.4,False,
8207.7420,RECOVERABLE,NEEDS_CORRECTION,0.028282,0.971718,0.000723,0.979070,1382.4,False,
8220.3780,RECOVERABLE,NEEDS_CORRECTION,0.278534,0.721466,0.000723,0.979070,1382.4,False,
8239.1270,RECOVERABLE,NEEDS_CORRECTION,0.398995,0.601005,0.000723,0.979070,1382.4,False,
8248.1290,RECOVERABLE,NEEDS_CORRECTION,0.044743,0.955257,0.000723,0.979070,1382.4,False,
8327.0560,RECOVERABLE,NEEDS_CORRECTION,0.091138,0.908862,0.000723,0.979070,1382.4,False,
8331.9140,RECOVERABLE,NEEDS_CORRECTION,0.231726,0.768274,0.000723,0.979070,1382.4,False,
8339.4020,RECOVERABLE,NEEDS_CORRECTION,0.734199,0.265801,0.000723,0.979070,1382.4,False,
8360.7940,RECOVERABLE,NEEDS_CORRECTION,0.055786,0.944214,0.000723,0.979070,1382.4,False,
8365.6320,RECOVERABLE,NEEDS_CORRECTION,0.063072,0.936928,0.000723,0.979070,1382.4,False,
8387.7720,RECOVERABLE,NEEDS_CORRECTION,0.076863,0.923137,0.000723,0.979070,1382.4,False,
7620.5130,SATURATED,EXCLUDE,1.000000,0.000000,0.000723,0.979070,1382.4,False,telluric_saturated_core
7653.7580,SATURATED,EXCLUDE,1.000000,0.000000,0.000723,0.979070,1382.4,False,telluric_saturated_core
7661.1950,SATURATED,EXCLUDE,1.000000,0.000000,0.000723,0.979070,1382.4,False,telluric_saturated_core
7664.1590,SATURATED,EXCLUDE,1.000000,0.000000,0.000723,0.979070,1382.4,False,telluric_saturated_core
8232.3160,SATURATED,EXCLUDE,0.981930,0.018070,0.000723,0.979070,1382.4,False,telluric_saturated_core
7164.4480,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7164.448 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7175.9210,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7175.921 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7181.1940,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7181.194 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7187.3170,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7187.317 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7207.1120,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7207.112 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7207.3870,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7207.387 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7219.6820,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7219.682 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7239.8670,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7239.867 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7288.7360,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7288.736 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7292.8290,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7292.829 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7293.0430,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7293.043 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7306.5620,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7306.562 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7307.9310,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7307.931 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7320.6800,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7320.680 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
7333.5600,UNCHARACTERISED,REFUSE,,,,,,,TransmissionUnavailable: solar_kpno @ 7333.560 A: 2 corrected sibling(s) are registered and NONE could be read here -- solar_kpno_kurucz2005_corrected: FileNotFoundError; solar_kpno_molecfit_corrected
