element,ion,wavelength_air_A,website_ew_mA,website_ew_err_mA,nearest_registered_telluric_band,band_blue_edge_A,distance_to_band_A,disposition,basis
Al,I,6631.218,34.53,5.43,O2 B-band,6867.0,235.782,CLEAN_OUTSIDE_REGISTERED_BANDS,Original website HARPS EW; wavelength is outside every canonical telluric exclusion interval
Al,I,6696.185,59.65,2.32,O2 B-band,6867.0,170.815,CLEAN_OUTSIDE_REGISTERED_BANDS,Original website HARPS EW; wavelength is outside every canonical telluric exclusion interval
