element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,6082.7098,kpno_solar_atlas,42.2925923471819,"PROFILE-FIT (voigt); gap 0.316 A; model integrated; chi2_red=0.0003577; sigma_fit=0.0223 A (init 0.0349, floor 0.0052); ew_err=1.32 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0608",7.5989375,-5.157832790925355,ENGINE-A,True,,,,,,True,,,,
Fe,I,6085.2575,kpno_solar_atlas,46.282396546696496,"PROFILE-FIT (voigt); gap 0.032 A; model integrated; chi2_red=8.135e-06; sigma_fit=0.0416 A (init 0.0349, floor 0.0052); ew_err=9.90 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0608",8.1644375,-5.118863121247108,ENGINE-A,True,,,,,,True,,,,
Fe,I,6093.6421,kpno_solar_atlas,35.937491974491614,"PROFILE-FIT (voigt); gap 0.495 A; model integrated; chi2_red=0.0004684; sigma_fit=0.0317 A (init 0.0349, floor 0.0052); ew_err=4.30 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0608",7.614515625,-5.229329178019198,ENGINE-A,True,,,,,,True,,,,
Fe,I,6094.3724,kpno_solar_atlas,24.06734181931968,"PROFILE-FIT (voigt); gap 0.730 A; model integrated; chi2_red=1.388e-05; sigma_fit=0.0262 A (init 0.0349, floor 0.0052); ew_err=6.57 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0608",7.807875,-5.403500862371463,ENGINE-A,True,,,,,,True,,,,
Fe,I,6096.6565,kpno_solar_atlas,43.214263694664496,"PROFILE-FIT (voigt); gap 1.587 A; model integrated; chi2_red=0.0001023; sigma_fit=0.0345 A (init 0.0350, floor 0.0052); ew_err=0.84 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0608",7.48246875,-5.149464608854653,ENGINE-A,True,,,,,,True,,,,
Fe,I,6098.2432,kpno_solar_atlas,21.26240268882877,"PROFILE-FIT (voigt); gap 0.415 A; model integrated; chi2_red=0.0002102; sigma_fit=0.0203 A (init 0.0350, floor 0.0052); ew_err=1.27 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0608",7.683828125,-5.457592401186299,ENGINE-A,True,,,,,,True,,,,
Fe,I,6105.1272,kpno_solar_atlas,16.471838002398616,"PROFILE-FIT (voigt); gap 1.109 A; model integrated; chi2_red=4.179e-05; sigma_fit=0.0089 A (init 0.0350, floor 0.0052); ew_err=0.66 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0608",7.930921875,-5.568952654455683,ENGINE-A,True,,,,,,True,,,,
Fe,I,6127.9058,kpno_solar_atlas,55.34297806579709,"PROFILE-FIT (voigt); gap 1.056 A; model integrated; chi2_red=7.731e-05; sigma_fit=0.0341 A (init 0.0351, floor 0.0052); ew_err=5.93 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0612",7.526625,-5.0442495552794435,ENGINE-A,True,,,,,,True,,,,
Fe,I,6147.8339,kpno_solar_atlas,76.84572769328206,"PROFILE-FIT (voigt); gap 0.100 A; model integrated; chi2_red=0.0002322; sigma_fit=0.0792 A (init 0.0353, floor 0.0052); ew_err=1.59 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0612",7.516625,-4.903102397853494,ENGINE-A,True,,,,,,True,,,,
Fe,I,6151.6169,kpno_solar_atlas,52.814225658225816,"PROFILE-FIT (voigt); gap 0.675 A; model integrated; chi2_red=1.033e-05; sigma_fit=0.0405 A (init 0.0353, floor 0.0052); ew_err=0.66 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0612",,-5.066238364663179,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
