wavelength_air_A,ep_eV,abundance,red_chi2,sigma_A,edge_distance_dex,in_aggregate,ew_mA,rew,observed_depth,n_gf_candidates,log_gf,gf_reference,gf_tier,gf_sigma_dex,dh19_loggf,dev_from_pool_median
4303.17,2.704,10.011,1212.309,0.1994626477437152,2.4851241606498427,True,,,,1,-2.52,PRIMARY LAB DenHartog2019,LAB,0.1,-2.52,2.044999999999999
4351.762,2.704,7.185,102.611,0.1118611760381239,2.6892510913930634,True,,,,1,-1.95,PRIMARY LAB DenHartog2019,LAB,0.07,-1.95,-0.7810000000000006
4385.377,2.778,8.56,170.819,0.0404277766437748,3.93567465699128,True,,,,1,-2.64,PRIMARY LAB DenHartog2019,LAB,0.07,-2.64,0.5940000000000003
4583.829,2.807,7.45,93.321,0.0826011906496886,2.95409706550784,True,,,,1,-1.94,PRIMARY LAB DenHartog2019,LAB,0.05,-1.94,-0.516
4522.628,2.844,8.372,87.414,0.1266599679611496,3.876280258413506,True,,,,1,-2.29,PRIMARY LAB DenHartog2019,LAB,0.06,-2.29,0.4059999999999997
4233.162,2.583,7.619,123.696,0.0537550857508509,3.1227020703251407,True,,,,1,-2.02,PRIMARY LAB DenHartog2019,LAB,0.05,-2.02,-0.3470000000000004
4549.466,2.828,8.081,99.519,0.09640379016256,3.5850470660871236,True,,,,1,-1.92,PRIMARY LAB DenHartog2019,LAB,0.06,-1.92,0.11499999999999932
4508.28,2.856,7.896,68.595,0.0676531300263389,3.400403643323661,True,,,,1,-2.42,PRIMARY LAB DenHartog2019,LAB,0.06,-2.42,-0.07000000000000028
4416.819,2.778,7.966,68.35,0.0536014987881862,3.4702938558128427,True,,,,1,-2.57,PRIMARY LAB DenHartog2019,LAB,0.09,-2.57,0.0
