wavelength_air_A,abundance_harps,red_chi2_harps,abundance_kp,red_chi2_kp,delta
4303.17,10.011,1212.309,10.075,1132.642,-0.06400000000000006
4351.762,7.185,102.611,7.072,68.228,0.11299999999999955
4385.377,8.56,170.819,8.332,175.491,0.22799999999999976
4583.829,7.45,93.321,7.201,36.904,0.24900000000000055
4522.628,8.372,87.414,7.937,74.755,0.4349999999999996
4233.162,7.619,123.696,7.462,114.818,0.15700000000000003
4549.466,8.081,99.519,7.675,42.495,0.4059999999999997
4508.28,7.896,68.595,7.569,11.059,0.32699999999999996
4416.819,7.966,68.35,7.548,27.137,0.41800000000000015
