# RYA-373 conditioned CRIRES+ Vesta K-band CO (PROVISIONAL) — snapshot @ rya-373 2eadc4d, input to RYA-390 Part B validation.
# wave_vac_A: VACUUM wavelength (Angstrom; CRIRES IDP / molecfit WAVELENGTH_FRAME=VAC). flux_norm: continuum-normalized. err.
# RYA = RYA-373
# PROVIS = True
# TELL = molecfit
# CONTNORM = True
# RESTFRM = False
# SPECSYS = TOPOCENT
# WLEN = K2217
# GATE = 0.0653
# SNRFRAME = 78.8
# RVSTATUS = RV-INSUFFICIENT: ADP.2025-06-06T16:14:11.206.fits: frame-RV INSUFFIC
# GAP1 = FTS solar IR atlas (RYA-162) absent - telluric-gate final cal pending
# GAP2 = revalidate after RYA-387 0.001 re-extraction (anchors from RYA-381)
wave_vac_A,flux_norm,err
22848.32245,1.064424,190.2148
22848.39217,1.063155,190.2672
22848.46189,1.063974,190.7121
22848.53161,1.061710,190.5276
22848.60133,1.062035,189.9591
22848.67104,1.063232,190.5669
22848.74076,1.067834,190.2030
22848.81047,1.060222,190.3605
22848.88018,1.061398,190.3271
22848.94989,1.062475,190.8232
22849.01960,1.068940,189.8455
22849.08931,1.061751,190.7301
22849.15901,1.066228,191.0202
22849.22872,1.072796,190.9547
22849.29842,1.063459,191.0018
22849.36812,1.050826,190.6578
22849.43782,1.057948,190.6840
22849.50752,1.041477,190.7875
22849.57722,1.042424,191.0473
22849.64691,1.021585,190.3336
22849.71661,1.004775,190.4006
22849.78630,0.965895,190.3835
22849.85599,0.918640,190.8869
22849.92568,0.878649,190.2481
22849.99537,0.853513,190.6729
22850.06505,0.893811,191.0706
22850.13474,0.934763,190.2635
22850.20442,0.983048,189.1693
22850.27411,1.014813,189.7112
22850.34379,1.026112,188.2350
22850.41346,1.040795,188.1523
22850.48314,1.045262,186.4027
22850.55282,1.058864,184.8165
22850.62249,1.044155,181.4150
22850.69217,1.059896,177.1246
22850.76184,1.064161,173.4181
22850.83151,1.061997,171.2877
22850.90118,1.072430,174.7212
22850.97084,1.053879,178.6110
22851.04051,1.065444,182.9305
22851.11017,1.060841,185.9211
22851.17984,1.057636,186.7099
22851.24950,1.062625,188.3208
22851.31916,1.061122,188.6458
22851.38882,1.052817,189.9143
22851.45847,1.057100,188.8394
22851.52813,1.057204,190.1421
22851.59778,1.055440,190.6103
22851.66743,1.047868,190.4943
22851.73708,1.048290,191.4593
22851.80673,1.039954,190.0587
22851.87638,1.042652,190.9797
22851.94603,1.039611,190.7650
22852.01567,1.043667,190.4915
22852.08532,1.034256,191.0544
22852.15496,1.038877,191.1182
22852.22460,1.037359,190.4693
22852.29424,1.030241,190.8578
22852.36387,1.032580,191.1059
22852.43351,1.020244,191.0240
22852.50314,1.021196,190.5089
22852.57278,1.001253,190.5866
22852.64241,1.000030,190.0796
22852.71204,1.005804,190.2680
22852.78167,0.986968,190.2949
22852.85129,0.971927,190.6901
22852.92092,0.979634,190.0000
22852.99054,0.944213,190.5376
22853.06016,0.912177,190.4519
22853.12979,0.875160,190.0291
22853.19941,0.808647,190.3406
22853.26902,0.705613,189.3928
22853.33864,0.593050,189.4962
22853.40825,0.505599,187.8855
22853.47787,0.486862,187.8091
22853.54748,0.539788,188.4500
22853.61709,0.609219,186.9126
22853.68670,0.626139,185.6284
22853.75631,0.597284,186.2278
22853.82591,0.523829,183.1902
22853.89552,0.466108,180.3178
22853.96512,0.473703,176.7135
22854.03472,0.544387,169.9592
22854.10432,0.641265,159.8508
22854.17392,0.722418,147.2389
22854.24352,0.781047,136.8131
22854.31311,0.833493,134.9975
22854.38271,0.876567,140.9198
22854.45230,0.912226,149.2460
22854.52189,0.939705,150.8835
22854.59148,0.961504,147.7897
22854.66107,0.962646,139.2928
22854.73066,0.979209,132.2254
22854.80024,0.984847,133.4805
22854.86982,0.994714,142.1887
22854.93941,0.990658,153.3464
22855.00899,0.999059,162.3578
22855.07857,1.004397,168.4601
22855.14814,1.013750,174.1508
22855.21772,1.001464,178.4400
22855.28730,1.017530,181.8223
22855.35687,1.004054,184.6542
22855.42644,1.004497,186.8269
