# RYA-380 conditioned CRIRES+ Vesta K-band CO (PROVISIONAL) — snapshot @ build/rya-380 2eacae7; input to RYA-390 Part B validation.
# wave_vac_A: VACUUM Å (CRIRES IDP / molecfit WAVELENGTH_FRAME=VAC). flux_norm: continuum-normalized. err. mtrans: molecfit transmission model.
# RYA = RYA-373
# PROVIS = True
# TELL = molecfit
# CONTNORM = True
# RESTFRM = False
# SPECSYS = TOPOCENT
# WLEN = K2192
# GDAS = gdas_C-70.4-24.6_2022-11-23T00.gdas.fits
# GATE = 0.0606
# SNRFRAME = 97.4
# RVSTATUS = RV-INSUFFICIENT: ADP.2025-06-06T16:29:59.738.fits: frame-RV INSUFFIC
# MTRANS = True
# GAP1 = FTS solar IR atlas (RYA-162) absent - telluric-gate final cal pending
# GAP2 = revalidate after RYA-387 0.001 re-extraction (anchors from RYA-381)
wave_vac_A,flux_norm,err,mtrans
22880.413211738487,,,0.0
22880.47956776728,,,0.0
22880.545922158708,,,0.0
22880.612274912713,,,0.0
22880.67862602925,,,0.0
22880.744975508245,,,0.0
22880.811323349648,,,0.0
22880.877669553407,,,0.0
22880.94401411945,,,0.0
22881.010357047737,,,0.0
22881.076698338195,,,0.0
22881.143037990776,,,0.0
22881.209376005423,,,0.0
22881.275712382074,,,0.0
22881.342047120674,,,0.0
22881.40838022116,,,0.0
22881.474711683484,,,0.0
22881.541041507582,,,0.0
22881.607369693396,,,0.0
22881.673696240872,,,0.0
22881.740021149955,,,0.0
22881.80634442058,,,0.0
22881.872666052695,,,0.0
22881.938986046243,,,0.0
22882.005304401166,,,0.0
22882.0716211174,,,0.0
22882.1379361949,,,0.0
22882.204249633596,,,0.0
22882.270561433437,,,0.0
22882.336871594365,,,0.0
22882.403180116322,,,0.0
22882.46948699925,,,0.0
22882.535792243092,,,0.0
22882.602095847797,,,0.0
22882.66839781329,,,0.0
22882.73469813953,,,0.0
22882.80099682646,,,0.0
22882.86729387401,,,0.0
22882.933589282133,,,0.0
22882.999883050765,,,0.0
22883.066175179854,,,0.0
22883.13246566934,,,0.0
22883.198754519173,,,0.0
22883.26504172928,,,0.0
22883.33132729961,,,0.0
22883.39761123011,,,0.0
22883.463893520726,,,0.0
22883.53017417139,,,0.0
22883.596453182046,,,0.0
22883.66273055264,,,0.0
22883.729006283116,,,0.0
22883.79528037342,,,0.0
22883.86155282348,,,0.0
22883.927823633258,,,0.0
22883.99409280268,,,0.0
22884.060360331696,,,0.0
22884.126626220248,,,0.0
22884.19289046828,,,0.0
22884.25915307573,,,0.0
22884.325414042545,,,0.0
22884.391673368664,,,0.0
22884.457931054036,,,0.0
22884.524187098592,,,0.0
22884.59044150229,,,0.0
22884.656694265053,,,0.0
22884.722945386842,,,0.0
22884.789194867593,,,0.0
22884.855442707245,,,0.0
22884.921688905746,,,0.0
22884.987933463035,,,0.0
22885.054176379053,,,0.0
22885.120417653747,,,0.0
22885.186657287057,,,0.0
22885.252895278925,,,0.0
22885.319131629294,,,0.0
22885.385366338116,,,0.0
22885.451599405314,0.9397028758904425,,0.9710224809689484
22885.51783083085,0.9429735878940064,,0.9703019319418539
22885.584060614656,0.9366960304872127,,0.9694900539357593
22885.650288756668,0.9476381587409913,,0.9685643864280399
22885.716515256845,0.9437284111268619,,0.9675296058958617
22885.78274011512,0.9480265043615395,,0.9664205476469372
22885.84896333144,0.9435742316716346,,0.965288621286952
22885.915184905738,0.9462175186292662,,0.9641895551763957
22885.981404837967,0.9456677906216933,,0.9631691718831588
22886.047623128066,0.9639080626066595,,0.9622371484400702
22886.113839775975,0.9566944053702845,,0.9613751322205433
22886.18005478164,0.9539316339694064,,0.9605604423102663
22886.246268145,0.9624265558199744,,0.9597729590010132
22886.31247986601,0.9569021954610445,,0.9589956473094634
22886.378689944595,0.9581318018751314,,0.9582123261247727
22886.444898380705,0.9600595430563523,,0.9574047219252331
22886.511105174286,0.9589113505178934,,0.9565471376339587
22886.577310325272,0.957127323136217,,0.955602992522943
22886.643513833616,0.9623700136196187,,0.9545731529085826
22886.709715699253,0.9596064929822524,,0.9534933896190443
22886.77591592213,0.9599285898060794,,0.9524029840121863
22886.842114502182,0.9515841414337182,,0.9513444034830183
22886.908311439365,0.9555654681191528,,0.950358452526665
22886.974506733608,0.9576823018022612,,0.9494408151397326
22887.040700384863,0.9555205282116095,,0.9485646414127644
22887.106892393065,0.9494284578664388,,0.9477118890710337
22887.173082758167,0.9484630592633583,,0.9468715685402972
22887.2392714801,0.9577204549295993,,0.9460369164143991
22887.305458558807,0.9720490910736427,,0.9452036037750199
22887.371643994236,0.9756629462459148,,0.9443681985904491
22887.437827786336,0.9713690721147806,,0.9435281905921014
22887.504009935037,0.9712459477684704,,0.9426818141710603
22887.57019044029,0.9746973747450373,,0.9418277248296656
22887.636369302032,0.978874593902446,,0.9409648616292711
22887.702546520206,0.9791216758890267,,0.9400923432169844
22887.768722094763,0.9874099329577839,,0.9392093773908515
22887.83489602563,0.9911831283663484,,0.9383152606468708
