2M05484106-0602007  -0.06  -0.16  -0.11
2M05594446-7212111  -0.08  -0.08  -0.08
2M06035110-7456029  -9.99   0.06   0.06
2M06035214-7255079  -0.02   0.11   0.04
2M06052796-0553384  -0.03   0.05   0.01
2M06074096-0530332  -9.99  -9.99  -9.99
2M06124201-0025095  -9.99  -9.99  -9.99
2M06140107-0641072  -0.1   -9.99  -0.1
2M06143705-0551064  -9.99  -9.99  -9.99
2M06171159-7259319  -9.99  -9.99  -9.99
2M06223443-0443153  -9.99  -9.99  -9.99
2M06231693-0530385   0.0   -9.99   0.0
2M06520463-0047080  -0.17  -9.99  -0.17
2M06551808-0148080  -9.99  -9.99  -9.99
2M06574070-1231239  -9.99  -9.99  -9.99
2M10430394-4605354  -0.04   0.08   0.02
2M11042542-7318068  -9.99  -9.99  -9.99
2M12101600-4936072  -9.99  -9.99  -9.99
2M13403516-5040261  -9.99  -9.99  -9.99
2M14131192-4849280  -0.07   0.1    0.02
2M14240039-6252516  -0.04   0.1    0.03
2M14241044-6218367  -0.01  -0.04  -0.02
2M14260433-6219024  -9.99   0.17   0.17
2M14261117-6240220   0.05   0.2    0.12
2M14275833-6147534  -0.07  -9.99  -0.07
2M14283733-6257279   0.07  -0.01   0.03
2M14291063-6317181  -0.04   0.1    0.03
2M14311520-6145468  -9.99   0.09   0.09
2M14322072-6215506  -9.99  -0.05  -0.05
2M14332169-6302108  -0.16  -0.0   -0.08
2M14332869-6211255  -9.99  -9.99  -9.99
2M14333081-6221450  -9.99  -9.99  -9.99
2M14333688-6232028  -0.03   0.09   0.03
2M14345114-6225509   0.05   0.22   0.14
2M14360142-6228561  -0.1   -9.99  -0.1
2M14360935-6309399   0.08   0.04   0.06
2M14371958-6251344  -0.08   0.02  -0.03
2M14375085-6237526  -9.99  -9.99  -9.99
2M15161949+0244516  -9.99   0.0    0.0
2M17584888-2351011  -0.02   0.05   0.02
2M18103303-1626220   0.01   0.11   0.06
2M18142346-2136410   0.09   0.18   0.14
2M18191551-1726223  -9.99   0.08   0.08
2M18522108-3022143   0.07   0.04   0.06
HD132813            -0.01  -9.99  -0.01
HD175588            -9.99  -9.99  -9.99
HD89758             -0.13  -0.14  -0.14
HD224935            -0.09  -9.99  -0.09
HD101153            -9.99  -0.01  -0.01
HIP54396            -0.06  -9.99  -0.06
