2M05484106-0602007  -0.39  -0.35  -9.99  -0.28  -0.41  -0.21  -0.33
2M05594446-7212111  -9.99  -9.99  -0.25  -9.99  -0.36  -0.27  -0.29
2M06035110-7456029  -0.22  -0.22   0.01  -9.99  -0.24  -0.05  -0.14
2M06035214-7255079  -0.27  -0.22  -0.28  -0.16  -0.25  -0.16  -0.22
2M06052796-0553384  -9.99  -0.47  -0.32  -0.45  -0.48  -0.33  -0.41
2M06074096-0530332  -0.22  -0.22  -0.18  -0.18  -0.26  -0.19  -0.21
2M06124201-0025095  -0.17  -0.18  -0.17  -9.99  -0.34  -0.06  -0.18
2M06140107-0641072  -0.26  -0.29  -0.2   -9.99  -0.28  -0.25  -0.26
2M06143705-0551064  -0.26  -0.18  -0.14  -0.32  -0.27  -0.17  -0.22
2M06171159-7259319  -9.99  -0.29  -0.12  -9.99  -0.54  -0.36  -0.33
2M06223443-0443153  -0.22  -9.99  -9.99  -0.27  -0.32  -0.12  -0.23
2M06231693-0530385  -0.22  -0.26  -0.2   -0.31  -0.43  -0.12  -0.26
2M06520463-0047080  -0.29  -0.28  -9.99  -0.34  -0.25  -0.17  -0.27
2M06551808-0148080  -0.28  -0.31  -0.19  -0.3   -0.36  -0.22  -0.27
2M06574070-1231239  -0.2   -9.99  -9.99  -0.19  -0.24  -0.13  -0.19
2M10430394-4605354  -0.35  -0.26  -0.19  -0.2   -0.34  -0.07  -0.24
2M11042542-7318068  -9.99  -9.99  -0.25  -9.99  -0.27  -0.19  -0.24
2M12101600-4936072  -0.27  -0.27  -0.1   -0.33  -0.25  -0.11  -0.22
2M13403516-5040261  -0.3   -9.99  -0.25  -0.29  -0.26  -0.15  -0.25
2M14131192-4849280  -0.19  -9.99  -0.19  -0.16  -0.18  -0.0   -0.15
2M14240039-6252516  -0.17  -9.99  -0.08  -0.04  -0.05   0.11  -0.05
2M14241044-6218367  -0.2   -0.25  -0.16  -0.17  -0.18  -0.03  -0.17
2M14260433-6219024  -0.2   -9.99  -0.07  -0.08  -0.1    0.16  -0.06
2M14261117-6240220  -0.1   -0.12  -0.05  -0.14   0.08   0.21  -0.02
2M14275833-6147534  -0.14  -9.99  -0.07  -0.04  -0.0    0.08  -0.03
2M14283733-6257279  -0.16  -9.99  -0.18  -0.14  -0.12   0.05  -0.11
2M14291063-6317181  -0.24  -0.14  -0.18  -9.99  -0.08   0.06  -0.11
2M14311520-6145468  -0.18  -9.99  -0.18  -0.19  -0.16  -0.05  -0.15
2M14322072-6215506  -9.99  -9.99  -0.46  -0.46  -0.61  -0.41  -0.48
2M14332169-6302108  -0.35  -9.99  -0.24  -9.99  -0.32  -0.17  -0.27
2M14332869-6211255  -0.22  -9.99  -0.22  -9.99  -0.32  -0.12  -0.22
2M14333081-6221450  -0.19  -0.2   -0.1   -0.15  -0.09   0.23  -0.08
2M14333688-6232028  -0.12  -0.12  -0.02  -0.07   0.05   0.17  -0.02
2M14345114-6225509  -0.08  -0.08  -0.04  -0.01   0.11   0.3    0.03
2M14360142-6228561  -0.22  -0.28  -0.21  -9.99  -0.28  -0.13  -0.22
2M14360935-6309399  -0.02  -9.99   0.02  -9.99   0.18   0.35   0.13
2M14371958-6251344  -0.31  -0.32  -9.99  -0.24  -0.32  -0.16  -0.27
2M14375085-6237526  -0.15  -9.99  -0.14  -9.99  -0.27   0.08  -0.12
2M15161949+0244516  -0.3   -9.99  -0.27  -9.99  -0.48  -0.33  -0.34
2M17584888-2351011  -0.22  -0.26  -0.18  -0.2   -0.24  -0.04  -0.19
2M18103303-1626220  -0.02  -0.04   0.16   0.12   0.15   0.43   0.13
2M18142346-2136410  -0.02  -0.04   0.13   0.02   0.21   0.41   0.12
2M18191551-1726223  -0.12  -9.99   0.01  -0.04   0.04   0.15   0.01
2M18522108-3022143  -0.36  -0.4   -0.29  -0.35  -0.51  -0.29  -0.37
HD132813            -0.14  -0.1   -0.05  -0.06   0.18   0.2    0.01
HD175588            -0.18  -0.21  -0.07  -0.14   0.13   0.18  -0.05
HD89758             -9.99  -9.99  -0.28  -9.99  -0.27  -0.25  -0.26
HD224935            -0.21  -0.14  -0.19  -0.2    0.1    0.06  -0.1
HD101153            -0.14  -9.99   0.01  -0.06   0.22   0.23   0.05
HIP54396            -0.18  -9.99  -0.05  -0.02   0.2    0.23   0.04
