2M05484106-0602007  0.21  0.04  0.08  0.02  0.09
2M05594446-7212111  0.06  0.05 -9.99  0.06  0.06
2M06035110-7456029  0.37  0.28  0.17  0.2   0.26
2M06035214-7255079  0.18 -9.99 -9.99 -9.99  0.18
2M06052796-0553384  0.06  0.06  0.09 -0.17  0.01
2M06074096-0530332  0.15  0.04  0.02 -0.0   0.05
2M06124201-0025095  0.11 -9.99  0.06 -9.99  0.08
2M06140107-0641072  0.26  0.34  0.06  0.34  0.25
2M06143705-0551064  0.1   0.13  0.13  0.06  0.1
2M06171159-7259319  0.38  0.29  0.36  0.36  0.35
2M06223443-0443153  0.1   0.03 -0.01  0.24  0.09
2M06231693-0530385  0.03  0.13  0.07  0.0   0.06
2M06520463-0047080  0.04 -0.07  0.05  0.0   0.01
2M06551808-0148080  0.17  0.13  0.15 -0.01  0.11
2M06574070-1231239  0.07  0.07 -9.99 -0.13  0.0
2M10430394-4605354  0.01 -0.06 -0.0  -0.15 -0.05
2M11042542-7318068  0.22 -9.99 -9.99 -0.02  0.1
2M12101600-4936072  0.15  0.1  -0.03 -9.99  0.07
2M13403516-5040261 -0.0   0.02 -0.12 -0.07 -0.04
2M14131192-4849280 -0.03 -0.02  0.13 -0.08 -0.0
2M14240039-6252516 -0.08  0.0  -0.02 -0.07 -0.04
2M14241044-6218367 -0.01 -0.08 -0.11 -0.13 -0.08
2M14260433-6219024 -0.04 -0.18 -0.08  0.22 -0.02
2M14261117-6240220 -0.14 -0.01 -9.99 -0.06 -0.07
2M14275833-6147534 -0.08 -0.02 -0.22 -0.04 -0.09
2M14283733-6257279 -0.16  0.08 -9.99  0.05 -0.01
2M14291063-6317181 -0.13 -0.01 -0.09 -0.0  -0.06
2M14311520-6145468  0.02 -0.05 -9.99 -0.11 -0.05
2M14322072-6215506  0.12  0.07  0.02  0.07  0.07
2M14332169-6302108  0.01  0.04 -0.05  0.02  0.01
2M14332869-6211255 -0.06 -0.08  0.06 -0.11 -0.05
2M14333081-6221450 -0.03  0.0  -0.08  0.01 -0.02
2M14333688-6232028 -0.08 -9.99 -0.12  0.08 -0.04
2M14345114-6225509 -0.16  0.01 -0.0  -0.03 -0.05
2M14360142-6228561  0.04  0.03  0.0   0.0   0.02
2M14360935-6309399  0.04 -0.0   0.01 -0.02  0.01
2M14371958-6251344  0.04  0.01  0.04 -0.16 -0.02
2M14375085-6237526 -0.18 -0.03 -9.99 -0.02 -0.08
2M15161949+0244516  0.19  0.05  0.12  0.18  0.13
2M17584888-2351011  0.04  0.06 -0.06  0.04  0.02
2M18103303-1626220 -0.14 -0.03 -0.14 -0.03 -0.09
2M18142346-2136410 -0.0   0.11 -0.01  0.01  0.03
2M18191551-1726223 -0.13  0.0  -0.11 -0.09 -0.08
2M18522108-3022143  0.45  0.24  0.34  0.28  0.33
HD132813           -0.05  0.07 -9.99 -9.99  0.01
HD175588           -0.09 -0.0   0.12 -0.07  0.01
HD89758             0.1   0.01 -0.04 -0.01  0.02
HD224935           -0.05 -0.11  0.01  0.06  0.02
HD101153           -0.02 -0.02  0.04  0.01  0.0
HIP54396           -0.14  0.03  0.09 -9.99  0.01
