2M05484106-0602007  -0.06   0.11  0.24   0.1
2M05594446-7212111  -0.01   0.12  0.15   0.09
2M06035110-7456029  -0.04   0.28  0.1    0.12
2M06035214-7255079  -0.05  -0.15  0.27   0.02
2M06052796-0553384   0.08  -9.99  0.34   0.21
2M06074096-0530332  -0.08  -9.99  0.21   0.07
2M06124201-0025095   0.18  -9.99  0.26   0.22
2M06140107-0641072  -0.19  -9.99  0.0   -0.1
2M06143705-0551064   0.08  -9.99  0.38   0.23
2M06171159-7259319  -0.07   0.22  0.27   0.14
2M06223443-0443153   0.23   0.32  0.43   0.33
2M06231693-0530385   0.16  -9.99  0.33   0.25
2M06520463-0047080   0.38   0.43  0.53   0.45
2M06551808-0148080  -0.09   0.06  0.2    0.06
2M06574070-1231239   0.31   0.5   0.61   0.47
2M10430394-4605354  -0.14  -0.07  0.19  -0.01
2M11042542-7318068  -0.04  -0.02  0.27   0.07
2M12101600-4936072   0.07   0.12  0.25   0.15
2M13403516-5040261   0.02  -0.02  0.12   0.04
2M14131192-4849280  -0.02  -0.08  0.06  -0.01
2M14240039-6252516  -0.08  -0.08  0.1   -0.02
2M14241044-6218367  -0.03  -0.0   0.15   0.04
2M14260433-6219024  -0.22  -0.02  0.14  -0.03
2M14261117-6240220  -0.15  -9.99  0.09  -0.03
2M14275833-6147534  -0.16  -9.99  0.06  -0.05
2M14283733-6257279  -0.28  -0.07  0.02  -0.11
2M14291063-6317181  -0.1   -0.02  0.08  -0.01
2M14311520-6145468   0.05   0.14  0.24   0.14
2M14322072-6215506  -0.14  -0.07  0.04  -0.06
2M14332169-6302108  -0.0    0.09  0.18   0.09
2M14332869-6211255  -0.09  -0.07  0.07  -0.03
2M14333081-6221450  -0.07   0.08  0.18   0.06
2M14333688-6232028  -0.12  -0.04  0.08  -0.02
2M14345114-6225509  -0.08  -0.21 -0.04  -0.11
2M14360142-6228561  -0.03   0.11  0.12   0.06
2M14360935-6309399  -0.14  -0.06 -0.1   -0.1
2M14371958-6251344  -0.09  -0.02  0.17   0.02
2M14375085-6237526  -0.13  -0.17 -0.04  -0.12
2M15161949+0244516   0.05   0.09  0.24   0.12
2M17584888-2351011  -0.11  -9.99  0.01  -0.05
2M18103303-1626220  -0.08   0.06  0.1    0.03
2M18142346-2136410  -0.1   -0.03  0.06  -0.02
2M18191551-1726223  -0.14  -0.0   0.08  -0.02
2M18522108-3022143   0.11   0.13  0.24   0.16
HD132813            -0.02   0.19  0.22   0.13
HD175588             0.31  -9.99  0.57   0.44
HD89758              0.13   0.11  0.24   0.16
HD224935             0.25   0.3   0.34   0.3
HD101153             0.07   0.13  0.24   0.15
HIP54396            -0.06   0.02  0.15   0.04
