2M05484106-0602007  -0.24  -0.38  -0.29  -0.3   -0.3
2M05594446-7212111  -0.14  -0.25  -0.21  -0.21  -0.2
2M06035110-7456029  -0.11  -0.23  -0.28  -0.19  -0.2
2M06035214-7255079  -0.28  -0.32  -0.4   -0.28  -0.32
2M06052796-0553384  -0.11  -0.17  -0.14  -0.14  -0.14
2M06074096-0530332  -0.13  -0.16  -0.17  -0.15  -0.15
2M06124201-0025095  -9.99  -0.19  -0.22  -0.15  -0.19
2M06140107-0641072  -0.19  -9.99  -0.26  -0.32  -0.25
2M06143705-0551064  -0.17  -0.14  -0.17  -0.15  -0.16
2M06171159-7259319  -0.07  -0.24   0.04  -0.11  -0.09
2M06223443-0443153  -0.05  -0.15  -0.11  -0.16  -0.12
2M06231693-0530385  -0.15  -0.28  -0.15  -0.26  -0.21
2M06520463-0047080   0.17   0.0   -0.08  -0.0    0.02
2M06551808-0148080  -9.99  -0.26  -0.16  -0.22  -0.21
2M06574070-1231239   0.2    0.03   0.1    0.17   0.12
2M10430394-4605354  -0.34  -0.48  -0.58  -0.46  -0.47
2M11042542-7318068  -9.99  -9.99  -0.17  -0.24  -0.21
2M12101600-4936072  -0.18  -0.21  -0.27  -0.23  -0.22
2M13403516-5040261  -0.23  -0.38  -0.38  -0.36  -0.34
2M14131192-4849280  -0.24  -0.32  -0.43  -0.36  -0.34
2M14240039-6252516  -0.28  -0.44  -0.48  -0.4   -0.4
2M14241044-6218367  -0.23  -0.35  -0.35  -0.32  -0.31
2M14260433-6219024  -9.99  -9.99  -0.6   -0.44  -0.52
2M14261117-6240220  -0.38  -0.48  -0.51  -0.46  -0.46
2M14275833-6147534  -0.22  -0.37  -0.47  -0.36  -0.35
2M14283733-6257279  -0.36  -9.99  -0.4   -0.48  -0.41
2M14291063-6317181  -0.38  -0.32  -0.5   -0.4   -0.4
2M14311520-6145468  -0.12  -0.25  -0.3   -0.24  -0.23
2M14322072-6215506  -0.31  -0.41  -0.35  -0.3   -0.34
2M14332169-6302108  -0.15  -0.33  -0.28  -0.34  -0.28
2M14332869-6211255  -0.23  -0.27  -0.35  -0.32  -0.29
2M14333081-6221450  -0.24  -0.35  -0.44  -0.36  -0.35
2M14333688-6232028  -0.37  -0.48  -0.5   -0.46  -0.45
2M14345114-6225509  -0.35  -0.47  -0.52  -0.47  -0.45
2M14360142-6228561  -0.16  -9.99  -0.27  -0.26  -0.23
2M14360935-6309399  -0.38  -0.3   -0.6   -0.44  -0.43
2M14371958-6251344  -0.21  -0.35  -0.34  -0.29  -0.3
2M14375085-6237526  -9.99  -9.99  -0.51  -0.48  -0.5
2M15161949+0244516  -0.21  -0.39  -0.27  -0.27  -0.29
2M17584888-2351011  -9.99  -0.48  -0.39  -0.37  -0.41
2M18103303-1626220  -0.4   -0.55  -0.62  -0.43  -0.5
2M18142346-2136410  -0.4   -0.46  -0.62  -0.49  -0.49
2M18191551-1726223  -0.31  -0.41  -0.5   -0.4   -0.41
2M18522108-3022143  -0.19  -0.3   -0.26  -0.24  -0.25
HD132813            -0.14  -0.27  -0.35  -0.31  -0.27
HD175588            -9.99  -0.03  -0.2   -0.04  -0.09
HD89758             -0.0   -0.08  -0.12  -0.09  -0.07
HD224935             0.01  -0.2   -0.27  -0.15  -0.15
HD101153            -0.16  -0.33  -0.45  -0.36  -0.33
HIP54396            -9.99  -0.38  -0.47  -0.46  -0.44
