2M05484106-0602007 -0.01  0.09  0.01  0.07  0.09  0.1  -0.03 -0.0   0.12   0.0  -0.07  0.03
2M05594446-7212111  0.05  0.07  0.08  0.05  0.07 -9.99  0.01  0.1   0.09  -9.99  0.13  0.07
2M06035110-7456029  0.14  0.18  0.11  0.16  0.19  0.36 -9.99  0.01 -9.99   0.08  0.06  0.14
2M06035214-7255079 -0.0  -0.02 -0.04  0.01 -0.08  0.16 -0.17 -0.06 -0.03  -9.99 -9.99 -0.03
2M06052796-0553384 -0.18  0.0  -0.13 -0.01 -0.08 -0.07  0.04 -0.1  -0.08  -0.16 -0.31 -0.1
2M06074096-0530332  0.01  0.04 -0.0   0.06  0.04  0.24 -9.99  0.04  0.04   0.08  0.04  0.06
2M06124201-0025095  0.06  0.13  0.01  0.17  0.21 -9.99 -0.04 -0.04  0.16  -0.03  0.06  0.07
2M06140107-0641072  0.05  0.14  0.04  0.22  0.17  0.3   0.12 -0.03 -9.99   0.18  0.09  0.13
2M06143705-0551064 -0.04  0.1  -0.02  0.1   0.07 -9.99 -0.11  0.02  0.05  -0.03  0.01  0.01
2M06171159-7259319  0.22  0.24  0.19  0.21  0.32 -9.99  0.12  0.09  0.26   0.16  0.19  0.2
2M06223443-0443153  0.04  0.08  0.01  0.03  0.13 -9.99 -0.06 -0.03  0.12  -0.08 -0.0   0.02
2M06231693-0530385  0.06  0.09  0.01  0.09  0.07 -9.99  0.01 -0.01  0.15  -0.03 -0.02  0.04
2M06520463-0047080 -0.01  0.07 -0.01  0.08  0.09  0.16  0.0  -0.0   0.12  -0.07 -0.08  0.03
2M06551808-0148080  0.0   0.1   0.02  0.11  0.11  0.22 -0.03  0.07  0.1    0.02  0.01  0.07
2M06574070-1231239 -0.0   0.09  0.01  0.09  0.08 -9.99  0.01 -0.09  0.04  -0.04 -0.04  0.01
2M10430394-4605354 -0.18 -0.11 -0.17 -0.06 -0.09 -9.99 -0.16 -0.14 -0.14  -0.13 -0.25 -0.14
2M11042542-7318068 -0.03  0.04  0.04  0.13  0.03 -9.99 -0.05  0.06 -0.08   0.24  0.04  0.04
2M12101600-4936072 -0.01  0.03 -0.0   0.03  0.05 -9.99 -0.12  0.1   0.06  -9.99 -9.99  0.02
2M13403516-5040261 -0.09  0.04 -0.03 -0.0   0.06 -9.99 -0.06 -0.01  0.03  -0.06 -0.13 -0.02
2M14131192-4849280 -0.01  0.1   0.02  0.12  0.1   0.08  0.06  0.06  0.06  -0.05 -0.14  0.03
2M14240039-6252516 -0.02  0.12 -0.02  0.11  0.11  0.15  0.08  0.03  0.08   0.04 -0.06  0.06
2M14241044-6218367 -0.1   0.04 -0.06  0.07  0.08  0.06 -0.08  0.0   0.06  -0.07 -0.06 -0.01
2M14260433-6219024  0.13  0.02  0.0   0.01  0.02  0.15 -0.18 -0.05  0.03  -9.99 -9.99  0.01
2M14261117-6240220 -0.06  0.03 -0.04 -0.02  0.03 -9.99 -0.04  0.02  0.03  -9.99 -9.99 -0.01
2M14275833-6147534  0.04  0.09 -0.04  0.09  0.04  0.08 -9.99  0.02  0.11  -9.99 -9.99  0.05
2M14283733-6257279 -0.05  0.01 -0.01  0.06  0.07  0.02  0.01  0.1   0.14  -9.99 -9.99  0.04
2M14291063-6317181 -0.04  0.04 -0.07  0.05  0.02  0.1   0.0   0.06  0.01  -0.05 -9.99  0.01
