2M05484106-0602007   0.02   0.03   0.02
2M05594446-7212111  -0.03  -0.05  -0.04
2M06035110-7456029   0.08   0.01   0.05
2M06035214-7255079   0.06   0.02   0.04
2M06052796-0553384  -0.08  -0.04  -0.06
2M06074096-0530332  -0.0   -0.02  -0.01
2M06124201-0025095   0.02   0.07   0.05
2M06140107-0641072   0.04  -9.99   0.04
2M06143705-0551064   0.01   0.01   0.01
2M06171159-7259319  -0.02  -0.09  -0.05
2M06223443-0443153   0.02   0.01   0.01
2M06231693-0530385   0.02   0.02   0.02
2M06520463-0047080   0.16   0.15   0.16
2M06551808-0148080   0.01  -9.99   0.01
2M06574070-1231239   0.1    0.08   0.09
2M10430394-4605354   0.11   0.09   0.1
2M11042542-7318068  -0.01  -0.1   -0.05
2M12101600-4936072   0.08   0.01   0.04
2M13403516-5040261   0.14   0.09   0.12
2M14131192-4849280   0.22   0.2    0.21
2M14240039-6252516   0.42   0.39   0.41
2M14241044-6218367   0.37   0.38   0.38
2M14260433-6219024   0.21   0.08   0.15
2M14261117-6240220   0.34   0.16   0.25
2M14275833-6147534   0.39   0.31   0.35
2M14283733-6257279   0.41   0.27   0.34
2M14291063-6317181   0.28   0.1    0.19
2M14311520-6145468   0.28   0.26   0.27
2M14322072-6215506   0.01  -0.01   0.0
2M14332169-6302108   0.05   0.06   0.06
2M14332869-6211255   0.2    0.24   0.22
2M14333081-6221450   0.24   0.19   0.21
2M14333688-6232028   0.28   0.26   0.27
2M14345114-6225509   0.46   0.47   0.47
2M14360142-6228561   0.05   0.03   0.04
2M14360935-6309399   0.41   0.33   0.37
2M14371958-6251344   0.13   0.15   0.14
2M14375085-6237526   0.18   0.18   0.18
2M15161949+0244516  -0.05  -0.0   -0.03
2M17584888-2351011   0.27   0.26   0.27
2M18103303-1626220   0.2    0.32   0.26
2M18142346-2136410   0.27   0.23   0.25
2M18191551-1726223   0.32   0.22   0.27
2M18522108-3022143   0.02  -0.02  -0.0
HD132813             0.12   0.07   0.09
HD175588             0.38   0.29   0.33
HD89758              0.03   0.04   0.04
HD224935             0.27   0.24   0.26
HD101153             0.25   0.23   0.24
HIP54396             0.16   0.17   0.16
