2M05484106-0602007  0.17
2M05594446-7212111  0.37
2M06035110-7456029  0.28
2M06035214-7255079  0.09
2M06052796-0553384  0.1
2M06074096-0530332  0.22
2M06124201-0025095 -9.99
2M06140107-0641072  0.55
2M06143705-0551064  0.14
2M06171159-7259319  0.11
2M06223443-0443153  0.2
2M06231693-0530385 -0.04
2M06520463-0047080  0.37
2M06551808-0148080  0.38
2M06574070-1231239  0.36
2M10430394-4605354  0.35
2M11042542-7318068 -0.01
2M12101600-4936072  0.13
2M13403516-5040261  0.0
2M14131192-4849280  0.22
2M14240039-6252516  0.06
2M14241044-6218367  0.22
2M14260433-6219024 -0.14
2M14261117-6240220  0.17
2M14275833-6147534  0.22
2M14283733-6257279 -0.22
2M14291063-6317181  0.06
2M14311520-6145468  0.21
2M14322072-6215506  0.31
2M14332169-6302108  0.18
2M14332869-6211255 -0.01
2M14333081-6221450 -0.08
2M14333688-6232028  0.09
2M14345114-6225509  0.24
2M14360142-6228561  0.14
2M14360935-6309399  0.01
2M14371958-6251344  0.18
2M14375085-6237526  0.09
2M15161949+0244516  0.48
2M17584888-2351011  0.04
2M18103303-1626220  0.04
2M18142346-2136410  0.13
2M18191551-1726223  0.14
2M18522108-3022143 -0.07
HD132813           -0.04
HD175588            0.17
HD89758             0.01
HD224935            0.31
HD101153            0.37
HIP54396            0.12
