wave,symptom,fault_domain,mechanism,discriminator,fix
5684.484,REW -4.829 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
5701.104,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.3433 A, against the 0.0",UNKNOWN,,,
5772.146,REW -4.899 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
