wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
4245.42420,4246.61950,0.85718,205.72000
4245.43430,4246.62970,0.89528,214.86000
4245.44430,4246.63970,0.91999,220.79000
4245.45410,4246.64950,0.93437,224.24000
4245.46420,4246.65960,0.94093,225.82000
4245.47390,4246.66930,0.94147,225.95000
4245.48400,4246.67940,0.93813,225.15000
4245.49410,4246.68950,0.93398,224.15000
4245.50380,4246.69920,0.93185,223.64000
4245.51390,4246.70930,0.93313,223.95000
4245.52370,4246.71910,0.93765,225.04000
4245.53380,4246.72920,0.94387,226.53000
4245.54350,4246.73890,0.94945,227.87000
4245.55360,4246.74900,0.95296,228.71000
4245.56370,4246.75910,0.95488,229.17000
4245.57340,4246.76880,0.95643,229.55000
4245.58350,4246.77890,0.95860,230.07000
4245.59330,4246.78870,0.96178,230.83000
4245.60330,4246.79870,0.96513,231.64000
4245.61340,4246.80880,0.96747,232.20000
4245.62320,4246.81860,0.96903,232.57000
4245.63320,4246.82860,0.97079,233.00000
4245.64300,4246.83840,0.97285,233.49000
4245.65310,4246.84850,0.97509,234.03000
4245.66310,4246.85850,0.97774,234.67000
4245.67290,4246.86830,0.98022,235.26000
4245.68300,4246.87840,0.98165,235.61000
4245.69270,4246.88810,0.98208,235.71000
4245.70280,4246.89820,0.98155,235.58000
4245.71290,4246.90830,0.97926,235.03000
4245.72270,4246.91810,0.97523,234.07000
4245.73270,4246.92810,0.97042,232.91000
4245.74250,4246.93790,0.96520,231.66000
4245.75260,4246.94800,0.95955,230.31000
4245.76230,4246.95770,0.95418,229.02000
4245.77240,4246.96780,0.94964,227.93000
4245.78250,4246.97790,0.94608,227.07000
4245.79220,4246.98760,0.94423,226.63000
4245.80230,4246.99770,0.94470,226.74000
4245.81210,4247.00760,0.94659,227.20000
4245.82210,4247.01760,0.94796,227.53000
4245.83220,4247.02770,0.94684,227.26000
4245.84200,4247.03750,0.94121,225.91000
4245.85210,4247.04760,0.92978,223.17000
4245.86180,4247.05730,0.91379,219.33000
4245.87190,4247.06740,0.89698,215.30000
4245.88200,4247.07750,0.88344,212.05000
4245.89170,4247.08720,0.87569,210.19000
4245.90180,4247.09730,0.87400,209.78000
4245.91160,4247.10710,0.87667,210.42000
4245.92160,4247.11710,0.88018,211.27000
4245.93170,4247.12720,0.87938,211.07000
4245.94150,4247.13700,0.86833,208.42000
4245.95150,4247.14700,0.84215,202.14000
4245.96130,4247.15680,0.79872,191.72000
4245.97140,4247.16690,0.73916,177.42000
4245.98140,4247.17690,0.66793,160.32000
4245.99120,4247.18670,0.59323,142.39000
4246.00130,4247.19680,0.52675,126.44000
4246.01100,4247.20650,0.47964,115.13000
4246.02110,4247.21660,0.45457,109.11000
4246.03120,4247.22670,0.44118,105.90000
4246.04100,4247.23650,0.42238,101.39000
4246.05100,4247.24650,0.38723,92.95000
4246.06080,4247.25630,0.33836,81.22000
4246.07090,4247.26640,0.28859,69.27000
4246.08090,4247.27640,0.25394,60.95000
4246.09070,4247.28620,0.25018,60.05000
4246.10080,4247.29630,0.28993,69.59000
4246.11050,4247.30600,0.37510,90.04000
4246.12060,4247.31610,0.49091,117.84000
4246.13070,4247.32620,0.61221,146.95000
4246.14040,4247.33590,0.71846,172.46000
4246.15050,4247.34600,0.80165,192.43000
4246.16030,4247.35580,0.86240,207.01000
4246.17030,4247.36580,0.90399,217.00000
4246.18040,4247.37590,0.93061,223.39000
4246.19020,4247.38580,0.94669,227.25000
4246.20030,4247.39590,0.95563,229.39000
4246.21000,4247.40560,0.96011,230.47000
4246.22010,4247.41570,0.96274,231.10000
4246.22990,4247.42550,0.96546,231.75000
4246.23990,4247.43550,0.96869,232.53000
4246.25000,4247.44560,0.97213,233.36000
4246.25980,4247.45540,0.97553,234.17000
4246.26980,4247.46540,0.97844,234.87000
4246.27990,4247.47550,0.98034,235.33000
4246.28970,4247.48530,0.98138,235.58000
4246.29970,4247.49530,0.98210,235.75000
4246.30950,4247.50510,0.98235,235.81000
4246.31960,4247.51520,0.98134,235.57000
4246.32970,4247.52530,0.97869,234.94000
4246.33940,4247.53500,0.97453,233.94000
4246.34950,4247.54510,0.96883,232.57000
4246.35930,4247.55490,0.96112,230.72000
4246.36930,4247.56490,0.95137,228.38000
4246.37940,4247.57500,0.94125,225.95000
4246.38920,4247.58480,0.93394,224.20000
4246.39920,4247.59480,0.93181,223.69000
4246.40900,4247.60460,0.93489,224.43000
4246.41910,4247.61470,0.94177,226.08000
4246.42910,4247.62470,0.95045,228.16000
4246.43890,4247.63450,0.95839,230.07000
4246.44900,4247.64460,0.96361,231.32000
4246.45870,4247.65430,0.96577,231.84000
4246.46880,4247.66440,0.96540,231.76000
4246.47890,4247.67450,0.96314,231.21000
4246.48860,4247.68420,0.96025,230.52000
4246.49870,4247.69430,0.95806,230.00000
4246.50850,4247.70410,0.95709,229.76000
4246.51860,4247.71420,0.95749,229.86000
4246.52860,4247.72420,0.95890,230.20000
4246.53840,4247.73400,0.95969,230.39000
4246.54850,4247.74410,0.95856,230.12000
4246.55820,4247.75380,0.95629,229.57000
4246.56830,4247.76400,0.95419,229.07000
4246.57840,4247.77410,0.95225,228.61000
4246.58810,4247.78380,0.95029,228.14000
4246.59820,4247.79390,0.94868,227.75000
4246.60800,4247.80370,0.94727,227.41000
4246.61800,4247.81370,0.94514,226.90000
4246.62810,4247.82380,0.94152,226.03000
4246.63790,4247.83360,0.93588,224.68000
4246.64790,4247.84360,0.92752,222.67000
4246.65770,4247.85340,0.91534,219.75000
4246.66780,4247.86350,0.89763,215.50000
4246.67790,4247.87360,0.87294,209.57000
4246.68760,4247.88330,0.84129,201.97000
4246.69770,4247.89340,0.80460,193.17000
4246.70750,4247.90320,0.76650,184.02000
4246.71750,4247.91320,0.73023,175.31000
4246.72760,4247.92330,0.69413,166.65000
4246.73740,4247.93310,0.65078,156.24000
4246.74740,4247.94310,0.59303,142.37000
4246.75750,4247.95320,0.51950,124.72000
4246.76730,4247.96300,0.43387,104.16000
4246.77730,4247.97300,0.34280,82.30000
4246.78710,4247.98280,0.25601,61.46000
4246.79720,4247.99290,0.18412,44.20000
4246.80730,4248.00300,0.13355,32.06000
4246.81700,4248.01270,0.10386,24.94000
4246.82710,4248.02280,0.09005,21.62000
4246.83690,4248.03260,0.08668,20.81000
4246.84690,4248.04260,0.09162,22.00000
4246.85700,4248.05270,0.10875,26.11000
4246.86680,4248.06250,0.14691,35.27000
4246.87680,4248.07250,0.21267,51.06000
4246.88660,4248.08230,0.30224,72.56000
4246.89670,4248.09240,0.40249,96.63000
4246.90670,4248.10240,0.50038,120.14000
4246.91650,4248.11220,0.58909,141.44000
4246.92660,4248.12230,0.66589,159.87000
4246.93630,4248.13200,0.72918,175.07000
4246.94640,4248.14210,0.77910,187.06000
4246.95650,4248.15230,0.81781,196.35000
4246.96620,4248.16200,0.84761,203.51000
4246.97630,4248.17210,0.87013,208.91000
4246.98640,4248.18220,0.88689,212.94000
4246.99620,4248.19200,0.89939,215.94000
4247.00620,4248.20200,0.90876,218.19000
4247.01600,4248.21180,0.91560,219.83000
4247.02610,4248.22190,0.91999,220.89000
4247.03610,4248.23190,0.92152,221.26000
4247.04590,4248.24170,0.91965,220.81000
4247.05600,4248.25180,0.91410,219.48000
4247.06570,4248.26150,0.90497,217.28000
4247.07580,4248.27160,0.89350,214.53000
4247.08590,4248.28170,0.88238,211.86000
4247.09560,4248.29140,0.87475,210.03000
4247.10570,4248.30150,0.87240,209.47000
4247.11550,4248.31130,0.87528,210.16000
4247.12550,4248.32130,0.88215,211.81000
4247.13560,4248.33140,0.89096,213.92000
4247.14540,4248.34120,0.89955,215.99000
4247.15550,4248.35130,0.90680,217.73000
4247.16550,4248.36130,0.91253,219.11000
4247.17530,4248.37110,0.91610,219.96000
4247.18540,4248.38120,0.91658,220.08000
4247.19510,4248.39090,0.91385,219.42000
4247.20520,4248.40100,0.90799,218.02000
4247.21530,4248.41110,0.89796,215.61000
4247.22500,4248.42080,0.88173,211.71000
4247.23510,4248.43090,0.85633,205.62000
4247.24490,4248.44070,0.81702,196.18000
4247.25490,4248.45070,0.75850,182.13000
4247.26500,4248.46080,0.67883,163.00000
4247.27480,4248.47060,0.58304,140.00000
4247.28490,4248.48070,0.48395,116.20000
4247.29490,4248.49070,0.39913,95.84000
4247.30470,4248.50050,0.34441,82.70000
4247.31480,4248.51060,0.32653,78.41000
4247.32450,4248.52030,0.33845,81.27000
4247.33460,4248.53050,0.36125,86.74000
4247.34470,4248.54060,0.37457,89.94000
4247.35440,4248.55030,0.36830,88.44000
4247.36450,4248.56040,0.34444,82.71000
4247.37430,4248.57020,0.30931,74.27000
4247.38430,4248.58020,0.26749,64.23000
4247.39440,4248.59030,0.22254,53.44000
4247.40420,4248.60010,0.17964,43.14000
4247.41420,4248.61010,0.14523,34.87000
4247.42430,4248.62020,0.12412,29.80000
4247.43410,4248.63000,0.11844,28.44000
4247.44420,4248.64010,0.13098,31.45000
4247.45390,4248.64980,0.16664,40.01000
4247.46400,4248.65990,0.22645,54.38000
4247.47410,4248.67000,0.30121,72.33000
4247.48380,4248.67970,0.37520,90.10000
4247.49390,4248.68980,0.43541,104.55000
4247.50400,4248.69990,0.47603,114.31000
4247.51370,4248.70960,0.49759,119.49000
4247.52380,4248.71970,0.50486,121.23000
4247.53360,4248.72950,0.50503,121.27000
4247.54360,4248.73950,0.50586,121.47000
4247.55370,4248.74960,0.51432,123.50000
4247.56350,4248.75940,0.53494,128.45000
4247.57350,4248.76940,0.56895,136.62000
4247.58360,4248.77950,0.61449,147.55000
4247.59340,4248.78930,0.66704,160.17000
4247.60350,4248.79940,0.72017,172.93000
4247.61320,4248.80910,0.76741,184.27000
4247.62330,4248.81920,0.80399,193.06000
4247.63340,4248.82930,0.82694,198.57000
4247.64310,4248.83900,0.83454,200.39000
4247.65320,4248.84910,0.82572,198.27000
4247.66300,4248.85890,0.80006,192.11000
4247.67300,4248.86890,0.75926,182.31000
4247.68310,4248.87900,0.70834,170.09000
4247.69290,4248.88880,0.65463,157.19000
4247.70290,4248.89880,0.60604,145.52000
4247.71300,4248.90900,0.57031,136.94000
4247.72280,4248.91880,0.55391,133.00000
4247.73280,4248.92880,0.56003,134.47000
4247.74260,4248.93860,0.58802,141.19000
4247.75270,4248.94870,0.63386,152.20000
4247.76280,4248.95880,0.69069,165.85000
