wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3870.64210,3871.73940,0.39839,83.29000
3870.64640,3871.74370,0.36927,77.21000
3870.65090,3871.74820,0.34351,71.82000
3870.65520,3871.75250,0.32220,67.37000
3870.65980,3871.75710,0.30590,63.96000
3870.66440,3871.76170,0.29468,61.61000
3870.66860,3871.76590,0.28819,60.25000
3870.67320,3871.77050,0.28569,59.73000
3870.67780,3871.77510,0.28613,59.82000
3870.68210,3871.77940,0.28832,60.28000
3870.68660,3871.78390,0.29112,60.87000
3870.69090,3871.78820,0.29362,61.39000
3870.69550,3871.79280,0.29526,61.73000
3870.70010,3871.79740,0.29589,61.86000
3870.70430,3871.80160,0.29572,61.83000
3870.70890,3871.80620,0.29515,61.71000
3870.71350,3871.81080,0.29470,61.61000
3870.71780,3871.81510,0.29482,61.64000
3870.72240,3871.81970,0.29581,61.85000
3870.72690,3871.82420,0.29777,62.26000
3870.73120,3871.82850,0.30053,62.83000
3870.73580,3871.83310,0.30371,63.50000
3870.74010,3871.83740,0.30679,64.14000
3870.74460,3871.84190,0.30921,64.65000
3870.74920,3871.84650,0.31047,64.91000
3870.75350,3871.85080,0.31018,64.85000
3870.75810,3871.85540,0.30811,64.42000
3870.76260,3871.85990,0.30420,63.60000
3870.76690,3871.86420,0.29855,62.42000
3870.77150,3871.86880,0.29148,60.94000
3870.77580,3871.87310,0.28349,59.27000
3870.78030,3871.87760,0.27526,57.55000
3870.78490,3871.88220,0.26758,55.94000
3870.78920,3871.88650,0.26124,54.62000
3870.79380,3871.89110,0.25689,53.71000
3870.79830,3871.89570,0.25502,53.32000
3870.80260,3871.90000,0.25581,53.48000
3870.80720,3871.90460,0.25916,54.18000
3870.81180,3871.90920,0.26466,55.33000
3870.81600,3871.91340,0.27163,56.79000
3870.82060,3871.91800,0.27912,58.36000
3870.82490,3871.92230,0.28610,59.82000
3870.82950,3871.92690,0.29154,60.95000
3870.83400,3871.93140,0.29465,61.60000
3870.83830,3871.93570,0.29498,61.67000
3870.84290,3871.94030,0.29252,61.16000
3870.84750,3871.94490,0.28767,60.14000
3870.85170,3871.94910,0.28109,58.77000
3870.85630,3871.95370,0.27361,57.20000
3870.86060,3871.95800,0.26606,55.63000
3870.86520,3871.96260,0.25917,54.18000
3870.86980,3871.96720,0.25352,53.00000
3870.87400,3871.97140,0.24952,52.17000
3870.87860,3871.97600,0.24746,51.74000
3870.88320,3871.98060,0.24747,51.74000
3870.88750,3871.98490,0.24967,52.20000
3870.89200,3871.98940,0.25412,53.13000
3870.89660,3871.99400,0.26090,54.55000
3870.90090,3871.99830,0.27005,56.46000
3870.90550,3872.00290,0.28149,58.85000
