wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
6295.00000,6296.74100,0.98957,169.99000
6295.00730,6296.74830,0.98907,169.90000
6295.01460,6296.75560,0.98915,169.91000
6295.02140,6296.76240,0.98792,169.70000
6295.02870,6296.76980,0.98715,169.57000
6295.03600,6296.77710,0.98723,169.58000
6295.04330,6296.78440,0.98606,169.38000
6295.05000,6296.79110,0.98553,169.29000
6295.05740,6296.79850,0.98599,169.36000
6295.06470,6296.80580,0.98393,169.01000
6295.07200,6296.81310,0.98188,168.66000
6295.07930,6296.82040,0.98203,168.68000
6295.08610,6296.82720,0.97914,168.18000
6295.09340,6296.83450,0.97500,167.47000
6295.10070,6296.84180,0.97385,167.27000
6295.10800,6296.84910,0.96790,166.25000
6295.11540,6296.85650,0.95744,164.45000
6295.12210,6296.86320,0.95089,163.33000
6295.12940,6296.87050,0.93533,160.65000
6295.13670,6296.87780,0.90370,155.22000
6295.14400,6296.88510,0.86708,148.93000
6295.15140,6296.89250,0.78315,134.51000
6295.15810,6296.89920,0.59949,102.97000
6295.16540,6296.90650,0.41600,71.45000
6295.17270,6296.91380,0.41021,70.46000
6295.18010,6296.92120,0.57700,99.10000
6295.18680,6296.92790,0.74909,128.66000
6295.19410,6296.93520,0.84277,144.75000
6295.20140,6296.94250,0.89317,153.41000
6295.20870,6296.94980,0.92504,158.88000
6295.21610,6296.95720,0.93915,161.30000
6295.22280,6296.96390,0.94929,163.04000
6295.23010,6296.97120,0.95951,164.80000
6295.23740,6296.97850,0.96359,165.50000
6295.24480,6296.98590,0.96693,166.07000
6295.25210,6296.99320,0.97188,166.92000
6295.25880,6296.99990,0.97281,167.08000
6295.26610,6297.00720,0.97309,167.12000
6295.27340,6297.01450,0.97653,167.71000
6295.28080,6297.02190,0.97859,168.07000
6295.28810,6297.02920,0.97927,168.18000
6295.29480,6297.03590,0.98172,168.60000
6295.30210,6297.04320,0.98348,168.90000
6295.30940,6297.05050,0.98397,168.99000
6295.31680,6297.05790,0.98576,169.29000
6295.32350,6297.06460,0.98730,169.56000
6295.33080,6297.07190,0.98739,169.57000
6295.33810,6297.07920,0.98833,169.73000
6295.34550,6297.08660,0.98971,169.97000
6295.35280,6297.09390,0.98989,170.00000
6295.35950,6297.10060,0.99017,170.05000
6295.36680,6297.10790,0.99094,170.18000
6295.37410,6297.11520,0.99104,170.19000
6295.38150,6297.12260,0.99123,170.23000
6295.38880,6297.12990,0.99236,170.42000
6295.39550,6297.13660,0.99328,170.58000
6295.40280,6297.14400,0.99337,170.59000
6295.41020,6297.15140,0.99335,170.59000
6295.41750,6297.15870,0.99330,170.58000
6295.42480,6297.16600,0.99297,170.52000
6295.43150,6297.17270,0.99286,170.50000
6295.43880,6297.18000,0.99319,170.56000
6295.44620,6297.18740,0.99321,170.56000
6295.45350,6297.19470,0.99291,170.51000
6295.46020,6297.20140,0.99312,170.54000
6295.46750,6297.20870,0.99345,170.60000
6295.47490,6297.21610,0.99311,170.54000
6295.48220,6297.22340,0.99301,170.52000
6295.48950,6297.23070,0.99374,170.65000
6295.49620,6297.23740,0.99406,170.70000
6295.50350,6297.24470,0.99364,170.63000
