wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
3350.56760,3351.53080,0.76787,122.35000
3350.57160,3351.53480,0.79323,126.39000
3350.57560,3351.53880,0.81476,129.83000
3350.57950,3351.54270,0.83301,132.73000
3350.58350,3351.54670,0.84858,135.22000
3350.58750,3351.55070,0.86206,137.36000
3350.59140,3351.55460,0.87395,139.26000
3350.59540,3351.55860,0.88458,140.95000
3350.59940,3351.56260,0.89418,142.48000
3350.60330,3351.56650,0.90284,143.87000
3350.60730,3351.57050,0.91062,145.11000
3350.61130,3351.57450,0.91757,146.21000
3350.61520,3351.57840,0.92374,147.20000
3350.61920,3351.58240,0.92921,148.07000
3350.62320,3351.58640,0.93400,148.83000
3350.62710,3351.59030,0.93812,149.49000
3350.63110,3351.59430,0.94158,150.04000
3350.63510,3351.59830,0.94441,150.49000
3350.63900,3351.60220,0.94665,150.85000
3350.64300,3351.60620,0.94838,151.13000
3350.64700,3351.61020,0.94970,151.34000
3350.65090,3351.61410,0.95070,151.50000
3350.65490,3351.61810,0.95146,151.62000
3350.65890,3351.62210,0.95207,151.72000
3350.66280,3351.62600,0.95256,151.80000
3350.66680,3351.63000,0.95302,151.87000
3350.67080,3351.63400,0.95351,151.95000
3350.67470,3351.63790,0.95406,152.04000
3350.67870,3351.64190,0.95469,152.14000
3350.68270,3351.64590,0.95538,152.25000
3350.68660,3351.64980,0.95607,152.36000
3350.69030,3351.65350,0.95671,152.46000
3350.69430,3351.65750,0.95722,152.55000
3350.69820,3351.66140,0.95758,152.60000
3350.70220,3351.66540,0.95777,152.63000
3350.70620,3351.66940,0.95779,152.64000
3350.71010,3351.67330,0.95766,152.62000
3350.71410,3351.67730,0.95739,152.58000
3350.71810,3351.68130,0.95700,152.51000
3350.72200,3351.68520,0.95653,152.44000
3350.72600,3351.68920,0.95601,152.36000
3350.73000,3351.69320,0.95549,152.28000
3350.73390,3351.69710,0.95499,152.20000
3350.73790,3351.70110,0.95452,152.12000
3350.74190,3351.70510,0.95404,152.05000
3350.74580,3351.70900,0.95347,151.96000
3350.74980,3351.71300,0.95270,151.83000
3350.75380,3351.71700,0.95157,151.65000
3350.75780,3351.72100,0.94995,151.40000
3350.76170,3351.72490,0.94769,151.04000
3350.76570,3351.72890,0.94467,150.56000
3350.76970,3351.73290,0.94077,149.94000
3350.77360,3351.73680,0.93591,149.16000
