wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
7768.00720,7770.14490,0.99741,122.85000
7768.01570,7770.15350,0.99706,122.80000
7768.02430,7770.16210,0.99701,122.80000
7768.03280,7770.17060,0.99685,122.78000
7768.04140,7770.17920,0.99612,122.69000
7768.04990,7770.18770,0.99555,122.61000
7768.05850,7770.19630,0.99575,122.64000
7768.06700,7770.20480,0.99644,122.72000
7768.07560,7770.21340,0.99622,122.70000
7768.08410,7770.22190,0.99552,122.61000
7768.09330,7770.23110,0.99638,122.72000
7768.10180,7770.23960,0.99747,122.85000
7768.11040,7770.24820,0.99709,122.80000
7768.11890,7770.25670,0.99669,122.75000
7768.12740,7770.26520,0.99629,122.70000
7768.13600,7770.27380,0.99562,122.62000
7768.14450,7770.28230,0.99631,122.71000
7768.15310,7770.29090,0.99703,122.79000
7768.16160,7770.29940,0.99599,122.67000
7768.17020,7770.30800,0.99512,122.56000
7768.17870,7770.31650,0.99520,122.57000
7768.18730,7770.32510,0.99495,122.54000
7768.19580,7770.33360,0.99467,122.50000
7768.20430,7770.34210,0.99469,122.50000
7768.21290,7770.35070,0.99442,122.47000
7768.22140,7770.35920,0.99380,122.39000
7768.23000,7770.36780,0.99322,122.32000
7768.23910,7770.37690,0.99324,122.33000
7768.24770,7770.38550,0.99350,122.36000
7768.25620,7770.39400,0.99274,122.26000
7768.26480,7770.40260,0.99177,122.14000
7768.27330,7770.41110,0.99215,122.19000
7768.28190,7770.41970,0.99233,122.21000
7768.29040,7770.42820,0.99152,122.11000
7768.29900,7770.43680,0.99195,122.16000
7768.30750,7770.44530,0.99294,122.29000
7768.31600,7770.45380,0.99248,122.23000
7768.32460,7770.46240,0.99272,122.26000
7768.33310,7770.47090,0.99401,122.42000
7768.34170,7770.47950,0.99363,122.37000
7768.35020,7770.48800,0.99304,122.30000
7768.35880,7770.49660,0.99370,122.38000
7768.36730,7770.50510,0.99378,122.39000
7768.37590,7770.51370,0.99412,122.43000
7768.38500,7770.52290,0.99540,122.59000
7768.39360,7770.53150,0.99577,122.63000
7768.40210,7770.54000,0.99590,122.65000
7768.41060,7770.54850,0.99621,122.69000
7768.41920,7770.55710,0.99556,122.61000
7768.42770,7770.56560,0.99584,122.64000
7768.43630,7770.57420,0.99725,122.81000
7768.44480,7770.58270,0.99675,122.75000
7768.45340,7770.59130,0.99548,122.60000
7768.46190,7770.59980,0.99551,122.60000
7768.47050,7770.60840,0.99514,122.55000
7768.47900,7770.61690,0.99415,122.43000
7768.48750,7770.62540,0.99365,122.37000
7768.49610,7770.63400,0.99280,122.26000
7768.50460,7770.64250,0.99200,122.17000
7768.51320,7770.65110,0.99257,122.24000
7768.52170,7770.65960,0.99319,122.31000
7768.53090,7770.66880,0.99297,122.28000
7768.53940,7770.67730,0.99308,122.30000
7768.54800,7770.68590,0.99331,122.33000
7768.55650,7770.69440,0.99321,122.31000
7768.56510,7770.70300,0.99380,122.39000
7768.57360,7770.71150,0.99446,122.47000
7768.58220,7770.72010,0.99423,122.44000
7768.59070,7770.72860,0.99449,122.47000
7768.59920,7770.73710,0.99525,122.56000
7768.60780,7770.74570,0.99504,122.54000
7768.61630,7770.75420,0.99493,122.52000
7768.62490,7770.76280,0.99566,122.61000
7768.63340,7770.77130,0.99605,122.66000
7768.64200,7770.77990,0.99603,122.66000
7768.65050,7770.78840,0.99597,122.65000
7768.65910,7770.79700,0.99608,122.66000
7768.66820,7770.80610,0.99681,122.75000
7768.67680,7770.81470,0.99701,122.78000
7768.68530,7770.82320,0.99651,122.72000
7768.69380,7770.83170,0.99697,122.77000
7768.70240,7770.84030,0.99718,122.80000
7768.71090,7770.84880,0.99618,122.67000
7768.71950,7770.85740,0.99624,122.68000
7768.72800,7770.86590,0.99695,122.77000
7768.73660,7770.87450,0.99688,122.76000
7768.74510,7770.88300,0.99737,122.82000
7768.75370,7770.89170,0.99778,122.87000
7768.76220,7770.90020,0.99693,122.77000
7768.77080,7770.90880,0.99661,122.73000
7768.77930,7770.91730,0.99730,122.81000
7768.78780,7770.92580,0.99783,122.88000
7768.79640,7770.93440,0.99769,122.86000
7768.80490,7770.94290,0.99679,122.75000
7768.81410,7770.95210,0.99681,122.75000
7768.82260,7770.96060,0.99806,122.90000
7768.83120,7770.96920,0.99801,122.90000
7768.83970,7770.97770,0.99718,122.79000
7768.84830,7770.98630,0.99728,122.81000
7768.85680,7770.99480,0.99741,122.82000
7768.86540,7771.00340,0.99759,122.84000
7768.87390,7771.01190,0.99774,122.86000
7768.88240,7771.02040,0.99721,122.80000
7768.89100,7771.02900,0.99743,122.82000
7768.89950,7771.03750,0.99800,122.89000
7768.90810,7771.04610,0.99736,122.81000
7768.91660,7771.05460,0.99723,122.80000
7768.92520,7771.06320,0.99806,122.90000
7768.93370,7771.07170,0.99829,122.93000
7768.94230,7771.08030,0.99835,122.94000
7768.95140,7771.08940,0.99825,122.92000
7768.96000,7771.09800,0.99773,122.86000
7768.96850,7771.10650,0.99792,122.88000
7768.97710,7771.11510,0.99838,122.94000
