wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
8210.00370,8212.26080,0.97946,109.42000
8210.01340,8212.27050,0.98050,109.54000
8210.02320,8212.28030,0.98080,109.57000
8210.03230,8212.28950,0.98081,109.57000
8210.04210,8212.29930,0.98093,109.58000
8210.05190,8212.30910,0.98040,109.52000
8210.06100,8212.31820,0.97945,109.42000
8210.07080,8212.32800,0.97891,109.36000
8210.08060,8212.33780,0.97849,109.31000
8210.09030,8212.34750,0.97777,109.23000
8210.09950,8212.35670,0.97689,109.13000
8210.10930,8212.36650,0.97629,109.06000
8210.11900,8212.37620,0.97609,109.04000
8210.12820,8212.38540,0.97551,108.98000
8210.13790,8212.39510,0.97416,108.82000
8210.14770,8212.40490,0.97233,108.62000
8210.15750,8212.41470,0.96998,108.36000
8210.16660,8212.42380,0.96732,108.06000
8210.17640,8212.43360,0.96441,107.73000
8210.18620,8212.44340,0.96057,107.31000
8210.19530,8212.45250,0.95588,106.78000
8210.20510,8212.46230,0.95053,106.18000
8210.21480,8212.47200,0.94365,105.41000
8210.22400,8212.48120,0.93460,104.40000
8210.23380,8212.49100,0.92315,103.12000
8210.24350,8212.50070,0.90906,101.55000
8210.25330,8212.51050,0.89229,99.68000
8210.26250,8212.51970,0.87198,97.41000
8210.27220,8212.52940,0.84806,94.74000
8210.28200,8212.53920,0.82329,91.97000
8210.29110,8212.54830,0.80110,89.49000
8210.30090,8212.55810,0.78550,87.75000
8210.31070,8212.56790,0.78240,87.40000
8210.32040,8212.57760,0.79423,88.72000
8210.32960,8212.58680,0.81603,91.16000
8210.33940,8212.59660,0.84130,93.98000
8210.34910,8212.60630,0.86612,96.75000
8210.35830,8212.61550,0.88759,99.15000
8210.36800,8212.62520,0.90500,101.09000
8210.37780,8212.63500,0.91984,102.75000
8210.38700,8212.64420,0.93219,104.13000
8210.39670,8212.65390,0.94163,105.18000
8210.40650,8212.66380,0.94965,106.08000
8210.41630,8212.67360,0.95700,106.90000
8210.42540,8212.68270,0.96260,107.53000
8210.43520,8212.69250,0.96634,107.94000
8210.44490,8212.70220,0.96970,108.32000
8210.45410,8212.71140,0.97321,108.71000
8210.46390,8212.72120,0.97591,109.01000
8210.47360,8212.73090,0.97760,109.20000
8210.48280,8212.74010,0.97916,109.37000
8210.49260,8212.74990,0.98062,109.54000
8210.50230,8212.75960,0.98196,109.69000
8210.51210,8212.76940,0.98335,109.84000
8210.52120,8212.77850,0.98388,109.90000
8210.53100,8212.78830,0.98382,109.89000
8210.54080,8212.79810,0.98471,109.99000
8210.54990,8212.80720,0.98575,110.11000
8210.55970,8212.81700,0.98616,110.15000
8210.56950,8212.82680,0.98707,110.26000
8210.57920,8212.83650,0.98771,110.33000
8210.58840,8212.84570,0.98698,110.25000
8210.59810,8212.85540,0.98647,110.19000
8210.60790,8212.86520,0.98697,110.24000
8210.61710,8212.87440,0.98726,110.28000
