wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
7662.00380,7664.11290,0.97554,123.00000
7662.01230,7664.12140,0.97555,123.00000
7662.02090,7664.13000,0.97394,122.80000
7662.02880,7664.13790,0.97301,122.68000
7662.03740,7664.14650,0.97155,122.50000
7662.04590,7664.15500,0.96880,122.15000
7662.05380,7664.16290,0.96733,121.97000
7662.06240,7664.17160,0.96309,121.43000
7662.07090,7664.18010,0.95522,120.44000
7662.07890,7664.18810,0.94236,118.82000
7662.08740,7664.19660,0.90824,114.51000
7662.09590,7664.20510,0.86578,109.16000
7662.10390,7664.21310,0.86447,109.00000
7662.11240,7664.22160,0.90517,114.13000
7662.12100,7664.23020,0.93997,118.51000
7662.12890,7664.23810,0.95514,120.43000
7662.13750,7664.24670,0.96459,121.62000
7662.14600,7664.25520,0.96958,122.25000
7662.15390,7664.26310,0.97155,122.50000
7662.16250,7664.27170,0.97422,122.83000
7662.17100,7664.28020,0.97538,122.98000
7662.17900,7664.28820,0.97577,123.03000
7662.18750,7664.29670,0.97682,123.16000
7662.19600,7664.30520,0.97762,123.26000
7662.20400,7664.31320,0.97850,123.37000
7662.21250,7664.32170,0.97839,123.36000
7662.22110,7664.33030,0.97744,123.24000
7662.22900,7664.33820,0.97753,123.25000
7662.23750,7664.34670,0.97697,123.18000
7662.24610,7664.35530,0.97580,123.03000
7662.25400,7664.36320,0.97615,123.07000
7662.26260,7664.37180,0.97600,123.05000
7662.27110,7664.38030,0.97458,122.87000
7662.27970,7664.38890,0.97393,122.79000
7662.28760,7664.39680,0.97319,122.70000
7662.29610,7664.40530,0.97191,122.54000
7662.30470,7664.41390,0.97105,122.43000
7662.31260,7664.42180,0.96967,122.25000
7662.32120,7664.43040,0.96790,122.03000
7662.32970,7664.43890,0.96685,121.90000
7662.33760,7664.44680,0.96552,121.73000
7662.34620,7664.45540,0.96362,121.49000
7662.35470,7664.46390,0.96223,121.32000
7662.36270,7664.47190,0.96116,121.18000
7662.37120,7664.48040,0.96028,121.07000
7662.37980,7664.48900,0.95951,120.97000
7662.38770,7664.49690,0.95807,120.79000
7662.39620,7664.50540,0.95676,120.62000
7662.40480,7664.51400,0.95654,120.60000
7662.41270,7664.52190,0.95626,120.56000
7662.42130,7664.53050,0.95582,120.51000
7662.42980,7664.53900,0.95639,120.58000
7662.43770,7664.54700,0.95712,120.67000
7662.44630,7664.55560,0.95730,120.69000
7662.45480,7664.56410,0.95826,120.81000
7662.46280,7664.57210,0.96021,121.06000
7662.47130,7664.58060,0.96170,121.25000
7662.47990,7664.58920,0.96249,121.34000
7662.48780,7664.59710,0.96371,121.50000
7662.49630,7664.60560,0.96568,121.75000
7662.50490,7664.61420,0.96720,121.94000
7662.51340,7664.62270,0.96786,122.02000
7662.52140,7664.63070,0.96873,122.13000
7662.52990,7664.63920,0.96993,122.28000
7662.53850,7664.64780,0.97100,122.42000
7662.54640,7664.65570,0.97219,122.57000
7662.55490,7664.66420,0.97312,122.68000
7662.56350,7664.67280,0.97339,122.72000
7662.57140,7664.68070,0.97395,122.79000
7662.58000,7664.68930,0.97505,122.93000
7662.58850,7664.69780,0.97613,123.06000
7662.59640,7664.70570,0.97725,123.20000
7662.60500,7664.71430,0.97836,123.34000
7662.61350,7664.72280,0.97923,123.45000
7662.62150,7664.73080,0.98000,123.55000
7662.63000,7664.73930,0.98046,123.61000
7662.63850,7664.74780,0.98059,123.62000
7662.64650,7664.75580,0.98102,123.68000
7662.65500,7664.76430,0.98141,123.72000
7662.66360,7664.77290,0.98097,123.67000
7662.67150,7664.78080,0.98059,123.62000
7662.68010,7664.78940,0.98133,123.71000
7662.68860,7664.79790,0.98210,123.81000
7662.69650,7664.80580,0.98193,123.79000
7662.70510,7664.81440,0.98185,123.78000
7662.71360,7664.82290,0.98206,123.81000
7662.72160,7664.83090,0.98203,123.80000
7662.73010,7664.83940,0.98211,123.81000
7662.73860,7664.84790,0.98195,123.79000
7662.74720,7664.85650,0.98149,123.73000
7662.75510,7664.86440,0.98195,123.79000
7662.76370,7664.87300,0.98269,123.88000
7662.77220,7664.88150,0.98245,123.85000
7662.78020,7664.88950,0.98129,123.71000
7662.78870,7664.89800,0.97947,123.48000
7662.79720,7664.90650,0.97807,123.30000
7662.80520,7664.91460,0.97585,123.02000
7662.81370,7664.92310,0.96933,122.20000
7662.82230,7664.93170,0.96285,121.38000
7662.83020,7664.93960,0.96413,121.54000
7662.83870,7664.94810,0.97070,122.37000
7662.84730,7664.95670,0.97591,123.03000
7662.85520,7664.96460,0.97858,123.36000
7662.86380,7664.97320,0.97968,123.50000
7662.87230,7664.98170,0.98019,123.57000
7662.88020,7664.98960,0.98039,123.59000
7662.88880,7664.99820,0.97990,123.53000
7662.89730,7665.00670,0.97982,123.52000
7662.90530,7665.01470,0.98003,123.54000
