our_key,molecule,element,our_window_air_A,n_windows,amarsi2021_used_range_A,in_amarsi2021_used_set,holdings
CN_AX_IR,CN,N,10871-11801,12,10875-13208,YES,solar_iag;solar_kpno_molecfit_corrected
CN_AX_J,CN,N,11640-12076,12,10875-13208,YES,solar_crires_plus_j_rya1219
CN_red,CN,N,6125-6200,2,10875-13208,NO,solar_harps_molecfit_corrected;solar_iag;solar_kpno_kurucz2005_corrected;solar_kpno_molecfit_corrected
NH_AX,NH,N,3358-3373,2,28910-150230,NO,solar_kpno_kurucz2005_corrected
