molecule,system,n_lines,element,lambda_vac_nm_min,lambda_vac_nm_max,bands,A_3D,A_mean3D,A_MARCS_1D,A_ATMO,A_HM74,model_form_3D_minus_MARCS,granulation_3D_minus_mean3D,line_to_line_sd_3D
12C16O,X-X,80,C,2295.4,6329.2,IR;NIR,8.47,8.68,8.61,8.624,8.74,-0.14,-0.211,0.019
C2,Swan,39,C,472.8,562.4,VIS,8.454,8.472,8.431,8.437,8.519,0.023,-0.018,0.028
CH,X-X,54,C,425.4,3795.5,IR;VIS,8.471,8.499,8.436,8.442,8.572,0.035,-0.028,0.023
CN,A-X,59,N,1087.5,1320.8,NIR,7.864,7.962,7.925,7.932,8.015,-0.061,-0.098,0.025
NH,X-X,31,N,2891.0,15023.0,IR,7.908,8.001,7.941,7.944,8.067,-0.033,-0.093,0.032
OH,X-X,145,O,1528.3,12280.3,IR;NIR,8.7,8.793,8.765,8.771,8.847,-0.065,-0.093,0.03
