reference_line_set,adopted_solar_value_lineage,use_status,source_row,species,system,delta_nu,band,wavelength_vac_nm,source_band,lower_energy_eV,published_loggf,equivalent_width_pm,element_parameter,abundance_3d,abundance_mean_3d,abundance_atmo,abundance_marcs,abundance_hm74,transition_identity_status,canonical_join_status
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,41,CH,A-X,0,(1-1),425.441,VIS,0.523,-1.471,4.000,logepsC,8.422,8.437,8.372,8.360,8.517,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,42,CH,A-X,0,(0-0),425.645,VIS,0.157,-1.455,6.800,logepsC,8.477,8.486,8.415,8.405,8.575,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,43,CH,A-X,0,(1-1),426.518,VIS,0.460,-1.575,3.900,logepsC,8.485,8.499,8.433,8.422,8.580,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,44,CH,A-X,0,(0-0),427.539,VIS,0.074,-1.563,6.590,logepsC,8.484,8.494,8.424,8.414,8.583,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,45,CH,A-X,0,(0-0),435.783,VIS,0.157,-1.793,4.200,logepsC,8.474,8.489,8.423,8.412,8.573,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,46,CH,X-X,1,(1-0),3294.615,IR,0.773,-2.600,1.590,logepsC,8.455,8.485,8.424,8.418,8.555,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,47,CH,X-X,1,(1-0),3303.095,IR,0.915,-2.523,1.460,logepsC,8.479,8.508,8.446,8.441,8.576,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,48,CH,X-X,1,(1-0),3303.452,IR,0.464,-2.778,2.270,logepsC,8.490,8.524,8.462,8.456,8.597,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,49,CH,X-X,1,(1-0),3328.182,IR,0.312,-3.234,1.130,logepsC,8.477,8.515,8.452,8.448,8.589,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,50,CH,X-X,1,(1-0),3328.316,IR,0.312,-3.186,1.270,logepsC,8.481,8.518,8.458,8.449,8.594,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
