reference_line_set,adopted_solar_value_lineage,use_status,source_row,species,system,delta_nu,band,wavelength_vac_nm,source_band,lower_energy_eV,published_loggf,equivalent_width_pm,element_parameter,abundance_3d,abundance_mean_3d,abundance_atmo,abundance_marcs,abundance_hm74,transition_identity_status,canonical_join_status
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,88,CH,X-X,1,(3-2),3728.067,IR,0.805,-2.918,0.720,logepsC,8.453,8.480,8.428,8.423,8.551,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,89,CH,X-X,1,(3-2),3748.550,IR,0.776,-3.036,0.590,logepsC,8.454,8.485,8.427,8.422,8.555,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,90,CH,X-X,1,(3-2),3770.038,IR,0.751,-3.107,0.550,logepsC,8.470,8.504,8.447,8.438,8.564,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,91,CH,X-X,1,(3-2),3770.482,IR,0.751,-3.039,0.640,logepsC,8.469,8.495,8.448,8.439,8.568,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,92,CH,X-X,1,(3-2),3771.106,IR,0.751,-3.036,0.730,logepsC,8.523,8.554,8.499,8.496,8.627,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,93,CH,X-X,1,(3-2),3795.461,IR,0.728,-3.110,0.590,logepsC,8.481,8.515,8.457,8.450,8.581,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,94,12C16O,X-X,1,(1-0),4297.175,IR,2.242,-2.876,8.240,logepsC,8.482,8.580,8.550,8.540,8.623,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,95,12C16O,X-X,1,(1-0),4297.866,IR,2.286,-2.872,7.460,logepsC,8.462,8.561,8.530,8.522,8.605,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,96,12C16O,X-X,1,(1-0),4298.650,IR,2.331,-2.867,7.100,logepsC,8.478,8.575,8.545,8.536,8.618,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,97,12C16O,X-X,1,(1-0),4299.525,IR,2.376,-2.862,6.550,logepsC,8.475,8.571,8.541,8.532,8.614,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,98,12C16O,X-X,1,(1-0),4301.555,IR,2.467,-2.854,5.760,logepsC,8.495,8.588,8.558,8.550,8.631,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,99,12C16O,X-X,1,(1-0),4303.958,IR,2.560,-2.845,4.810,logepsC,8.488,8.579,8.550,8.542,8.622,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,100,12C16O,X-X,1,(1-0),4306.737,IR,2.654,-2.837,4.210,logepsC,8.516,8.602,8.573,8.565,8.645,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,101,12C16O,X-X,1,(1-0),4309.898,IR,2.750,-2.828,3.260,logepsC,8.476,8.561,8.533,8.526,8.606,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,102,12C16O,X-X,1,(2-1),4715.722,IR,0.266,-4.639,15.760,logepsC,8.470,8.735,8.685,8.673,8.758,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,103,12C16O,X-X,1,(2-1),4741.278,IR,0.267,-4.340,21.840,logepsC,8.502,8.791,8.722,8.714,8.793,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,104,12C16O,X-X,1,(3-2),4801.248,IR,0.530,-4.170,19.490,logepsC,8.513,8.758,8.704,8.692,8.769,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,105,12C16O,X-X,1,(4-3),4827.641,IR,0.788,-4.049,16.240,logepsC,8.511,8.720,8.678,8.666,8.743,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,106,12C16O,X-X,1,(4-3),4836.209,IR,0.787,-4.351,10.970,logepsC,8.497,8.712,8.675,8.663,8.749,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,107,12C16O,X-X,1,(4-3),4862.594,IR,0.789,-4.052,16.270,logepsC,8.515,8.724,8.682,8.670,8.746,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,108,12C16O,X-X,1,(5-4),4864.405,IR,1.048,-3.559,19.790,logepsC,8.518,8.713,8.666,8.654,8.727,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,109,12C16O,X-X,1,(4-3),4871.619,IR,0.790,-3.877,18.550,logepsC,8.460,8.683,8.632,8.620,8.700,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,110,12C16O,X-X,1,(4-3),4880.759,IR,0.792,-3.753,21.830,logepsC,8.524,8.755,8.696,8.686,8.761,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,111,12C16O,X-X,1,(5-4),4881.246,IR,1.045,-3.782,15.470,logepsC,8.490,8.678,8.639,8.627,8.706,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,112,12C16O,X-X,1,(5-4),4898.544,IR,1.043,-4.261,8.160,logepsC,8.502,8.703,8.669,8.656,8.743,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,113,12C16O,X-X,1,(5-4),4916.305,IR,1.044,-4.262,8.230,logepsC,8.509,8.710,8.675,8.665,8.749,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,114,12C16O,X-X,1,(5-4),4934.535,IR,1.046,-3.787,15.540,logepsC,8.497,8.686,8.648,8.635,8.712,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,115,12C16O,X-X,1,(5-4),4943.828,IR,1.048,-3.663,17.750,logepsC,8.499,8.691,8.649,8.637,8.713,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,116,12C16O,X-X,1,(5-4),4962.772,IR,1.053,-3.488,21.010,logepsC,8.509,8.714,8.662,8.650,8.725,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,117,12C16O,X-X,1,(1-0),6113.014,IR,2.154,-3.041,7.660,logepsC,8.442,8.582,8.562,8.551,8.618,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,118,12C16O,X-X,1,(1-0),6162.372,IR,2.242,-3.034,6.600,logepsC,8.447,8.584,8.565,8.554,8.621,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,119,12C16O,X-X,1,(2-1),6225.817,IR,2.443,-2.743,7.530,logepsC,8.455,8.576,8.559,8.549,8.613,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,120,12C16O,X-X,1,(2-1),6251.223,IR,2.486,-2.739,6.950,logepsC,8.451,8.571,8.555,8.545,8.608,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,121,12C16O,X-X,1,(2-1),6329.214,IR,2.619,-2.729,5.510,logepsC,8.459,8.575,8.560,8.550,8.612,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,122,12C16O,X-X,2,(2-0),2295.407,NIR,0.408,-5.325,2.860,logepsC,8.470,8.680,8.621,8.607,8.745,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,123,12C16O,X-X,2,(2-0),2297.774,NIR,1.009,-5.056,1.220,logepsC,8.467,8.634,8.580,8.566,8.693,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,124,12C16O,X-X,2,(2-0),2298.392,NIR,1.039,-5.046,1.250,logepsC,8.505,8.666,8.615,8.602,8.728,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,125,12C16O,X-X,2,(2-0),2305.777,NIR,0.167,-5.561,3.080,logepsC,8.469,8.701,8.641,8.627,8.768,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,126,12C16O,X-X,2,(2-0),2306.789,NIR,0.155,-5.580,3.000,logepsC,8.460,8.695,8.634,8.619,8.759,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,127,12C16O,X-X,2,(2-0),2308.934,NIR,0.131,-5.621,2.940,logepsC,8.463,8.701,8.640,8.626,8.762,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,128,12C16O,X-X,2,(2-0),2310.067,NIR,0.120,-5.642,2.910,logepsC,8.467,8.707,8.645,8.632,8.768,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,129,12C16O,X-X,2,(2-0),2313.709,NIR,0.090,-5.711,2.680,logepsC,8.459,8.702,8.643,8.628,8.766,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,130,12C16O,X-X,2,(2-0),2317.714,NIR,0.065,-5.790,2.470,logepsC,8.470,8.718,8.657,8.643,8.776,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,131,12C16O,X-X,2,(2-0),2322.085,NIR,0.043,-5.883,2.110,logepsC,8.460,8.712,8.653,8.638,8.779,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,132,12C16O,X-X,2,(3-1),2336.839,NIR,0.407,-5.119,4.370,logepsC,8.476,8.677,8.619,8.605,8.738,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,133,12C16O,X-X,2,(3-1),2337.940,NIR,0.396,-5.139,4.250,logepsC,8.468,8.670,8.612,8.599,8.732,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,134,12C16O,X-X,2,(3-1),2338.045,NIR,1.657,-4.467,0.990,logepsC,8.491,8.612,8.562,8.550,8.670,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,135,12C16O,X-X,2,(3-1),2339.083,NIR,0.385,-5.160,4.210,logepsC,8.472,8.676,8.617,8.604,8.737,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,136,12C16O,X-X,2,(3-1),2341.492,NIR,0.365,-5.205,4.030,logepsC,8.470,8.678,8.619,8.606,8.740,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,137,12C16O,X-X,2,(3-1),2341.747,NIR,1.765,-4.441,0.790,logepsC,8.479,8.593,8.543,8.534,8.658,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,138,12C16O,X-X,2,(3-1),2342.759,NIR,0.355,-5.230,3.900,logepsC,8.466,8.676,8.616,8.603,8.738,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,139,12C16O,X-X,2,(3-1),2344.067,NIR,0.346,-5.255,3.790,logepsC,8.466,8.677,8.618,8.604,8.740,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,140,12C16O,X-X,2,(3-1),2345.416,NIR,0.338,-5.281,3.690,logepsC,8.469,8.681,8.622,8.608,8.742,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,141,12C16O,X-X,2,(3-1),2346.808,NIR,0.330,-5.308,3.500,logepsC,8.458,8.673,8.614,8.600,8.736,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,142,12C16O,X-X,2,(3-1),2348.240,NIR,0.322,-5.338,3.370,logepsC,8.459,8.677,8.617,8.603,8.741,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,143,12C16O,X-X,2,(3-1),2349.715,NIR,0.315,-5.368,3.260,logepsC,8.465,8.683,8.624,8.610,8.744,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,144,12C16O,X-X,2,(3-1),2351.231,NIR,0.309,-5.401,3.100,logepsC,8.466,8.686,8.626,8.612,8.747,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,145,12C16O,X-X,2,(3-1),2359.442,NIR,0.283,-5.606,2.140,logepsC,8.457,8.687,8.627,8.613,8.751,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,146,12C16O,X-X,2,(2-0),2363.125,NIR,0.013,-6.240,1.040,logepsC,8.444,8.713,8.650,8.636,8.772,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,147,12C16O,X-X,2,(2-0),2368.011,NIR,0.021,-6.136,1.310,logepsC,8.456,8.718,8.658,8.644,8.779,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,148,12C16O,X-X,2,(2-0),2378.308,NIR,0.043,-5.986,1.730,logepsC,8.460,8.719,8.658,8.644,8.781,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,149,12C16O,X-X,2,(2-0),2398.050,NIR,0.100,-5.816,2.130,logepsC,8.450,8.699,8.639,8.626,8.766,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,150,12C16O,X-X,2,(2-0),2401.052,NIR,0.110,-5.797,2.220,logepsC,8.463,8.709,8.652,8.637,8.775,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,151,12C16O,X-X,2,(2-0),2404.101,NIR,0.120,-5.779,2.230,logepsC,8.458,8.705,8.645,8.630,8.770,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,152,12C16O,X-X,2,(3-1),2408.344,NIR,0.309,-5.503,2.610,logepsC,8.474,8.698,8.641,8.627,8.760,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,153,12C16O,X-X,2,(3-1),2413.856,NIR,0.322,-5.445,2.830,logepsC,8.470,8.692,8.633,8.620,8.755,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,154,12C16O,X-X,2,(3-1),2416.681,NIR,0.330,-5.420,2.930,logepsC,8.471,8.692,8.633,8.619,8.755,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,155,12C16O,X-X,2,(3-1),2422.470,NIR,0.346,-5.373,3.130,logepsC,8.475,8.693,8.635,8.620,8.758,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,156,12C16O,X-X,2,(3-1),2434.609,NIR,0.385,-5.295,3.300,logepsC,8.465,8.680,8.620,8.606,8.740,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,157,12C16O,X-X,2,(2-0),2437.184,NIR,0.251,-5.639,2.220,logepsC,8.460,8.694,8.635,8.622,8.754,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,158,12C16O,X-X,2,(3-1),2437.762,NIR,0.396,-5.278,3.300,logepsC,8.459,8.673,8.614,8.601,8.733,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,159,12C16O,X-X,2,(3-1),2457.697,NIR,0.471,-5.191,3.380,logepsC,8.467,8.672,8.615,8.601,8.735,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,160,12C16O,X-X,2,(2-0),2459.375,NIR,0.352,-5.577,2.000,logepsC,8.459,8.687,8.628,8.615,8.744,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,161,12C16O,X-X,2,(3-1),2461.191,NIR,0.485,-5.178,3.420,logepsC,8.476,8.680,8.623,8.610,8.739,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,162,12C16O,X-X,2,(3-1),2468.328,NIR,0.514,-5.155,3.310,logepsC,8.467,8.670,8.613,8.599,8.731,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,163,12C16O,X-X,2,(2-0),2471.155,NIR,0.408,-5.550,1.850,logepsC,8.457,8.678,8.622,8.609,8.742,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,164,12C16O,X-X,2,(3-1),2471.973,NIR,0.530,-5.143,3.300,logepsC,8.472,8.672,8.616,8.602,8.736,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,165,12C16O,X-X,2,(2-0),2475.186,NIR,0.428,-5.542,1.840,logepsC,8.470,8.690,8.633,8.621,8.748,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,166,12C16O,X-X,2,(3-1),2483.212,NIR,0.579,-5.112,3.110,logepsC,8.463,8.662,8.606,8.591,8.723,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,167,12C16O,X-X,2,(3-1),2490.963,NIR,0.614,-5.093,3.010,logepsC,8.466,8.662,8.607,8.593,8.724,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,168,12C16O,X-X,2,(2-0),2491.836,NIR,0.512,-5.510,1.610,logepsC,8.467,8.681,8.624,8.611,8.744,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,169,12C16O,X-X,2,(3-1),2498.923,NIR,0.651,-5.074,2.900,logepsC,8.470,8.664,8.608,8.594,8.724,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,170,12C16O,X-X,2,(2-0),2523.067,IR,0.676,-5.462,1.240,logepsC,8.480,8.681,8.626,8.613,8.746,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,171,12C16O,X-X,2,(2-0),2527.752,IR,0.701,-5.455,1.130,logepsC,8.455,8.656,8.602,8.588,8.718,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,172,12C16O,X-X,2,(3-1),2580.504,IR,1.065,-4.946,1.510,logepsC,8.482,8.650,8.599,8.586,8.711,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,173,12C16O,X-X,2,(3-1),2590.736,IR,1.120,-4.935,1.360,logepsC,8.483,8.648,8.596,8.584,8.705,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,174,NH,X-X,0,(0-0),11311.232,IR,2.138,-1.557,0.243,logepsN,7.898,8.002,8.015,7.997,8.088,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,175,NH,X-X,0,(0-0),11471.850,IR,2.027,-1.570,0.316,logepsN,7.913,8.012,8.035,8.003,8.039,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,176,NH,X-X,0,(0-0),11650.680,IR,1.920,-1.584,0.380,logepsN,7.898,8.018,8.012,8.011,8.072,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW
