band,element,ion,treatment,deck,n_lines,A,has_published_row,A_published,reproduces_A,stat_dex,reproduces_stat,syst_before,syst_published,reproduces_syst,syst_published_rule_pre_rya869,syst_diff_is_rya869_correction,rung,gf_graded,n_graded,n_unresolved,n_absent_from_linelist,n_ambiguous_in_linelist,cited_sigma_dex,syst_after,d_syst,dominant_after,harness_charged_dex,harness_handler,grade_counts,reason,src
VIS,Fe,II,1D-LTE,,11,7.568,True,7.568,True,0.0564,True,0.1705,0.1705,True,0.1705,False,1,False,0,0,0,0,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,II,ENGINE-A,,3,7.517,True,7.517,True,0.0845,True,0.1705,0.1705,True,0.1705,False,1,False,0,0,0,0,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,1D-LTE,,4,7.696,True,7.696,True,0.111,True,0.1731,0.1731,True,0.1731,False,1,False,0,0,0,0,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
red-optical,Fe,II,ENGINE-A,,1,7.763,True,7.763,True,0.0,True,0.1731,0.1731,True,0.1731,False,1,False,0,0,0,0,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,II,ENGINE-B-NLTE,,2,7.461,True,7.461,True,0.045,True,0.1726,0.1731,False,0.1731,True,1,False,0,0,0,0,,0.1726,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
red-optical,Fe,II,ENGINE-B,,3,7.523,False,,,0.0894,,0.1726,,,0.1726,,1,False,0,0,0,0,,0.1726,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,{},"no primary-laboratory gf table exists for Fe II — the graded ladder is Fe I only (RYA-799/824/836), and grading Fe II through it would referee it against Fe I lab rows on wavelength and EP alone",FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv
near-UV,Fe,I,1D-LTE,,40,7.488,True,7.488,True,0.0652,True,0.1972,0.1972,True,0.1972,False,1,False,0,2,0,2,,0.1972,0.0,gf scale (UNGRADED),0.0,SynthesisHandler,"{""GF-NIST"": 15, ""UNRESOLVED"": 2, ""systematic:K07"": 23}","MIXED POOL: 0 of 40 Fe I lines are GF-LAB (primary laboratory gf); the rest are GF-NIST x15, UNRESOLVED x2, systematic:K07 x23. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",FeI_3000_3780_kpno_solar_atlas_SYNTH_1D-LTE_lines.csv
VIS,Fe,I,1D-LTE,,152,7.586,True,7.586,True,0.0305,True,0.1705,0.1705,True,0.1705,False,1,False,5,16,14,2,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 5, ""GF-NIST"": 1, ""UNRESOLVED"": 16, ""systematic:K07"": 127, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 5 of 152 Fe I lines are GF-LAB (primary laboratory gf); the rest are GF-NIST x1, UNRESOLVED x16, systematic:K07 x127, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
VIS,Fe,I,ENGINE-A,,109,7.6,True,7.6,True,0.0357,True,0.1705,0.1705,True,0.1705,False,1,False,4,11,9,2,,0.1705,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 4, ""GF-NIST"": 1, ""UNRESOLVED"": 11, ""systematic:K07"": 90, ""systematic:K07/SCALE-MISMATCH"": 3}","MIXED POOL: 4 of 109 Fe I lines are GF-LAB (primary laboratory gf); the rest are GF-NIST x1, UNRESOLVED x11, systematic:K07 x90, systematic:K07/SCALE-MISMATCH x3. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-A_lines.csv
red-optical,Fe,I,1D-LTE,,101,7.639,True,7.639,True,0.0355,True,0.1731,0.1731,True,0.1731,False,1,False,12,13,11,2,,0.1731,0.0,gf scale (UNGRADED),0.0129,ProfileFitHandler,"{""GF-LAB"": 12, ""UNRESOLVED"": 13, ""systematic:K07"": 70, ""systematic:K07/SCALE-MISMATCH"": 6}","MIXED POOL: 12 of 101 Fe I lines are GF-LAB (primary laboratory gf); the rest are UNRESOLVED x13, systematic:K07 x70, systematic:K07/SCALE-MISMATCH x6. A pool is graded only if every line in it is — inheriting the best rung a subset carries would attribute a laboratory pedigree to lines that do not have one",FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_1D-LTE_lines.csv
