arm,n_exposures,settings,wavelength_range_A,snr_range,source
J,4,"J1226;J1228;J1232","11164-13495","84.8-134.7","Vesta CRIRES+ EXTRACTC IDPs"
K,4,"K2148;K2166;K2192;K2217","19459-24855","78.8-109.4","Vesta CRIRES+ EXTRACTC IDPs"
