arm,setting,base_frame,telluric_engine,gdas_profile,co_bandhead_on_chip,d1_residual_after,product_status,disposition
J,,ADP.2025-06-06T16:11:03.997.fits,molecfit,gdas_C-70.4-24.6_2022-11-24T00.gdas.fits,,0.01795,corrected_continuum_normalized,full-arm corrected; rest-frame conditioning deferred
J,,ADP.2025-06-06T16:11:04.000.fits,molecfit,gdas_C-70.4-24.6_2022-11-24T00.gdas.fits,,0.01822,corrected_continuum_normalized,full-arm corrected; rest-frame conditioning deferred
J,,ADP.2025-06-06T16:08:50.324.fits,molecfit,gdas_C-70.4-24.6_2022-11-22T00.gdas.fits,,0.01914,corrected_continuum_normalized,full-arm corrected; rest-frame conditioning deferred
J,,ADP.2025-06-06T16:08:50.336.fits,molecfit,gdas_C-70.4-24.6_2022-11-22T00.gdas.fits,,0.01839,corrected_continuum_normalized,full-arm corrected; rest-frame conditioning deferred
K,,ADP.2025-06-06T16:29:59.741.fits,molecfit,gdas_C-70.4-24.6_2022-11-23T00.gdas.fits,false,0.01772,corrected_continuum_normalized,full-arm corrected; rest-frame conditioning deferred
K,,ADP.2025-06-06T16:14:11.203.fits,molecfit,gdas_C-70.4-24.6_2022-11-25T00.gdas.fits,false,0.01482,corrected_continuum_normalized,full-arm corrected; rest-frame conditioning deferred
K,,ADP.2025-06-06T16:29:59.738.fits,molecfit,gdas_C-70.4-24.6_2022-11-23T00.gdas.fits,false,0.01394,corrected_continuum_normalized,full-arm corrected; rest-frame conditioning deferred
K,,ADP.2025-06-06T16:14:11.206.fits,molecfit,gdas_C-70.4-24.6_2022-11-25T00.gdas.fits,false,0.01646,corrected_continuum_normalized,full-arm corrected; rest-frame conditioning deferred
