setting,band,win_min_nm,win_max_nm,n_files
Y1028,Y,1031.36,1042.72,1
Y1028,Y,1043.27,1049.92,1
Y1028,Y,1050.44,1062.37,1
Y1028,Y,1062.94,1069.7,1
Y1028,Y,1070.24,1082.77,1
Y1028,Y,1083.35,1090.23,1
Y1028,Y,1090.79,1103.95,1
Y1028,Y,1104.55,1111.55,1
Y1028,Y,1112.13,1118.77,1
Y1029,Y,949.56,989.51,4
Y1029,Y,990.02,1007.18,4
Y1029,Y,1007.7,1025.49,4
Y1029,Y,1026.02,1032.52,4
Y1029,Y,1033.02,1044.46,4
Y1029,Y,1045.01,1051.62,4
Y1029,Y,1052.13,1064.14,4
Y1029,Y,1064.71,1071.43,4
Y1029,Y,1071.96,1084.57,4
Y1029,Y,1085.15,1091.99,4
Y1029,Y,1092.55,1105.79,4
Y1029,Y,1106.39,1113.35,4
Y1029,Y,1113.92,1120.52,4
