holding,species,wavelength_air_A,ep_eV,published_loggf,source_band,predicted_feature_depth,observed_core_depth,ew_mA,scott2015_published_ew_mA,ew_ratio_ours_vs_scott,half_width_A,status,reason_or_concern,method,spectrum_source
kpno_1984,Si I,5645.6128,4.9296,-2.04,VIS,0.236,0.28366,36.3645,35.0,1.03899,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",lm0564
iag_baker2020,Si I,5645.6128,4.9296,-2.04,VIS,0.236,0.28789,37.7734,35.0,1.07924,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",iag_telfree_solaratlas.fits
kpno_1984,Si I,5684.484,4.9538,-1.55,VIS,0.388,0.44995,61.1056,63.7,0.95927,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",lm0568
iag_baker2020,Si I,5684.484,4.9538,-1.55,VIS,0.388,0.4462,60.6549,63.7,0.9522,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",iag_telfree_solaratlas.fits
kpno_1984,Si I,5690.425,4.9296,-1.77,VIS,0.325,0.40468,51.8618,52.6,0.98597,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",lm0568
iag_baker2020,Si I,5690.425,4.9296,-1.77,VIS,0.325,0.38033,49.6408,52.6,0.94374,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",iag_telfree_solaratlas.fits
kpno_1984,Si I,5701.104,4.9296,-1.95,VIS,0.264,0.30939,40.1355,39.5,1.01609,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",lm0568
iag_baker2020,Si I,5701.104,4.9296,-1.95,VIS,0.264,0.31118,40.1557,39.5,1.0166,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",iag_telfree_solaratlas.fits
kpno_1984,Si I,5772.146,5.0823,-1.65,VIS,0.309,0.38257,54.1484,56.0,0.96694,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",lm0576
iag_baker2020,Si I,5772.146,5.0823,-1.65,VIS,0.309,0.3784,53.3153,56.0,0.95206,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",iag_telfree_solaratlas.fits
kpno_1984,Si I,5793.0727,4.9296,-1.96,VIS,0.257,0.33257,46.0936,45.8,1.00641,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",lm0576
iag_baker2020,Si I,5793.0727,4.9296,-1.96,VIS,0.257,0.32362,45.1488,45.8,0.98578,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",iag_telfree_solaratlas.fits
kpno_1984,Si I,6741.628,5.984,-1.65,VIS,0.066,0.0985,15.0252,16.3,0.92179,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",lm0672
iag_baker2020,Si I,6741.628,5.984,-1.65,VIS,0.066,0.10286,16.2816,16.3,0.99887,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",iag_telfree_solaratlas.fits
kpno_1984,Si I,7034.9006,5.8708,-0.78,red-optical,0.275,0.36052,57.8469,74.0,0.78172,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",lm0700
iag_baker2020,Si I,7034.9006,5.8708,-0.78,red-optical,0.275,0.3599,57.7628,74.0,0.78058,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",iag_telfree_solaratlas.fits
kpno_1984,Si I,7226.2079,5.6135,-1.41,red-optical,0.176,,,38.7,,0.12,unserved,"LookupError: QUARANTINED-TELLURIC: inside the H2O (7160-7340 A) and kpno_solar_atlas is telluric_basis=line_selection, so the observed flux there is not stellar. Excluded by per-line selection (RYA-460/786), not corrected.",,
iag_baker2020,Si I,7226.2079,5.6135,-1.41,red-optical,0.176,0.23086,35.7529,38.7,0.92385,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",iag_telfree_solaratlas.fits
kpno_1984,Si II,6371.3714,8.121,-0.044,VIS,0.112,0.18419,28.3882,36.6,0.77563,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",lm0636
iag_baker2020,Si II,6371.3714,8.121,-0.044,VIS,0.112,0.19086,29.3757,36.6,0.80262,0.12,served,,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",iag_telfree_solaratlas.fits
