band,wavelength_air_A,sigma_A,resolving_power,observed_p95,catalogued_p95,catalogued_p95_sigma_lo,catalogued_p95_sigma_hi,uncatalogued_residual,residual_sigma_hi,telluric_correction_applied,status
near-UV,3769.987,0.02054,387298.0,0.67282,0.93051,0.9883,0.81371,-0.25769,-0.14089,False,ok
near-UV,3540.121,0.01929,387298.0,0.93111,0.99995,1.0,0.96441,-0.06884,-0.0333,False,ok
near-UV,3738.305,0.02037,387298.0,0.75617,0.99731,0.99957,0.94073,-0.24114,-0.18456,False,ok
near-UV,3742.617,0.02039,387298.0,0.86924,0.99837,1.0,0.96375,-0.12914,-0.09451,False,ok
near-UV,3779.416,0.02059,387298.0,0.9694,0.99247,0.99905,0.96563,-0.02307,0.00377,False,ok
near-UV,3721.272,0.02027,387298.0,0.58362,0.99995,1.0,0.98878,-0.41634,-0.40516,False,ok
near-UV,3427.119,0.01867,387298.0,0.84009,0.99936,0.99996,0.99461,-0.15927,-0.15451,False,ok
near-UV,3083.741,0.0168,387298.0,0.6309,0.97172,0.99866,0.91911,-0.34081,-0.2882,False,ok
near-UV,3603.681,0.01963,387298.0,0.84339,0.99964,0.99999,0.98648,-0.15625,-0.14309,False,ok
near-UV,3776.454,0.02058,387298.0,0.95343,0.99534,0.9999,0.8394,-0.04191,0.11403,False,ok
VIS,6725.356,0.03664,387298.0,0.99695,1.0,1.0,0.99999,-0.00305,-0.00304,False,ok
VIS,5379.574,0.02931,387298.0,0.99523,1.0,1.0,0.99983,-0.00477,-0.0046,False,ok
VIS,6843.655,0.03729,387298.0,0.99382,0.99999,1.0,0.99965,-0.00617,-0.00584,False,ok
VIS,6627.544,0.03611,387298.0,0.99632,0.99996,1.0,0.9968,-0.00364,-0.00047,False,ok
VIS,6301.5,0.03433,387298.0,0.97701,1.0,1.0,0.99991,-0.02299,-0.0229,False,ok
VIS,6336.823,0.03453,387298.0,0.97979,1.0,1.0,0.99999,-0.02021,-0.0202,False,ok
VIS,6705.101,0.03653,387298.0,0.99511,1.0,1.0,0.99962,-0.00489,-0.00451,False,ok
VIS,5775.081,0.03146,387298.0,0.97963,1.0,1.0,0.99876,-0.02036,-0.01913,False,ok
VIS,6858.148,0.03737,387298.0,0.99432,1.0,1.0,0.99997,-0.00568,-0.00565,False,ok
VIS,6246.318,0.03403,387298.0,0.97879,1.0,1.0,0.99949,-0.02121,-0.0207,False,ok
red-optical,8046.047,0.04384,387298.0,0.9547,1.0,1.0,0.99961,-0.0453,-0.04492,False,ok
red-optical,8945.189,0.04874,387298.0,0.99059,1.0,1.0,0.99919,-0.00941,-0.0086,False,ok
red-optical,7653.758,0.0417,387298.0,1.00137,0.99989,1.0,0.99753,0.00148,0.00385,True,ok
red-optical,9012.075,0.0491,387298.0,0.90271,1.0,1.0,0.99856,-0.09729,-0.09585,False,ok
red-optical,8360.794,0.04555,387298.0,0.99471,1.0,1.0,0.99977,-0.00529,-0.00507,True,ok
red-optical,7586.018,0.04133,387298.0,0.96562,1.0,1.0,0.99849,-0.03438,-0.03288,False,ok
red-optical,8866.931,0.04831,387298.0,0.94415,0.99991,1.0,0.99671,-0.05576,-0.05256,False,ok
red-optical,8471.743,0.04616,387298.0,0.99528,1.0,1.0,0.99941,-0.00471,-0.00413,False,ok
red-optical,8808.17,0.04799,387298.0,0.97982,1.0,1.0,0.99931,-0.02018,-0.01949,False,ok
red-optical,8220.378,0.04479,387298.0,0.93276,1.0,1.0,0.99935,-0.06724,-0.06658,True,ok
NIR-H,16009.61,0.12863,70711.0,0.92889,0.98546,0.99997,0.80557,-0.05657,0.12332,,ok
NIR-H,15648.51,0.12572,70711.0,0.97987,0.98914,0.99999,0.83334,-0.00927,0.14653,,ok
NIR-H,16396.306,0.13173,70711.0,1.01363,0.99153,0.99997,0.90527,0.0221,0.10836,,ok
NIR-H,15051.749,0.12093,70711.0,0.86556,0.98573,0.99991,0.78184,-0.12017,0.08372,,ok
NIR-H,16537.994,0.13287,70711.0,0.97834,0.99451,0.99992,0.94211,-0.01617,0.03623,,ok
NIR-H,15691.853,0.12607,70711.0,0.88669,0.98188,0.99983,0.77751,-0.0952,0.10918,,ok
NIR-H,16165.029,0.12987,70711.0,0.84808,0.97382,0.99765,0.7627,-0.12574,0.08538,,ok
