wavelength_air_A,in_canonical_gf,rya352_verdict,band_harness_verdict,gf_tier,log_gf,feature_depth,is_deep,is_primary_lab_gf,reachable_by_band_route
6084.102,True,KEEP — reinstated as clean,REJECT — FIT-PINNED,VALD3,-3.78,0.181,False,False,False
6456.38,True,KEEP — reinstated as clean,REJECT — FIT-PINNED,VALD3,-2.1,0.43,False,False,False
6432.676,True,CULL — HIERR,KEEP,OTHER,-1.236,0.34,False,False,False
6247.557,True,CULL — BLEND,KEEP,OTHER,-2.329,0.395,False,False,False
6149.258,True,CULL — BLEND,KEEP,OTHER,-2.724,0.287,False,False,False
6369.459,True,keep,keep,VALD3,-4.16,0.155,False,False,False
