element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,continuum_level,continuum_method,continuum_ref,nlte_delta_dex,nlte_source,ew_inversion,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Al,I,5557.062,kpno_solar_atlas,20.550662936008464,"PROFILE-FIT (voigt); gap 0.838 A; model integrated; chi2_red=0.0001656; sigma_fit=0.0047 A (init 0.0319, floor 0.0047); ew_err=23.43 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0552",,-5.432019406046605,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,3.1427,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,registered per-line delta_nlte (NOT SERVED),True,0.0047197339924071,0.004719733992407,,,,,0.0001656133023124
Al,I,6696.0137,kpno_solar_atlas,53.45898764088195,"PROFILE-FIT (voigt); gap 0.301 A; model integrated; chi2_red=0.001046; sigma_fit=0.0057 A (init 0.0384, floor 0.0057); ew_err=3.31 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0668",6.363085909090909,-5.097795603336911,ENGINE-A,True,,,,,,3.1427,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,-0.027539090909090923,"Al_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) departure grid via PySME; Al I model atom Nordlander & Lind 2017 (A&A 607, A75); RYA-402 PySME-derived deltas); PER-LINE additive correction",True,0.0056870705640173,0.0056870705191904,,,,,0.0010461245412973
Al,I,6698.6715,kpno_solar_atlas,28.502923904240728,"PROFILE-FIT (voigt); gap 0.469 A; model integrated; chi2_red=0.0003518; sigma_fit=0.0141 A (init 0.0384, floor 0.0057); ew_err=1.71 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0668",6.338330568181818,-5.3710992673428,ENGINE-A,True,,,,,,3.1427,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,-0.01713818181818183,"Al_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) departure grid via PySME; Al I model atom Nordlander & Lind 2017 (A&A 607, A75); RYA-402 PySME-derived deltas); PER-LINE additive correction",True,0.0140745781631122,0.0056893278467143,,,,,0.0003517603288678
Al,I,6783.638,kpno_solar_atlas,37.26633147325066,"PROFILE-FIT (voigt); gap 0.065 A; model integrated; chi2_red=0.0003047; sigma_fit=0.0058 A (init 0.0389, floor 0.0058); ew_err=6.33 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0676",,-5.260146021737735,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,4.0215,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,registered per-line delta_nlte (NOT SERVED),True,0.0057614917488385,0.0057614917488385,,,,,0.0003047259476297
