element,ion,band,instrument,treatment,handler,A,n_lines,n_excluded,stat_dex,syst_dex,stat_basis,dominant,route,scale,model,atmos,gf,route_basis
Al,I,VIS,kpno_solar_atlas,1D-LTE,ProfileFitHandler,6.531,4,0,0.1192,0.1705,"measured — RMS of the random terms, 0.11924 dex at n_lines=4",gf scale (UNGRADED),ew,1D-LTE,none,atlas9,kurucz,handler
Al,I,VIS,kpno_solar_atlas,ENGINE-A,ProfileFitHandler,6.351,2,2,0.0124,0.1705,"measured — RMS of the random terms, 0.01238 dex at n_lines=2",gf scale (UNGRADED),ew,1D-NLTE,amarsi,atlas9,kurucz,handler
Al,I,VIS,kpno_solar_atlas,ENGINE-B,SynthesisHandler,6.271,4,0,0.0202,0.17,"measured — RMS of the random terms, 0.02020 dex at n_lines=4",gf scale (UNGRADED),synth,1D-LTE,none,atlas9,kurucz,handler
