role,citation,doi,article_url,download_url,used
AGSS21 adopted abundance,"Asplund, Amarsi & Grevesse 2021",10.1051/0004-6361/202140445,https://doi.org/10.1051/0004-6361/202140445,https://arxiv.org/abs/2105.01661,yes
3D non-LTE Si abundance and final line membership,Amarsi & Asplund 2017,10.1093/mnras/stw2445,https://doi.org/10.1093/mnras/stw2445,https://arxiv.org/abs/1609.07283,yes
underlying Solar Si line table,Scott et al. 2015,10.1051/0004-6361/201424109,https://doi.org/10.1051/0004-6361/201424109,https://arxiv.org/abs/1405.0279,yes
primary laboratory UV/blue gf,Den Hartog et al. 2023,10.3847/1538-4365/acb642,https://doi.org/10.3847/1538-4365/acb642,https://arxiv.org/abs/2301.11391,yes
Scott/Amarsi relative gf scale,"Garz 1973, A&A 26, 471",,https://ui.adsabs.harvard.edu/abs/1973A%26A....26..471G,,lineage; row values obtained through Scott/Amarsi
absolute lifetime normalization,O'Brian & Lawler 1991a,10.1016/0375-9601(91)90990-E,https://doi.org/10.1016/0375-9601(91)90990-E,,lineage
absolute lifetime normalization,O'Brian & Lawler 1991b,10.1103/PhysRevA.44.7134,https://doi.org/10.1103/PhysRevA.44.7134,,lineage
