band,reference_used,reference_rejected,codex_matched,primary_lab_available,codex_grade,deep_grade,below_floor,ungraded_depth_pending,missing_from_codex,ambiguous_crossmatches
FUV,0,0,0,20,0,0,0,20,20,0
NUV,0,0,0,0,0,0,0,0,0,0
VIS,8,2,2,2,0,0,0,2,0,0
red-optical,2,0,0,0,0,0,0,0,0,0
IR,0,0,0,0,0,0,0,0,0,0
