product,term,state,reported_stat,reported_sys,reported_total,publishable
solar_nearuv_cno_provenance.json,statistical,reported_partial,0.053,0.041,0.067,False
solar_nearuv_cno_provenance.json,continuum,not_demonstrated,0.053,0.041,0.067,False
solar_nearuv_cno_provenance.json,line_data,not_demonstrated,0.053,0.041,0.067,False
solar_nearuv_cno_provenance.json,stellar_parameters,not_demonstrated,0.053,0.041,0.067,False
solar_nearuv_cno_provenance.json,blend_abundances,not_demonstrated,0.053,0.041,0.067,False
solar_nearuv_cno_provenance.json,c_o_coupling,not_demonstrated,0.053,0.041,0.067,False
solar_nearuv_cno_provenance.json,telluric,not_demonstrated,0.053,0.041,0.067,False
solar_nearuv_cno_provenance.json,model_atmosphere,not_demonstrated,0.053,0.041,0.067,False
solar_nearuv_cno_provenance.json,line_formation,not_demonstrated,0.053,0.041,0.067,False
solar_nearuv_cno_provenance.json,holding_repeatability,not_demonstrated,0.053,0.041,0.067,False
solar_nearuv_cno_provenance.json,diagnostic_family,not_demonstrated,0.053,0.041,0.067,False
solar_nir_cn_iag_cno_provenance.json,statistical,reported_partial,0.037,0.033,0.05,False
solar_nir_cn_iag_cno_provenance.json,continuum,not_demonstrated,0.037,0.033,0.05,False
solar_nir_cn_iag_cno_provenance.json,line_data,not_demonstrated,0.037,0.033,0.05,False
solar_nir_cn_iag_cno_provenance.json,stellar_parameters,not_demonstrated,0.037,0.033,0.05,False
solar_nir_cn_iag_cno_provenance.json,blend_abundances,not_demonstrated,0.037,0.033,0.05,False
solar_nir_cn_iag_cno_provenance.json,c_o_coupling,not_demonstrated,0.037,0.033,0.05,False
solar_nir_cn_iag_cno_provenance.json,telluric,not_demonstrated,0.037,0.033,0.05,False
solar_nir_cn_iag_cno_provenance.json,model_atmosphere,not_demonstrated,0.037,0.033,0.05,False
solar_nir_cn_iag_cno_provenance.json,line_formation,not_demonstrated,0.037,0.033,0.05,False
solar_nir_cn_iag_cno_provenance.json,holding_repeatability,not_demonstrated,0.037,0.033,0.05,False
solar_nir_cn_iag_cno_provenance.json,diagnostic_family,not_demonstrated,0.037,0.033,0.05,False
solar_nir_cn_kp_cno_provenance.json,statistical,reported_partial,0.046,0.036,0.059,False
solar_nir_cn_kp_cno_provenance.json,continuum,not_demonstrated,0.046,0.036,0.059,False
solar_nir_cn_kp_cno_provenance.json,line_data,not_demonstrated,0.046,0.036,0.059,False
solar_nir_cn_kp_cno_provenance.json,stellar_parameters,not_demonstrated,0.046,0.036,0.059,False
solar_nir_cn_kp_cno_provenance.json,blend_abundances,not_demonstrated,0.046,0.036,0.059,False
solar_nir_cn_kp_cno_provenance.json,c_o_coupling,not_demonstrated,0.046,0.036,0.059,False
solar_nir_cn_kp_cno_provenance.json,telluric,not_demonstrated,0.046,0.036,0.059,False
solar_nir_cn_kp_cno_provenance.json,model_atmosphere,not_demonstrated,0.046,0.036,0.059,False
solar_nir_cn_kp_cno_provenance.json,line_formation,not_demonstrated,0.046,0.036,0.059,False
solar_nir_cn_kp_cno_provenance.json,holding_repeatability,not_demonstrated,0.046,0.036,0.059,False
solar_nir_cn_kp_cno_provenance.json,diagnostic_family,not_demonstrated,0.046,0.036,0.059,False
solar_vis_cno_provenance.json,statistical,reported_partial,0.835,0.768,1.135,False
solar_vis_cno_provenance.json,continuum,not_demonstrated,0.835,0.768,1.135,False
solar_vis_cno_provenance.json,line_data,not_demonstrated,0.835,0.768,1.135,False
solar_vis_cno_provenance.json,stellar_parameters,not_demonstrated,0.835,0.768,1.135,False
solar_vis_cno_provenance.json,blend_abundances,not_demonstrated,0.835,0.768,1.135,False
solar_vis_cno_provenance.json,c_o_coupling,not_demonstrated,0.835,0.768,1.135,False
solar_vis_cno_provenance.json,telluric,not_demonstrated,0.835,0.768,1.135,False
solar_vis_cno_provenance.json,model_atmosphere,not_demonstrated,0.835,0.768,1.135,False
solar_vis_cno_provenance.json,line_formation,not_demonstrated,0.835,0.768,1.135,False
solar_vis_cno_provenance.json,holding_repeatability,not_demonstrated,0.835,0.768,1.135,False
solar_vis_cno_provenance.json,diagnostic_family,not_demonstrated,0.835,0.768,1.135,False
