reference_line_set,adopted_solar_value_lineage,use_status,source_row,species,system,delta_nu,band,wavelength_vac_nm,source_band,lower_energy_eV,published_loggf,equivalent_width_pm,element_parameter,abundance_3d,abundance_mean_3d,abundance_atmo,abundance_marcs,abundance_hm74,transition_identity_status,canonical_join_status,wavelength_air_A,delta_3d_minus_marcs,geometry
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,204,NH,X-X,1,(4-3),3445.428,IR,1.423,-3.049,0.09,logepsN,7.908,7.952,7.902,7.882,8.018,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,34444.884979676586,0.02600000000000069,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,205,CN,A-X,0,(0-0),1087.516,NIR,0.056,-2.601,0.136,logepsN,7.87,8.0,7.964,7.957,8.051,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,10872.18179071298,-0.08699999999999974,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,206,CN,A-X,0,(0-0),1087.548,NIR,0.089,-2.63,0.112,logepsN,7.848,7.965,7.944,7.932,8.027,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,10872.501703919484,-0.08400000000000052,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,207,CN,A-X,0,(0-0),1088.369,NIR,0.026,-2.591,0.149,logepsN,7.867,7.999,7.963,7.957,8.056,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,10880.709477115135,-0.08999999999999986,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,208,CN,A-X,0,(0-0),1088.654,NIR,0.021,-2.596,0.151,logepsN,7.873,7.996,7.971,7.963,8.06,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,10883.558704103625,-0.08999999999999986,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,209,CN,A-X,0,(0-0),1090.053,NIR,0.19,-2.714,0.075,logepsN,7.862,7.982,7.955,7.942,8.035,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,10897.544909537233,-0.08000000000000007,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,210,CN,A-X,0,(0-0),1097.755,NIR,0.005,-2.241,0.328,logepsN,7.836,7.964,7.932,7.925,8.021,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,10974.544018219116,-0.08899999999999952,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,211,CN,A-X,0,(0-0),1098.408,NIR,0.089,-1.641,0.995,logepsN,7.828,7.948,7.917,7.91,8.003,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,10981.072246920514,-0.08199999999999985,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,212,CN,A-X,0,(0-0),1099.333,NIR,0.108,-1.598,1.118,logepsN,7.859,7.977,7.947,7.94,8.033,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,10990.319737789283,-0.0810000000000004,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,213,CN,A-X,0,(0-0),1100.843,NIR,0.056,-1.531,1.515,logepsN,7.882,8.0,7.969,7.962,8.055,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,11005.415641757876,-0.08000000000000007,disk_center_intensity
