reference_line_set,adopted_solar_value_lineage,use_status,source_row,species,system,delta_nu,band,wavelength_vac_nm,source_band,lower_energy_eV,published_loggf,equivalent_width_pm,element_parameter,abundance_3d,abundance_mean_3d,abundance_atmo,abundance_marcs,abundance_hm74,transition_identity_status,canonical_join_status,wavelength_air_A,delta_3d_minus_marcs,geometry
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,248,CN,A-X,0,(0-0),1213.38,NIR,0.848,-1.217,0.585,logepsN,7.884,7.973,7.943,7.937,8.025,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12130.480234196024,-0.052999999999999936,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,249,CN,A-X,0,(0-0),1217.121,NIR,0.875,-1.211,0.518,logepsN,7.848,7.937,7.907,7.9,7.988,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12167.880077463109,-0.05200000000000049,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,250,CN,A-X,0,(0-0),1220.937,NIR,0.904,-1.205,0.546,logepsN,7.894,7.982,7.951,7.945,8.03,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12206.029716853345,-0.051000000000000156,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,251,CN,A-X,0,(0-0),1230.508,NIR,1.244,-0.837,0.521,logepsN,7.852,7.927,7.896,7.891,7.975,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12301.713730052294,-0.0389999999999997,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,252,CN,A-X,0,(0-0),1234.575,NIR,1.277,-0.833,0.477,logepsN,7.839,7.913,7.884,7.878,7.962,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12342.372687020907,-0.0389999999999997,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,253,CN,A-X,0,(0-0),1241.187,NIR,1.052,-1.125,0.441,logepsN,7.859,7.941,7.909,7.903,7.991,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12408.47473301674,-0.043999999999999595,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,254,CN,A-X,0,(0-0),1251.67,NIR,1.415,-0.819,0.423,logepsN,7.904,7.971,7.943,7.939,8.019,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12513.276266349512,-0.03500000000000014,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,255,CN,A-X,0,(0-0),1254.317,NIR,1.146,-1.167,0.319,logepsN,7.845,7.924,7.895,7.889,7.974,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12539.739078118446,-0.04400000000000048,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,256,CN,A-X,0,(0-0),1254.353,NIR,1.788,-1.077,0.087,logepsN,7.848,7.907,7.879,7.87,7.949,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12540.098980355557,-0.02200000000000024,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,257,CN,A-X,0,(0-0),1258.865,NIR,1.178,-1.162,0.298,logepsN,7.84,7.919,7.887,7.882,7.967,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12585.206727242718,-0.041999999999999815,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,258,CN,A-X,0,(0-0),1277.954,NIR,1.311,-1.147,0.252,logepsN,7.876,7.95,7.918,7.913,7.999,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12776.04488424722,-0.03699999999999992,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,259,CN,A-X,0,(0-0),1286.869,NIR,1.38,-1.143,0.2,logepsN,7.836,7.908,7.874,7.871,7.955,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12865.170670476165,-0.03500000000000014,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,260,CN,A-X,0,(0-0),1293.257,NIR,1.415,-1.136,0.216,logepsN,7.895,7.967,7.932,7.93,8.015,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12929.033319490207,-0.03500000000000014,disk_center_intensity
AmarsiEtAl2021_AA656_A113_Table2,AGSS21_CNO,USED,261,CN,A-X,0,(0-0),1294.349,NIR,1.749,-0.797,0.198,logepsN,7.86,7.922,7.892,7.885,7.967,SOURCE_TABLE_LACKS_ROTATIONAL_QUANTUM_IDENTITY,CROSSMATCH_REVIEW,12939.95035335698,-0.024999999999999467,disk_center_intensity
