species,system,delta_nu,n,vac_nm_min,vac_nm_max,A_3d_mean,A_marcs_mean,delta_3d_minus_marcs_mean
CN,A-X,0,59,1087.516,1320.778,7.866813559322034,7.926915254237288,-0.06010169491525426
NH,X-X,0,13,11311.232,15023.045,7.880923076923077,8.021461538461539,-0.14053846153846147
NH,X-X,1,18,2891.001,3445.428,7.921444444444445,7.914388888888889,0.007055555555555543
