wavelength_air_A,lower_EP_eV,published_loggf,feature_ew_pm,cn_blend_ew_pm,ni_ew_pm,A_3d_nlte,A_3d_lte,A_mean3d_nlte,A_mean3d_lte,A_1d_nlte,A_1d_lte,geometry,source,ni_ew_mA,delta_3d_minus_1d_nlte,delta_nlte_minus_lte_1d,canonical_match_status,physical_id,canonical_loggf,gf_tier,nist_grade,gf_reference,gf_source_doi,gf_difference
7442.29,10.33,-0.403,0.31,0.075,0.235,7.767,7.779,7.808,7.818,7.798,7.806,disk_center_intensity,amarsi2020_solar_n: Tables 1-3,2.3499999999999996,-0.030999999999999694,-0.008000000000000007,unique_wavelength_EP,pk_348dbbee2fe6,-0.400991,NIST-C+,B+,NIST ASD v5.11 grade B+ (T7370),,0.0020090000000000385
8216.33,10.336,0.138,0.77,0.0,0.77,7.767,7.782,7.81,7.824,7.796,7.806,disk_center_intensity,amarsi2020_solar_n: Tables 1-3,7.7,-0.028999999999999915,-0.009999999999999787,unique_wavelength_EP,pk_8ac0b0dc82fc,0.137987,NIST-C+,B+,NIST ASD v5.11 grade B+ (T7370),,-1.3000000000013001e-05
8629.23,10.69,0.077,0.62,0.21,0.41,7.759,7.772,7.815,7.826,7.803,7.812,disk_center_intensity,amarsi2020_solar_n: Tables 1-3,4.1,-0.043999999999999595,-0.009000000000000341,unique_wavelength_EP,pk_ebd0a6918019,0.076276,NIST-C+,B+,NIST ASD v5.11 grade B+ (T7370),,-0.0007240000000000024
8683.4,10.33,0.106,0.865,0.115,0.75,7.768,7.784,7.808,7.823,7.794,7.805,disk_center_intensity,amarsi2020_solar_n: Tables 1-3,7.5,-0.0259999999999998,-0.01100000000000012,unique_wavelength_EP,pk_ec835bef2a9b,0.105851,NIST-C+,B+,NIST ASD v5.11 grade B+ (T7370),,-0.00014899999999999636
10108.9,11.753,0.444,0.275,0.075,0.2,7.772,7.783,7.838,7.848,7.827,7.835,disk_center_intensity,amarsi2020_solar_n: Tables 1-3,2.0,-0.054999999999999716,-0.008000000000000007,REVIEW_0_matches,,,,,,,
