band,ion,wavelength_air_A,ep_eV,ew_mA,in_aggregate,a_1dlte_banked,loggf_k14,loggf_lab,d_loggf,lab_source,lab_sigma_dex,derivable
VIS,I,4787.8264,2.998,53.373410681502655,True,7.55078125,-2.53,-2.62,-0.0900000000000003,DenHartog2014,0.06,True
VIS,I,5379.5734,3.6946,67.65803003345668,True,7.5859375,-1.514,-1.42,0.09400000000000008,Belmonte2017,0.03,True
VIS,I,5532.7462,3.5732,66.44469201610461,True,7.357421875,-2.15,-1.89,0.26,Belmonte2017,0.06,True
VIS,I,5618.632,4.2089,59.252497142566334,True,7.41015625,-1.276,-1.25,0.026000000000000023,DenHartog2014,0.03,True
VIS,I,6627.5434,4.5485,32.177172688690646,True,7.62109375,-1.68,-1.59,0.08999999999999986,Ruffoni2014,0.1,True
VIS,I,6705.1169,4.607,52.52055955339996,True,7.322265625,-1.382,-0.87,0.5119999999999999,Ruffoni2014,0.04,True
VIS,I,6725.3553,4.1034,20.68658287956461,True,7.4013671875,-2.3,-2.1,0.19999999999999973,Ruffoni2014,0.1,True
VIS,I,6841.3381,4.607,85.9893488264743,True,7.5859375,-0.75,-0.49,0.26,Ruffoni2014,0.03,True
VIS,I,6843.6549,4.5485,69.16406174114157,True,7.4453125,-0.93,-0.73,0.20000000000000007,Ruffoni2014,0.03,True
IR,I,6916.6795,4.1544,73.41843470455511,True,7.62109375,-1.45,-1.28,0.16999999999999993,Ruffoni2014,0.03,True
IR,I,6977.4283,4.5931,45.82662742462324,True,7.5771484375,-1.564,-1.42,0.14400000000000013,Belmonte2017,0.05,True
IR,I,6999.883,4.1034,65.4438695121653,True,7.55078125,-1.56,-1.38,0.18000000000000016,Ruffoni2014,0.03,True
IR,I,7071.8597,4.607,40.14999343200292,True,7.65625,-1.7,-1.17,0.53,Ruffoni2014,0.13,True
IR,I,7219.6816,4.0758,53.32420910750482,True,7.638671875,-1.69,-1.43,0.26,Belmonte2017,0.04,True
IR,I,7306.5617,4.1777,50.68003845309946,True,7.427734375,-1.74,-1.43,0.31000000000000005,Ruffoni2014,0.03,True
IR,I,7307.9306,4.1426,89.0798325738838,True,7.744140625,-1.531,-1.15,0.381,Belmonte2017,0.03,True
IR,I,7443.0217,4.1864,46.9167343219246,True,7.638671875,-1.82,-1.64,0.18000000000000016,Belmonte2017,0.06,True
IR,I,7491.6468,4.3013,76.08734883192459,True,7.55078125,-0.9,-1.06,-0.16000000000000003,DenHartog2014,0.03,True
IR,I,7568.8981,4.2833,88.12886814419954,True,7.498046875,-0.773,-0.88,-0.10699999999999998,DenHartog2014,0.03,True
IR,I,7710.3626,4.2204,80.62427968194675,True,7.322265625,-1.113,-1.07,0.04299999999999993,DenHartog2014,0.03,True
IR,I,8207.7414,4.4456,75.74520771737794,True,7.515625,-0.856,-0.96,-0.10399999999999998,DenHartog2014,0.03,True
IR,I,8248.1281,4.3714,77.22124963660823,True,7.796875,-0.892,-1.23,-0.33799999999999997,Ruffoni2014,0.05,True
IR,I,8360.7934,4.4733,66.49877278259869,True,7.533203125,-1.688,-1.1,0.5879999999999999,DenHartog2014,0.04,True
IR,I,8471.7428,4.9556,42.77878828173769,True,7.48046875,-1.019,-0.91,0.10899999999999987,Ruffoni2014,0.03,True
IR,I,8598.8187,4.3865,68.21043011193062,True,7.55078125,-1.089,-1.2,-0.11099999999999999,DenHartog2014,0.03,True
IR,I,8699.454,4.9556,77.03800289529578,True,7.41015625,-0.38,-0.37,0.010000000000000009,Ruffoni2014,0.02,True
IR,I,8784.4404,4.9556,35.38905769608807,True,7.533203125,-1.593,-1.14,0.45300000000000007,DenHartog2014,0.12,True
IR,I,8846.7398,5.0095,59.29911046389517,True,7.515625,-0.781,-0.56,0.22099999999999997,DenHartog2014,0.04,True
IR,I,8945.1747,5.0331,83.96713962983353,True,7.515625,-0.22,-0.23,-0.010000000000000009,Ruffoni2014,0.03,True
