band,ion,pool,value,scatter,n,gf_sigma_dex
IR,I,PRODUCTION (canonical_gf),7.5419921875,0.10982256646881101,20,0.2
IR,I,PRIMARY-LAB-GF,7.515625,0.10073677491722516,20,0.05244044240850758
VIS,I,PRODUCTION (canonical_gf),7.4453125,0.11144371055630997,9,0.2
VIS,I,PRIMARY-LAB-GF,7.4453125,0.11833544196457446,9,0.060000000000000005
