band,species,wavelength_A,depth,unsaturated,purity,gof,robust,canonical_line_id,action
Y,TiI,10607.716,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10611.686,Y,Y,Y,Y,Y,gf_167423,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10616.721,Y,Y,Y,Y,Y,gf_167424,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10617.877, , , , , ,gf_167425,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10622.592, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10627.648,Y,Y,Y,N,N,gf_167426,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10638.234,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10641.828,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10642.657,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10647.64,Y,Y,Y,Y,Y,gf_167428,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CoI,10660.23, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10660.973,Y,Y,Y,Y,Y,gf_167429,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10661.623, , , , , ,gf_167430,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10667.38, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10667.52, , , , , ,gf_167431,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10671.021,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10672.14,Y,Y,Y,Y,Y,gf_167432,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10674.07,Y,Y,Y,Y,Y,gf_167433,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10677.047,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,PI,10681.406, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10682.393, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CI,10683.08, , , , , ,gf_167434,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10683.102,Y,Y, , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CI,10685.34, , , , , ,gf_167435,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10689.393, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10689.716,Y,Y,Y,Y,Y,gf_167436,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10691.006, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CI,10691.25, , , , , ,gf_167437,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10692.732, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10694.251,Y,Y,Y,Y,Y,gf_167438,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CI,10707.32, , , , , ,gf_167439,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10709.942, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10714.101,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10714.41,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10717.806, , , , , ,gf_167440,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10721.655,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10725.185,Y,Y,Y,Y,Y,gf_167441,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10726.39,Y,Y,Y,Y,Y,gf_167442,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10727.406,Y,Y,Y,Y,Y,gf_167443,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CI,10729.53, , , , , ,gf_167444,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10731.947, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10732.865,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10735.519, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10741.728,Y,Y,Y,Y,Y,gf_167445,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10742.55, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10742.781,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10744.548,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NaI,10746.449, , , , , ,gf_167446,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10749.378,Y,Y,Y,Y,Y,gf_167447,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10753.004,Y,Y,Y,N,N,gf_167448,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CI,10753.98, , , , , ,gf_167449,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10754.281, , , , , ,gf_167450,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10754.753,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10761.445, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10766.449, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,AlI,10768.365, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10770.133, , , , , ,gf_167451,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10771.228,N, , , ,N,gf_167452,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10774.866,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10775.499,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10780.694,Y,Y,Y,Y,Y,gf_167453,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10781.342, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,AlI,10782.045, , , , , ,gf_167454,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10783.05,Y,Y,Y,N,N,gf_167455,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10784.562,Y,Y,Y,Y,Y,gf_167456,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10785.387,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10786.849,Y,Y,Y,Y,Y,gf_167457,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10792.549, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10796.106,Y,Y,Y,Y,Y,gf_167458,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10799.331,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11800.656, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,11801.08, , , , , ,gf_167611,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,11811.558, , , , , ,gf_167612,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,11813.28, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,11819.04, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,11820.982,Y,Y,Y,N,N,gf_167613,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11825.346,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11827.142, , , , , ,gf_167614,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,11828.171,Y,Y,Y,Y,Y,gf_167615,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11829.856,N, , , ,N,gf_167616,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaII,11838.997,Y,Y,Y,N,N,gf_167617,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,11841.29, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,11841.367, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11842.951,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11845.493,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,11848.71,Y,Y,Y,N,N,gf_167618,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11854.238, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,11863.01, , , , , ,gf_167619,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,11863.92,Y,Y,Y,Y,Y,gf_167620,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,11878.247,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,11879.58,Y,Y,U,N,N,gf_167621,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11879.987, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11882.844,Y,Y,Y,N,N,gf_167622,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11884.083,Y,Y,Y,N,N,gf_167623,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,11885.096,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,11890.483,Y,Y,N, ,N,gf_167624,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11890.487,Y,Y,N, ,N,gf_167625,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,11892.876,Y,Y,U,Y,N,gf_167626,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,11892.91,Y,Y,N, ,N,gf_167627,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CoI,11894.928, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,11895.75, , , , , ,gf_167631,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11896.026, , , , , ,gf_167632,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,11900.055,Y,Y,Y,Y,Y,gf_167633,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,11908.09,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11911.917, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,11926.064, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11926.397, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,11927.864,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11935.009, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11943.39,Y,Y,Y,N,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,11949.547, , , , , ,gf_167634,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaII,11949.744,Y,Y,U,Y,N,gf_167635,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,11955.955,Y,Y,Y,Y,Y,gf_167636,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11970.497, , , , , ,gf_167637,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11973.046,Y,Y,Y,N,N,gf_167638,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,11973.829, , , , , ,gf_167639,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,11973.846, , , , , ,gf_167639,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,11984.198,Y,Y,Y,Y,Y,gf_167640,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,11986.41, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,11987.112, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,11988.941, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11989.546,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,11990.386,Y,Y,N, ,N,gf_167641,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,11991.568,Y,Y,Y,Y,Y,gf_167642,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,11994.791, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12000.97, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12005.397,Y,Y,U,Y,N,gf_167643,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12005.547, , , , , ,gf_167644,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12010.578,N, , , ,N,gf_167645,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12015.935,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12018.34,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12023.789, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12031.504,Y,Y,Y,Y,Y,gf_167646,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,12039.822,Y,Y,Y,Y,Y,gf_167647,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12044.11,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12044.129,Y,Y,U,N,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12053.082,Y,Y,Y,Y,Y,gf_167648,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12071.707, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12080.391,Y,Y,N, ,N,gf_167649,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12081.972,Y,Y,N, ,N,gf_167650,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,12083.278,Y,Y,N, ,N,gf_167651,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,12083.346,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,12083.649,Y,Y,N, ,N,gf_167652,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12084.53, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12094.153, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12097.936,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12100.181,N, , , ,N,gf_167653,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12102.433, , , , , ,gf_167654,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12103.534,Y,Y,Y,Y,Y,gf_167655,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,12105.841,Y,Y,Y,Y,Y,gf_167656,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12110.659,Y,Y,Y,Y,Y,gf_167657,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12115.756, , , , , ,gf_167658,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12119.494,Y,Y,Y,Y,Y,gf_167659,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12131.178,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12133.995,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12167.245,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12174.164, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12175.733,N, , , ,N,gf_167660,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12178.339,N, , , ,N,gf_167661,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12183.793, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12186.113,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12189.241,N, , , ,N,gf_167662,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12190.098,N, , , ,N,gf_167663,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12190.589,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12191.433,N, , , ,N,gf_167664,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12205.56, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12213.336,Y,Y,Y,Y,Y,gf_167665,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12216.544, , , , , ,gf_167666,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12216.633, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12225.954, , , , , ,gf_167667,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12227.112,Y,Y,Y,Y,Y,gf_167668,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12229.274,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12232.521,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12239.914, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12242.458, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12244.921,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12246.375, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12255.702, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12261.91, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12264.257, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12264.305,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12267.888,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12270.692,Y,Y,Y,Y,Y,gf_167669,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12273.027, , , , , ,gf_167670,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12277.997,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12282.124, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12283.298,Y,Y,Y,Y,Y,gf_167671,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12297.162, , , , , ,gf_167672,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12297.197,N, , , ,N,gf_167672,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12300.382, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NaI,12311.48,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12313.41, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NaI,12319.98, , , , , ,gf_167673,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12320.262, , , , , ,gf_167674,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12321.203, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12321.872, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12331.906, , , , , ,gf_167675,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12333.026, , , , , ,gf_167676,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12340.481,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12342.916,Y,Y,Y,Y,Y,gf_167677,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12369.703, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12388.373,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12390.154,Y,Y,Y,Y,Y,gf_167678,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12393.067, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12395.832,Y,Y,Y,Y,Y,gf_167679,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12408.2, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12414.081, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,12417.937,Y,Y,Y,Y,Y,gf_167680,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,12423.029,Y,Y,Y,Y,Y,gf_167681,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12423.081, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12423.155, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12423.672,N, , , ,N,gf_167682,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,12423.692,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,KI,12432.273,Y,Y,N, ,N,gf_167684,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12432.81,N, , , ,N,gf_167685,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,12433.452,Y,Y,Y,Y,Y,gf_167686,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,12433.748, , , , , ,gf_167687,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12436.107,N, , , ,N,gf_167688,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12439.963,N, , , ,N,gf_167689,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12443.721,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,12457.132,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12463.397,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12475.827, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12484.613,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12484.624, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12485.492,Y,Y,U,N,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12510.519,Y,Y,Y,Y,Y,gf_167690,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12512.24, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12521.81, , , , , ,gf_167691,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,KI,12522.134,Y,Y,N, ,N,gf_167692,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12532.84,Y,Y,Y,Y,Y,gf_167693,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12536.686, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12545.946, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,12549.49,N, , , ,N,gf_167695,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12556.996,Y,Y,Y,N,N,gf_167696,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,12562.12, , , , , ,gf_167697,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,12569.04,N, , , ,N,gf_167698,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12569.571, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CoI,12569.634,N, , , ,N,gf_167699,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,12581.59,N, , , ,N,gf_167700,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12583.924,Y,Y,Y,Y,Y,gf_167701,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12586.976, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12589.204, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12600.277,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,12601.49,Y,Y,Y,Y,Y,gf_167702,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12606.47, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CaI,12610.942, , , , , ,gf_167703,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CI,12614.1, , , , , ,gf_167704,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12615.928,Y,Y,Y,Y,Y,gf_167705,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,SiI,12627.674,Y,Y,Y,N,N,gf_167706,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12631.469, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12632.548,Y,Y,U,N,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12638.703,Y,Y,Y,N,N,gf_167707,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12648.741,Y,Y,Y,Y,Y,gf_167708,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CrI,12651.03,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12655.376, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12656.816, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12667.112, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12670.169,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,TiI,12671.095,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NaI,12679.17,N, , , ,N,gf_167709,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NaI,12679.22, , , , , ,gf_167709,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12680.703, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CoI,12694.438,Y,Y, , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,NiI,12698.995, , , , , ,gf_167711,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,CoI,12720.156,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,FeI,12721.745,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
J,MgI,12735.92, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
