band,species,wavelength_A,depth,unsaturated,purity,gof,robust,canonical_line_id,action
Y,SiI,9969.132, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9970.233,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9977.641,Y,Y,Y,Y,Y,gf_167339,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9980.463,Y,Y,Y,Y,Y,gf_167340,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,9981.275, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,MgI,9983.188, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,MgI,9986.475, , , , , ,gf_167341,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9987.868, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CeII,9993.199, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,MgI,9993.209, , , , , ,gf_167342,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9996.061, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeII,9997.598,Y,Y,N, ,N,gf_167343,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,9997.959,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,9999.924, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CeII,9999.982, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10002.496,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10003.088,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10005.661, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10007.281, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10011.744,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10019.793,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10020.07, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10025.743, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10026.08,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10032.859,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10034.492,Y,Y,Y,Y,Y,gf_167344,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SrII,10036.653,Y,Y,Y,Y,Y,gf_167345,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10041.472,Y,Y,Y,Y,Y,gf_167346,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CoI,10046.414, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10048.584,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10048.826,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,HI,10049.373,Y, ,Y,N,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10049.591,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10050.244, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10057.64,Y,Y,N, ,N,gf_167347,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10057.728,Y,Y,N, ,N,gf_167348,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10058.253,Y,Y,U,Y,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10059.905,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10065.045,Y,Y,Y,Y,Y,gf_167350,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10066.512,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,SiI,10068.329, , , , , ,gf_167351,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10070.52,N, , , ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,TiI,10075.125, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10077.174,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CoI,10078.699, , , , , ,gf_167352,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10080.35,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10081.393,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,CrI,10083.18,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,PI,10084.277, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10084.435,Y,Y,N, ,N,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,ZrI,10084.989, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10085.071,Y,Y,U,Y,N,gf_167353,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10086.242,Y,Y,Y,Y,Y,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10089.775,Y,Y,Y,Y,Y,gf_167354,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,MgII,10092.095, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,FeI,10104.194, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,YII,10105.524, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
Y,NI,10112.481, , , , , ,,TRACE_PRIMARY_GF_BEFORE_PROMOTION
