wave_A,loggf,ep_eV,strength,theo_depth,half_width_A,status,reason,a_synth,red_chi2,n_pix,cont_ratio
3000.468,-2.266,2.6085,-4.543692307692307,0.899,0.4,ok,,8.307,88.024,488,0.9135658235860395
3006.605,-2.334,2.5592,-4.568644490644491,0.896,0.4,ok,,6.837,305.409,243,0.7144410423072728
3031.476,-2.262,2.5881,-4.521879417879418,0.898,0.4,ok,,7.458,77.687,239,0.8424624480030258
3087.431,-1.465,3.241,-4.294979209979211,0.898,0.4,ok,,7.392,891.296,230,1.6617122837833163
3099.921,-1.322,3.332,-4.23143866943867,0.9,0.4,ok,,8.283,122.058,228,1.0941418503339584
3110.108,-1.277,3.3965,-4.242758835758836,0.897,0.4,ok,,7.069,394.27,227,1.0727254520662344
3123.199,-2.299,2.4327,-4.4231871101871105,0.9,0.4,ok,,7.022,999.515,225,1.3248291220528268
3162.329,-2.244,2.4496,-4.382943866943867,0.898,0.4,ok,,7.506,64.406,219,1.129554701791753
3175.31,-3.296,1.4849,-4.592586278586278,0.9,0.4,ok,,8.041,528.762,218,1.5088989579307768
3225.606,-2.1855526214775125,2.4327,-4.309739731664623,0.898,0.4,ok,,8.205,77.153,211,1.0176162663588357
3249.191,-2.004,2.5592,-4.238644490644491,0.898,0.4,ok,,8.047,126.289,207,1.0378625279761617
3253.942,-1.971,2.6085,-4.248692307692307,0.896,0.4,ok,,7.249,119.715,208,1.0841649062342713
3261.325,-0.984,3.417,-3.9676590436590438,0.9,0.4,ok,,7.51,62.337,206,1.0775077137908935
3292.033,-1.422,3.0176,-4.056910602910603,0.898,0.4,ok,,8.385,139.066,202,1.0533498222964461
3312.698,-1.564,2.8581,-4.059638253638253,0.899,0.4,ok,,8.165,258.993,206,0.9944056592999717
3334.218,-2.045854011170452,2.4327,-4.1700411213575626,0.898,0.4,ok,,7.558,462.217,204,1.3229634058720077
3387.405,-1.579,2.7586,-3.987756756756757,0.899,0.4,ok,,7.719,78.383,197,1.032042411524266
3393.588,-1.58,2.7586,-3.988756756756757,0.899,0.4,ok,,7.328,82.845,197,0.9138277730063887
3439.035,-1.556,2.7275,-3.937600831600832,0.899,0.4,ok,,7.537,51.808,192,0.9934134915997955
3457.086,-0.556,3.6025,-3.701634095634096,0.896,0.4,ok,,7.225,44.508,190,1.073685837336936
3469.83,-1.558304864359283,2.6085,-3.8359971720515906,0.9,0.4,ok,,7.418,77.661,188,1.0389993802675401
3476.344,-0.46470587995722945,3.6025,-3.6103399755913257,0.9,0.4,ok,,7.29,61.211,188,0.9787926811145955
3509.862,-2.017728766960432,2.2227,-3.958547893779559,0.897,0.4,ok,,6.986,82.015,184,0.9027871929662388
3559.503,-0.910094888560602,3.0713,-3.591895304361018,0.9,0.4,ok,,7.73,124.531,179,1.0237991865241178
3572.59,-1.2436682326789423,2.8512,-3.733281538292248,0.898,0.4,ok,,7.199,79.697,177,0.9953439449403964
3576.758,-0.8124792791635369,3.2671,-3.665248509932768,0.896,0.4,ok,,8.398,410.068,177,1.1833401811283366
3599.625,-0.39040559077478,3.5732,-3.5104554868246765,0.896,0.4,ok,,7.601,523.505,180,1.206941900236624
3617.318,-0.493,3.4149,-3.4748253638253637,0.9,0.4,ok,,7.477,136.767,173,0.9408491612858254
3624.28,0.061999999999999965,3.8835,-3.3289979209979217,0.899,0.4,ok,,7.406,131.9,173,1.0244951996111211
3632.555,-0.994347684644926,2.9488,-3.569183443480685,0.899,0.4,ok,,7.639,138.467,172,1.0086472887871447
3636.994,-1.4559319556497243,2.5881,-3.7158113735291423,0.899,0.4,ok,,7.247,103.949,172,0.9474894714664961
3643.715,-1.438898616350944,2.6085,-3.7165909240432518,0.898,0.4,ok,,7.252,27.67,170,0.9971947497461828
3650.098,0.06899999999999999,3.9841,-3.409839916839917,0.899,0.4,ok,,7.048,307.508,170,0.8502486591745332
3656.21,-0.76,3.274,-3.618794178794179,0.899,0.4,ok,,7.498,61.785,169,1.0895374578981212
3664.537,-1.072116589669293,2.998,-3.6899128474655516,0.899,0.4,ok,,7.648,281.879,169,1.2376534090286524
3680.784,0.09799999999999995,3.9841,-3.3808399168399172,0.898,0.4,ok,,7.78,137.525,297,1.0069635446054939
3703.821,-1.2006594505464183,2.8581,-3.696297704184672,0.898,0.4,ok,,7.386,42.162,165,0.8437317620786684
3731.373,-1.4528408786725826,2.6085,-3.73053318636489,0.898,0.4,ok,,7.772,116.243,162,0.9821335337271495
3756.937,-0.2773660774661877,3.5732,-3.3974159735160843,0.9,0.4,ok,,7.409,63.747,161,1.0066383903841256
3778.793,-0.617,3.2671,-3.469769230769231,0.898,0.4,ok,,7.005,66.935,159,0.9446316480562509
