wave_A,loggf,ep_eV,strength,theo_depth,half_width_A,status,reason,a_synth,red_chi2,n_pix,cont_ratio
3000.468,-2.266,2.6085,-4.543692307692307,0.899,0.25,ok,,8.295,72.265,304,0.9400681698633961
3006.605,-2.334,2.5592,-4.568644490644491,0.896,0.25,ok,,6.777,131.847,152,0.8864046443365037
3031.476,-2.262,2.5881,-4.521879417879418,0.898,0.25,ok,,7.413,136.429,149,0.9585417219485635
3087.431,-1.465,3.241,-4.294979209979211,0.898,0.25,ok,,7.685,1107.285,144,1.7451802628761566
3099.921,-1.322,3.332,-4.23143866943867,0.9,0.25,ok,,7.584,75.497,143,0.8047304402833335
3110.108,-1.277,3.3965,-4.242758835758836,0.897,0.25,ok,,7.598,444.368,142,0.7212081949100089
3123.199,-2.299,2.4327,-4.4231871101871105,0.9,0.25,ok,,7.0,651.863,140,0.999360084004815
3162.329,-2.244,2.4496,-4.382943866943867,0.898,0.25,ok,,7.608,94.102,137,1.1895670502000615
3175.31,-3.296,1.4849,-4.592586278586278,0.9,0.25,ok,,8.166,54.548,136,0.9772771957645341
3225.606,-2.185,2.4327,-4.309187110187111,0.898,0.25,ok,,7.628,71.237,132,0.8405601118148209
3249.191,-2.004,2.5592,-4.238644490644491,0.898,0.25,ok,,8.106,142.331,129,1.110510757738762
3253.942,-1.971,2.6085,-4.248692307692307,0.896,0.25,ok,,7.005,128.187,130,1.2972973207319831
3261.325,-0.984,3.417,-3.9676590436590438,0.9,0.25,ok,,7.522,98.508,129,1.0325495940692302
3292.033,-1.422,3.0176,-4.056910602910603,0.898,0.25,ok,,7.531,126.487,127,1.0214428923417644
3312.698,-1.564,2.8581,-4.059638253638253,0.899,0.25,ok,,8.544,105.443,129,0.9584357633791732
3334.218,-2.046,2.4327,-4.17018711018711,0.898,0.25,ok,,7.68,186.316,128,1.1264751339691295
3387.405,-1.579,2.7586,-3.987756756756757,0.899,0.25,ok,,7.776,66.437,123,1.0215507513946867
3393.588,-1.58,2.7586,-3.988756756756757,0.899,0.25,ok,,7.167,87.206,123,0.9046740532659051
3439.035,-1.556,2.7275,-3.937600831600832,0.899,0.25,ok,,7.586,76.176,120,1.0064811132774085
3457.086,-0.556,3.6025,-3.701634095634096,0.896,0.25,ok,,7.372,24.154,118,0.9735940349322818
3469.83,-1.633,2.6085,-3.9106923076923077,0.9,0.25,ok,,7.496,167.32,118,0.9495749859763714
3476.344,-0.465,3.6025,-3.610634095634096,0.9,0.25,ok,,7.309,95.868,118,0.9657685201780019
3509.862,-2.07,2.2227,-4.010819126819127,0.897,0.25,ok,,7.237,75.562,115,0.9597999683067788
3559.503,-0.97,3.0713,-3.651800415800416,0.9,0.25,ok,,9.336,129.084,112,1.0348982461745946
3572.59,-1.244,2.8512,-3.7336133056133054,0.898,0.25,ok,,8.665,94.932,111,1.0143438218158063
3576.758,-0.78,3.2671,-3.632769230769231,0.896,0.25,ok,,8.532,406.201,111,1.1227430680902748
3599.625,-0.39,3.5732,-3.5100498960498965,0.896,0.25,ok,,7.919,81.978,109,1.0635727630912826
3617.318,-0.493,3.4149,-3.4748253638253637,0.9,0.25,ok,,7.394,23.886,108,0.974566159486654
3624.28,0.062,3.8835,-3.3289979209979217,0.899,0.25,ok,,7.107,68.62,108,0.9413104791268312
3632.555,-1.03,2.9488,-3.604835758835759,0.899,0.25,ok,,7.618,80.738,108,0.9711441791239322
3636.994,-1.456,2.5881,-3.715879417879418,0.899,0.25,ok,,7.361,160.656,108,0.9929409416766901
3643.715,-1.439,2.6085,-3.7166923076923077,0.898,0.25,ok,,7.212,20.343,106,0.9475236345016856
3650.098,0.069,3.9841,-3.409839916839917,0.899,0.25,ok,,7.106,282.639,106,0.8873586769104562
3656.21,-0.76,3.274,-3.618794178794179,0.899,0.25,ok,,7.388,54.903,106,1.0902696555976152
3664.537,-1.071,2.998,-3.688796257796258,0.899,0.25,ok,,7.138,94.511,106,0.7994695604238504
3680.784,0.098,3.9841,-3.3808399168399172,0.898,0.25,ok,,7.817,138.61,201,0.8918533264008404
3703.821,-1.201,2.8581,-3.6966382536382536,0.898,0.25,ok,,7.474,140.874,103,0.9626426455934453
3731.373,-1.453,2.6085,-3.7306923076923075,0.898,0.25,ok,,7.842,42.965,102,0.9579597868563753
3756.937,-0.25,3.5732,-3.3700498960498964,0.9,0.25,ok,,7.34,132.308,101,1.0132759832350469
3778.793,-0.617,3.2671,-3.469769230769231,0.898,0.25,ok,,10.407,156.229,99,0.9954424465921506
