# Jofré et al. 2014, A&A 564 A133 — the Tables 4/5 'References.' footnote, TRANSCRIBED AS PUBLISHED (RYA-161).
# Source: aa22440-13.pdf (the PUBLISHED A&A PDF). The arXiv copy 1309.1099v2 does NOT typeset this footnote — it prints 'References: 102: ????????. 114: ??. ...' — which is why the first RYA-1110 pass could not decode the codes.
# 190 IS ABSENT FROM THE PUBLISHED FOOTNOTE although Table 4's body uses it (Fe I 4985.55). A gap in the paper, not in this transcription.
code	table	sources_as_published	first_author_surnames
102	Table 4	Bard et al. (1991); Bard & Kock (1994); Blackwell et al. (1979a,b, 1982a,b, 1995); O'Brian et al. (1991)	bard,blackwell,obrian
114	Table 4	Bridges & Kornblith (1974); Fuhr & Wiese (2006)	bridges,fuhr
129	Table 4	Garz & Kock (1969); Fuhr et al. (1988)	garz,fuhr
156	Table 4	May et al. (1974)	may
158	Table 5	Meléndez & Barbuy (2009)	melendez
166	Table 5	Raassen & Uylings (1998)	raassen
167	Table 4	Richter & Wulff (1970); Fuhr et al. (1988)	richter,fuhr
186	Table 4	Wolnik et al. (1970); Fuhr et al. (1988)	wolnik,fuhr
187	Table 4	Wolnik et al. (1971); Fuhr et al. (1988)	wolnik,fuhr
